Found 2 args.
Observation: q3nc5; Result size: 124; atts: 2
who	$m	
g	right 	
g	you're at the start 	
f	mmhmm 	
g	and i want you to go down towards the bottom of the page past the site of the forest fire 	
f	okay 	
f	which side will i pass it on 	
g	on the left 	
f	okay 	
g	go down and go underneath the picnic site 	
f	i don't have a picnic site 	
g	well it's d-- eh gosh 	
f	how many inches down from the forest fire should i go 	
g	it's i-- 	
g	well it's a couple of inches from the bottom of the page 	
f	right 	
f	'kay 	
g	so ehm i want you to do a "u" round it 	
f	do a "u" round it 	
g	yeah 	
g	to come back up ehm on the right-hand side of it 	
g	okay 	
f	so are you going down the way the way i would normally write a "u" 	
g	am i what 	
f	are you underneath it or above it 	
g	well if you started off and you came down the page you went underneath it and go back up the other side of it upwards 	
f	ah right okay 	
g	okay 	
g	go past the adventure playground 	
f	underneath it 	
g	no 	
g	ehm up the side of it on the left of it 	
f	okay 	
g	and then turn right and go along to about the centre of the page in a straight line 	
f	right 	
g	ehm well a wee bit past the centre of the page 	
f	'kay 	
g	then turn to your left and go upwards 	
f	mmhmm 	
g	until you reach the granite quarry and turn left round the granite quarry over the top of it 	
f	right 	
g	and come back down to go just above the top of the train crossing 	
f	don't have a train crossing 	
g	right well eh 	
f	well i do have a train crossing at the top 	
g	well don't go up there 	
g	ehm right 	
g	we've just come round the top of the granite quarry 	
f	right 	
g	and if you come down eh 	
f	on the right side of it 	
g	mm 	
f	or the left side of it 	
g	on the left side of it 	
g	just a wee bit 	
f	eh right 	
g	and then go s-- straight along towards the left-hand side of the page 	
f	right 	
g	and then turn up to the right and go past the waterfall 	
f	right 	
f	on its right-hand side 	
g	on its left-hand side sorry 	
f	on its left-hand side right 	
g	and at the top of the waterfall turn right g-- just go along to the edge of the waterfall 	
f	right 	
g	and then turn left and go upwards for a w-- 	
f	mmhmm 	
g	a couple of strokes and then turn right 	
f	uh-huh 	
g	go along about an inch 	
f	a-- 	
f	ehm how how far was i going above the waterfall 	
g	ehm 	
f	couple of inches 	
g	yeah 	
f	right 	
g	and then come down in an a diagonal line towards the right down to about half 	
f	goes towards the public footpath 	
g	i don't have a public footpath 	
f	mm right s-- 	
g	do you have a fallen cairn 	
f	no i don't 	
g	well it's about halfway down the page but 	
f	halfway down the page 	
g	on the right 	
f	oh i do have a fallen cairn yes uh-huh 	
f	right 	
f	so i'm coming diagonally down 	
g	uh-huh 	
f	from the waterfall 	
g	to go underne-- well from above the waterfall 	
f	uh-huh 	
g	to go underneath the fallen cairn 	
f	from there 	
g	mmhmm 	
f	a straight line 	
g	aye 	
g	well diagonal one 	
f	uh-huh 	
g	mmhmm 	
f	right 	
g	okay 	
f	that's weird 	
g	and then er turn after you've been underneath the fallen cairn 	
f	mmhmm 	
g	turn left and go back up the other side of it 	
f	mmhmm 	
g	up past the limestone cliffs 	
f	don't have any 	
g	e-- ehm 	
f	so i'm going up to my left for or straight up for how many inches 	
g	well lean slightly to the left and go up for a couple of inches 	
f	right 	
g	and then go straight up towards east lake 	
f	rightee-ho 	
g	and then turn left when you reach east lake 	
f	mmhmm 	
g	and go along to the finish 	
f	which is where 	
g	just on the left-hand side of east lake 	
f	at the the jutty-out bit 	
g	mmhmm 	
f	okey-doke 	
g	right 	
f	that's me i think 	
