Found 2 args.
Observation: q7ec8; Result size: 426; atts: 2
who	$m	
g	you done this one before 	
f	no 	
g	oh super 	
g	you'll have no chapel 	
g	okay "a" "q" "7" "c" "8" plus minus "4" "u" david 	
f	and mark 	
g	right 	
g	you've got the start point 	
f	yeah 	
g	up high on the left-hand side yeah 	
f	yeah 	
g	eh you got a haystack 	
f	just there 	
g	just below it 	
f	to the right to left 	
g	well 	
g	take a curve well 	
g	you know where the c-- er the carpenter's house is 	
f	yes 	
g	well take about a couple of inches well about an inch a couple of inches just just below the start of it do a curve which just about meets the haystack and eh goes to just eh directly below a level with jus-- just below level with the start eh the carpenter's house 	
f	so you go if i curve from the start round to 	
g	so you're doing it's like a 	
g	it's like 	
f	just along and 	
g	a backwards "c" 	
f	mm 	
g	just beside the haystack meets the haystack just about about half a centimetre from the haystack and comes out to below the start line just below the level of the carpenter's house 	
g	right 	
g	you've got 	
f	you got the 	
g	directly below the start 	
f	mmhmm 	
g	yeah 	
f	right 	
g	then you've got about half a centimetre below the carpenter's house 	
f	right 	
g	you've got that point do you want to mark a point there 	
f	right 	
f	there's 	
g	right 	
g	and you go from the start 	
f	so you've 	
g	so about you 	
f	carpenter house from 	
g	start and you do a curve about half a centimetre from the haystack down to the point 	
f	down to the point just at the side of the carpenter's house 	
g	yeah 	
f	so just curving round down it like that 	
g	just under the start 	
g	no 	
g	it's just under the start the point just under start and just under carpenter's house 	
f	oh 	
f	right 	
g	so you're it's it's going just it's eventually going to end up just below the start line but it's half a centimetre under the carpenter's house 	
f	half a centimetre under the carpenter's house right 	
g	so 	
f	so we're down below the carpenter's house about half a centimetre 	
g	on the level 	
g	yeah 	
g	but across below the start 	
g	see what i mean 	
f	oh away round here below the start 	
g	yeah 	
g	so it's that's the level you're going to 	
f	ah right 	
f	so it sort of curves round like that backwards "c" as you've said 	
g	it's not 	
g	it's just to the le-- it's to the left of the haystack it's just a really shallow thing 	
f	doesn't sound like what i've got 	
g	right 	
g	you sti-- 	
g	right 	
g	we'll start again then 	
g	you've got the start line right 	
f	this is a good one 	
g	and you've eh 	
g	well 	
g	you're going to end up directly below the start line 	
g	okay 	
f	mmhmm 	
f	so down below 	
g	down below start line 	
f	mm 	
g	now 	
g	you want to 	
g	the point below the start line is level with about half a centimetre below the carpenter's house 	
f	mmhmm 	
g	yeah 	
f	right okay 	
g	so you've got about half a centimetre below the carpenter's house draw a line across to below the start line 	
f	right 	
g	right 	
f	drawn that if 	
f	it's across 	
g	well don't draw a line draw a point there sorry 	
g	okay 	
g	and you want to 	
f	right 	
f	i've started 	
f	so from the start i'm going what direction 	
g	you're going down towards the haystack 	
f	down towards the haystack 	
g	and you're missing the l-- haystack on the left by about half a centimetre 	
f	on the left 	
f	on the left 	
g	on the left of the haystack yeah 	
f	so i'm coming down past the left 	
g	uh it's it's just a shallow 	
g	yeah 	
g	a shallow curve to that point down there 	
