Found 2 args.
Observation: q4nc2; Result size: 335; atts: 2
who	$m	
g	okay 	
g	we're s-- we're starting in the top left-hand corner 	
f	uh-huh 	
f	uh-huh at the start 	
g	ehm a-- above the diamond mine 	
f	uh-huh that's right 	
g	ehm come straight down 	
f	straight down 	
g	straight down 	
f	straight down yeah 	
g	straight down 	
f	uh-huh 	
f	how far 	
f	out 	
f	oh well i'll move this over then okay 	
f	okay then 	
f	right uh-huh 	
g	is i-- 	
f	okay 	
f	right okay 	
g	do you have a 	
g	can i can you 	
g	do you do you have a field station marked on the left-hand side 	
f	uh-huh 	
f	do i go down that far 	
g	go no 	
g	go down halfway between the the 	
f	the diamond mine and the field station 	
g	the diamond mine and the field station 	
f	okay 	
g	and then turn to the right 	
f	the right okay 	
f	how far 	
g	i'm g-- ca-- is there a mountain in the top 	
f	the highest viewpoint 	
g	the highest viewpoint 	
f	uh-huh 	
g	are springboks marked on the map 	
f	ehm no 	
g	no 	
g	well come over to towards the the highest viewpoint come s-- come 	
g	make sure you've come halfway between the diamond mine and the field station 	
f	i have 	
g	and come over to the right to until you're just below the left-hand side of the mountain 	
f	okay 	
f	in a straight line 	
g	in a straight line 	
f	right okay 	
f	right okay 	
g	then go straight up to above the mountain 	
f	not going through the mountain 	
g	not going through the mountain 	
f	at all okay 	
g	straight up to above the mountain 	
f	straight up uh-huh 	
f	how far 	
g	to the to-- near the top of the page 	
f	near it 	
f	past the birds 	
g	i i haven't got birds mar-- 	
g	yeah past the birds yeah yeah sure 	
f	okay 	
g	ehm 	
f	right 	
g	turn right along to the e-- the ed-- to-- towards the edge of the page 	
f	uh-huh 	
g	okay 	
f	uh-huh 	
g	right 	
g	wait a minute hold on can you come can you come back to the to the edge of the mountain 	
f	uh-huh 	
f	where i started from yeah 	
g	and 	
g	no 	
g	come back to the the right-hand side of the mountains 	
f	oh right okay right uh-huh 	
g	and i want you to drop straight down until you're level with the field station 	
f	what field station 	
g	it-- there's a field station marked 	
f	oh right okay 	
f	on the other side 	
g	oh dear right 	
f	on your 	
g	wait a minute 	
f	on my left 	
g	right 	
g	hold on i've g-- i've got a different field station from you 	
g	heeee this is good how ma-- you've got one on the 	
f	i've got one on my left 	
g	have you got a field station marked on the left-hand side 	
f	uh-huh where i'm looking at it it's on my left 	
g	have you also got a field station marked in the centre 	
f	no 	
g	no you don't 	
f	no 	
g	it's on it-- it's on the far far left-hand side of the page 	
g	right 	
f	uh-huh 	
g	drop down 'til you're level with that field station 	
f	okay 	
f	is this have you got an overgrown gully 	
g	no 	
f	oh right oh 	
g	i don't 	
g	obviously you'll have to go round the overgrown --grown gully and and come back to a 	
f	oh 	
g	come back to a point 	
f	well i 	
f	could i just 	
f	right 	
f	you know how you've got the mountain 	
f	could i just drop down straight in a straight line 	
f	is there anything between the mountain and what is parallel to the field station 	
g	no there's absolutely nothing there 	
f	right 	
f	so i could just drop right down then 	
g	you can drop right down there yeah 	
f	okay 	
f	and just go on the same level then 	
g	go 'til you're down to the level with this field 	
g	station okay 	
f	field station okay then 	
g	right 	
g	now you've got to turn left and go towards the field station but only 'til you're level with 	
f	the diamond mine or the banana tree 	
g	no no not as far a-- not f-- not as far across as that 	
g	until you're level with the the centre of the mountain 	
f	okay then right okay 	
g	okay 	
g	right 	
f	uh-huh 	
g	come now come slightly further left just a wee bit 	
f	uh-huh right 	
g	and drop straight down ehm 	
g	now wait a minute 	
g	have you got a banana tree have you got a banana tree marked 	
f	i've went in a circle 	
f	yeah 	
g	you do 	
f	uh-huh 	
g	drop straight down 	
f	mmhmm 	
g	so-- 'til you're level with the top branches of the banana tree 	
f	right okay mmhmm 	
g	okay 	
f	mmhmm 	
g	and then i want you to come across and go round the top of the banana tree 	
f	just straight across 	
g	you co-- 	
g	across to the left 	
g	and round the top of the banana tree 	
f	okay right 	
g	you don't have any other obstacles in the way there do you 	
f	no 	
g	right okay 	
g	have you got a gold mine marked 	
f	ehm no 	
g	right 	
g	from the banana tree y-- you're dropping straight down 	
f	mmhmm 	
g	ehm a rope bridge is that marked 	
f	uh-huh 	
g	okay 	
g	you want to drop down lower th-- 'til you come b-- straight down from the bana-- from the left-hand side of the banana tree 	
f	can i 	
f	can i go down in a straight line is there anything in between it 	
g	come down in a straight line 	
g	fro-- from the banana tree 	
g	ehm ho-- until you get to the rope bridge 	
g	and we'll we'll take it from there in a second 	
f	okay and 	
f	that's okay there's no obstacles 	
g	no obstacles 	
f	right okay 	
g	straight straight 	
f	right 	
f	it's down to the rope bridge 	
g	no you've not 	
g	did you go straight across to the rope bridge 	
f	no it's just it's 	
g	you you just come straight down right 	
f	yeah 	
f	it's a straight line down 	
g	okay so you're 	
g	okay 	
f	vertical line 	
g	now 	
g	now you've got to drop down about well i'd like to say well i'd like to say about an inch 	
