Found 2 args.
Observation: q6ec5; Result size: 194; atts: 2
who	$m	
g	okay ehm 	
g	are you starting above the missionary camp 	
f	missionary camp where's that 	
g	the bottom right-hand corner 	
f	oh right yeah 	
g	right erm 	
g	have you got gorillas in the bottom left 	
f	no 	
f	i've got banana tree 	
g	right okay 	
g	well you want to go along to the end of the missionary camp left 	
f	right 	
g	and then down 	
f	right 	
g	to about four centimetres from the top of the page and then 	
f	the bottom of the page you mean 	
g	yeah 	
f	right 	
g	and then go left 	
f	mmhmm 	
g	straight along until you get to the gorillas or the banana tree or whatever it is 	
f	right 	
g	and then up so that you're about 	
g	have you got a rope bridge 	
f	mmhmm 	
g	well 	
g	you go up and then you turn right across the rope bridge 	
f	right 	
g	you go over the rope bridge and then you go down straight down a couple of centimetres 	
f	mm 	
g	have you got a waterfall 	
f	mmhmm 	
g	with water coming out of it yeah 	
f	yeah 	
g	well 	
g	if you just go sort of about an angle of ten degrees 	
f	along the river 	
g	oh i don't have a river 	
f	oh right 	
g	about an angle of ten degrees along so that you come to the edge of the waterfall 	
f	right 	
g	about the bottom 	
g	yeah 	
f	uh-huh 	
g	then 	
g	do you have lost steps 	
f	yeah 	
f	way up the top of the page 	
g	no 	
f	uh-huh 	
g	have you got fallen pillars 	
f	sort of in the middle 	
g	yeah 	
f	mmhmm 	
g	well 	
f	to the left well to the left 	
g	they should 	
g	above the rope bridge 	
f	yeah 	
g	well 	
g	i've got some lost steps to-- to the right of that 	
g	okay 	
f	under the gazelles 	
f	you don't have gazelles 	
g	well yeah i do 	
g	but 	
g	erm 	
g	just 	
g	between the rope bridge and the waterfall in line with the fallen pillars 	
f	between the rope bridge and the waterfall right okay 	
g	so you want to come up from the waterfall 	
f	mmhmm 	
g	straight up 	
f	straight up 	
g	uh-huh 	
f	right 	
g	'til you get 	
f	to in line with the fallen pillars 	
g	to the top of them 	
g	and then you go along 	
f	mmhmm 	
f	left 	
g	yeah 	
g	about four centimetres and then you curve down so that you're going underneath the fallen pillars 	
f	right 	
g	now you should be at the end of the fallen pillars 	
f	right 	
g	and you've to go down about four centimetres 	
f	right 	
g	and curve round along left 	
f	to the left 	
f	do you have flamingoes 	
g	no but 	
f	well i do 	
g	so you go round them 	
f	right 	
f	and up 	
g	well now 	
g	if you just sort of curve round until you're in line with the fallen pillars but you're still going sort of straight up if you know 	
f	right 	
g	what i mean 	
g	and do you have ancient ruins 	
f	got a ruined city with three wee birds at the top 	
g	i think it's the same thing 	
g	ehm just sort of go about an angle of eighty degrees so that you're approaching that but you don't go into it you stick to the left-hand side of it 	
f	right okay 	
f	right 	
g	until you reach there 	
g	then in the top left there's some stones 	
f	top left of where 	
g	of the map 	
f	no i don't 	
f	right 	
g	well they're about four centimetres from the top 	
f	right 	
g	so you've to go straight up from the ruins to about four centimetres from the top 	
f	straight up up from the middle of the ruins or straight up from the left 	
g	from about the left 	
f	right 	
f	right 	
g	and then you've to turn right 	
f	mmhmm 	
g	and you've got a white mountain 	
f	mmhmm 	
g	to the left-hand side of the white mountain 	
g	now go up one side and down the other 	
g	and underneath the white mountain there's a soft furnishings store 	
f	mm don't have that 	
g	well 	
g	it's about the it's about three or four centimetres down from the white mountain 	
f	from the middle of it 	
g	uh-huh 	
g	it's about the same width 	
f	s-- so like curving 	
f	oh right i see 	
g	ehm so if you come from the right-hand side of the mountain 	
f	mmhmm 	
g	along and you want to go over the soft furnishing store 	
f	so 	
f	sort of diagonally between them both then 	
g	well 	
g	you come down from moun-- mountain and curve round 	
f	curve round the mountain 	
f	to where 	
f	the middle or the other end 	
g	the bottom of the mountain 	
g	until you get to the left-hand side of the white mountain 	
f	right okay 	
g	that sort of 	
f	so i've nearly made a circle round it 	
g	yeah 	
f	right 	
g	now you're going 	
g	you have the gazelles 	
f	yeah 	
f	down quite a bit uh-huh 	
g	you're going straight down and underneath them 	
f	to their left or their right 	
g	the right 	
f	right 	
g	okay erm 	
g	are you underneath the gazelles 	
f	yeah 	
f	in the middle 	
g	uh-huh 	
f	right 	
g	just go right so that you're in line with the right-hand side of the white mountain 	
f	do i turn back and go right sort of thing 	
f	or i'm no meant to be in the middle of the gazelles 	
g	right 	
g	you've come down from the soft furnishing store you've come straight down 	
f	the right-hand side of the gazelles and then turn right 	
g	you've you've come straight down okay 	
f	mm okay nearly 	
g	from the soft furnishing store 	
f	ah 	
f	right okay uh-huh 	
g	and you've gone underneath the gaz-- gazelles and you're turning right sort of a right angle 	
f	okay 	
f	right 	
g	what've you got 	
f	i'm now underneath the right-hand side of the white mountain 	
g	uh-huh 	
f	oh yeah uh-huh 	
g	like 	
g	just over halfway 	
f	like in line with the gazelles 	
g	uh-huh sort of 	
f	right uh-huh 	
g	about two thirds of the way up the page 	
f	yeah 	
g	right that's okay 	
g	that's it 	
f	that's it right 	
