Found 2 args.
Observation: q2nc7; Result size: 236; atts: 2
who	$m	
g	right 	
g	starting at sandy shore 	
f	mmhmm 	
g	down 	
f	hang on i missed that cross is between eh the word sandy shore and start 	
g	yeah 	
f	eh see the line there is there a line slightly to the right of that cross 	
g	eh 	
f	like o-- on the sandy shore 	
g	no 	
f	um i've got a sort of river thing crane bay crane bay that's it 	
g	uh 	
g	yeah 	
g	right that's what i've got 	
f	have you got that 	
g	yeah 	
f	and it's slightly to the right of the start 	
g	yeah 	
f	right so i take it i've to stay on dry land 	
g	uh yes 	
f	right okay fire away 	
g	right 	
g	eh down and round the well to down to the bottom of the well 	
f	well 	
g	you've got a well have you not got a well 	
f	um 	
g	no you've not 	
f	no 	
g	right okay 	
g	go down about four inches straight down 	
f	s-- we're talking straight down here 	
g	yeah 	
g	we're talking big straight down here 	
f	have you got local residents 	
g	yes 	
f	right will i w-- end up level with that horizontally level with it 	
g	yeah but not not next to them 	
g	you're about three inches away from them 	
f	right so i'm going straight down 	
g	well 	
g	yeah 	
g	and then 	
g	okay 	
f	mmhmm 	
g	right 	
g	come up to the bottom left-hand side of the local residents 	
f	right 	
g	okay 	
f	uh-huh 	
g	and go up and round them now go you got to cross the the river that goes into crane bay 	
f	mmhmm 	
g	you go up and across at the widest point 	
f	an iron bridge have you got an iron bridge there 	
g	no 	
g	but i would presume you cross it 	
f	yeah 	
f	well i don't fancy swimming it anyway 	
g	no 	
f	am am i going in a kind of curve here 	
g	no 	
g	you're going straight across it 	
g	and then you go in to abou-- you go in and about an inch on the other side of the land 	
f	alright 	
g	okay 	
f	to woodland 	
g	not as far as that aye you're about it should be about an inch away 	
f	alright 	
g	no right 	
f	okay 	
f	right i'm about an inch away 	
g	follow the stream down 	
f	mmhmm 	
g	and then go round go round the bend 	
g	about an inch beyond th-- the apex of the bend 	
f	uh-huh 	
g	now you don't have farm land do you 	
f	eh 	
f	no 	
g	no i knew you didn't 	
g	eh 	
f	oo 	
g	go eh horizontal say three inches 	
f	where in which direction 	
g	to the right 	
f	to the right 	
g	uh-huh 	
f	this is once i'm beyond the apex of the curve 	
g	yeah 	
f	how far should i be beyond the apex of the curve 	
g	well should be about an inch an inch and a half down 	
f	right 	
f	okay 	
g	you've got 	
f	and then horizontally 	
g	down to the right about three inches 	
f	right 	
g	then you go down two inches straight down 	
f	how far am i from the right-hand side of the page just now when i'm when i'm heading horizontally right 	
g	but i 	
g	i've got 	
g	you're you're about an inch 	
f	right okay 	
g	roughly eh 	
f	down 	
g	no 	
g	you you've moved down 	
f	no i haven't yet 	
g	oh right 	
f	i've gone i've gone i've gone horizontal so far after the apex of the curve and then going horizontal 	
f	th-- 	
g	it makes a curve 	
f	i'm at the stop point just now 	
g	ah right 	
g	well go down two inches 	
f	right 	
f	see the dead tree 	
g	yeah 	
g	are you at the same level as that 	
f	yeah 	
g	right 	
g	well then move right across 'til you're at the bottom of the dead tree 	
f	i've got a mountain stream between me and the dead tree 	
g	ah 	
f	like see the gurgling brook 	
g	no 	
f	well see 	
f	great 	
f	see at do you see the river that runs into crane bay 	
g	yeah 	
f	follow that back 	
f	see the big bulge in it at the right-hand side 	
g	mmhmm 	
g	mmhmm 	
f	right 	
f	coming back down towards the left 	
g	yeah 	
f	the river splits in two in mine 	
g	yeah 	
g	uh-huh same here 	
f	i've got a 	
g	it splits on either side of the tree 	
g	you just cross straight over that 	
f	uh-huh 	
f	oh right okay 	
g	i've got 	
g	i assume that's the same thing 	
g	cross straight over 'til you're at the bottom of the dead tree 	
f	mmhmm 	
g	come down two and a half inches vertical 	
f	is there treasure buried here 	
g	uh not on mine there's not 	
f	hang on 	
f	i'm underneath the re-- dead tree just now right 	
g	yeah same here 	
f	back down directly two inches 	
g	straight down aye 	
g	two two and a half no make it three 	
f	i'm not sure i think it should be two 	
g	well 	
f	i i think you're overestimating i want to get to this treasure here 	
f	right right carry on 	
g	what 	
f	i'm u-- underneath the dead tree 	
g	right 	
f	i'm going two inches straight down 	
g	yeah 	
f	right 	
f	right i'm to the right of the treasure buried here 	
g	now 	
g	right well go left two and a half until you c-- approach the side of the lagoon 	
f	mm right i'm kind of cutting through the treasure 	
g	right 	
