Found 2 args.
Observation: q3nc6; Result size: 101; atts: 2
who	$m	
g	have you got the crest falls marked on your map 	
f	yep 	
g	okay 	
g	the start's just above that 	
f	yeah i've got that marked as well 	
g	all right okay 	
g	so you start off eh going toward your left horizontally wee bit then go down the side of crest falls 	
f	okay 	
g	then horizontally left until you're about an inch away from the left-hand side of the page 	
f	right 	
g	you've got the footbridge marked 	
f	eh yeah but it's not there it's in the middle 	
f	so i'll write footbridge 	
g	yes yes okay 	
g	right 	
g	go up the side of the page eh straight up until you're level with the footbridge 	
f	uh-huh 	
f	okay 	
g	then cut along to the footbridge 	
f	underneath 	
g	no 	
g	just eh g-- i mean go along the 	
g	footbridge 	
f	alright 	
f	okay 	
g	just to the end of it 	
f	right okay 	
g	have you got poison stream marked by the footbridge 	
f	n-- eh no the poisoned stream is up in the top left-hand corner 	
g	right okay 	
f	okay 	
g	right well 	
g	just eh once you get to footbridge go directly down for 'bout an inch and a half 	
f	right 	
g	and then along straight along horizontally to your right 	
f	mmhmm 	
g	and you've got the old temple marked 	
f	yeah 	
g	right okay 	
g	go up ss-- the left-hand side of the old temple 	
f	okay 	
g	now go up eh over the top of 	
g	have you got the mountain marked 	
f	yeah 	
g	okay 	
g	go over the top of the mountain and then down beneath the abandoned truck just 'til you get to the left-hand side of the abandoned truck 	
f	okay 	
f	right 	
g	you've not got the baboons marked 	
f	no 	
g	right okay 	
g	go down eh about an inch and a half directly down 	
f	from the abandoned truck 	
g	yeah 	
f	right 	
g	and then horizontally along until you're about half an inch from the left-hand side of the page 	
f	okay 	
g	then go straight up and cut in a bit just to the left of the white mountain 	
f	right 	
g	and then keep going up eh 'til you're about three inches from the top of the page 	
g	you've got the pyramid marked 	
f	yeah 	
g	right okay 	
g	now go along 'til you get to the pyramid 	
f	i've eh i've got a lemon grove 	
g	lemon grove okay 	
g	i would just avoid that 	
f	right okay 	
f	and across to 	
g	the pyramid 	
f	above it or below it 	
g	above it 	
f	right 	
f	right 	
g	above over the other side 	
f	uh-huh 	
g	and then go eh down go along to your left just below the pyramid 	
f	okay 	
g	eh go until you're at the left-hand edge of the pyramid 	
f	uh-huh 	
g	and then go down at a bit of an angle bit of a southwest angle 	
f	mmhmm 	
g	eh for about five inches to where just below the remote village 	
f	right 	
g	and the finish is just southeast of the remote village eh so if you go beneath the remote village for about eh well it's about half an inch from the edge of the remote village 	
f	so i'm on the left-hand side of the remote village right 	
g	right okay 	
f	uh-huh 	
g	just below it 	
f	right 	
g	right 	
g	just go along for about eh three inches two and a half inches 	
f	what along to the right 	
g	yeah 	
f	okay 	
f	i'm underneath it now 	
g	and that's where the finish is 	
g	okay 	
f	okay 	
g	finish is just beyond the remote village 	
f	okay 	
