Found 2 args.
Observation: q4nc3; Result size: 548; atts: 2
who	$m	
g	right lynn you're at the start 	
f	right 	
f	up at the top left-hand page 	
g	uh-huh 	
g	uh-huh 	
g	and you've got a burnt forest beside you just below it 	
f	right 	
g	what my map says is it's actually a curved line but i don't know whether to give you a curved line or a straight line i'll give you a curved line right 	
f	mmhmm 	
g	have you got anything like to the r-- to the left of the burnt forest 	
f	i've got a burnt forest and then straight below it i've got a carpenter's cottage then a ravine that's all i've got 	
g	well i haven't got the carpenter's cottage 	
g	is that directly beside the ravine 	
f	it's 	
f	uh-huh it's directly 	
f	well a wee bit up but i-- near enough 	
g	a wee bit up 	
g	have you got the remote village 	
f	n-- up at up at this side 	
g	beside the burnt forest 	
f	no 	
g	no well what i suggest you do lllll ehm is like right there's a there's a line about quarter of the way down and it's the bottom of it it's from the start right and the bottom of it is in parallel with the ravine 	
f	right okay 	
g	you know the word 	
f	uh-huh 	
g	ravine 	
g	have you got that 	
f	i've got ravine 	
g	right 	
g	so it's like 	
f	so i start from start an-- 	
g	uh-huh 	
g	and it's like a curve 	
f	will i go underneath the burnt forest 	
g	no no you don't 	
f	no sorry 	
f	right 	
g	it's just like a r-- a kind of slight curve 	
f	right 	
g	uh-huh and it's just to parallel with the ravine the word ravine 	
g	okay 	
f	aye wait a minute 	
f	which way am i going 	
f	right i'm at the start 	
g	sorry yeah 	
g	it's a 	
f	you know what i mean i'm 	
g	it's a curve to the right 	
f	a curve to the right 	
f	you've 	
g	uh-huh 	
f	not got the burnt forest you have got ah no you haven't 	
g	no 	
g	i have got the burnt forest 	
g	and it's not through it it's like 	
f	so i'm going a curve and it goes down to the ravine 	
g	uh-huh 	
g	no not to the ravine parallel with it 	
f	right 	
f	jus-- 	
g	bu-- right the bottom of the curve is like parallel with the word start 	
g	do you know what i mean 	
g	it's just a curve 	
g	know what a curve is 	
f	uh-huh 	
g	uh-huh 	
f	right and i'm going towards down towards the ravine 	
g	well the bottom of it 	
f	sorry i can't 	
g	right 	
f	right 	
g	just draw a straight line 	
f	oh right oh god a straight line 	
g	okay just draw a straight line 	
f	oh but it's kind of curvy 	
g	that'll be easy uh-huh 	
f	but i'm still up at i'm still up at the top of page 	
g	uh-huh 	
g	uh-huh 	
f	right i get what you mean now 	
f	at the top of the burnt 	
f	right okay right 	
g	mmhmm 	
g	and you s-- finish your curve at where's the start you know parallel ehm just parallel no no no no f-- just down from start 	
f	right okay okay i've got it i've got it i've got it 	
g	okay an-- 	
g	and it's like parallel to the ravine the bottom of it is like well not parallel but on the same line as the ravine 	
f	ah right 	
f	on the straight line i've go-- it's kind of like as though it's just dubbed directly above the "a" 	
g	what 	
f	sorry on you go 	
f	right i've drawn this line 	
g	right 	
g	is it is it stopping just down from start in a straight line from start 	
f	uh-huh 	
f	well it's kind of curvy 	
g	uh-huh good good 	
g	curvy to the right 	
f	i'm all right curvy to the right 	
g	right 	
g	and then you go across and stop 	
f	this is a-- by the way this is about like five centimetres down from the top of the page this about right 	
g	aye 	
g	yeah 	
f	aye right okay 	
g	it should stop at v-- you know doing the just in a straight line from the ravine 	
g	right 	
f	right i've got it 	
g	in a straight line to like a straight line across like 	
f	towards the pine grove 	
f	you got a pine grove 	
g	no uh-huh yeah yeah 	
g	no not across to there 	
g	vertical right a vertical line this is quite good vertical line and stop just where the "r" is in forest down from forest 	
g	do you know what i mean 	
f	oh wait a minute a vertical line 	
g	mmhmm 	
f	you mean i'm going down towards the ravine i'll be in the ravine 	
g	oh no no 	
g	a horizontal line 	
g	right a vertical a 	
g	horizontal line mmhmm 	
f	towards the right 	
f	and where do i stop 	
g	just down from where the "r" is 	
g	okay 	
f	from pine grove 	
g	mmhmm 	
f	right okay 	
g	right 	
g	and then and then 	
f	oh i'm not allowed to move 	
f	right 	
g	go up again ehm you know how you got the ravine just go up and past the ravine 	
g	have you got the remote village no 	
f	i'm a-- i'm really past the ravine by now 	
f	i'm at the pine grove i'm at at towards the right-hand side of the page 	
g	well go back don't pass the pi-- don't pass the ravine 	
f	oh the "r" of the ravine 	
g	pardon 	
f	i thought you meant the "r" of the pine grove 	
g	no 	
f	right wait a minu-- 	
g	don't pass the ravine okay 	
g	it's the "r" of the burnt forest i was talking about 	
f	oh so you this line was only about two centimetres long 	
g	uh-huh yeah 	
f	right 	
f	right 	
f	i'm not past the ravine 	
g	right okay 	
g	and go up 	
f	up 	
g	up now 	
f	up towards the top of the page 	
g	no 	
g	up towards just right up to the top of the ravine past the birds 	
f	you mean down to the ravine 	
g	no 	
g	up right up to the top of the ravine 	
f	i'm above the ravine 	
f	right 	
g	you're kidding 	
f	right okay wait a minute right 	
f	i came from the burnt forest 	
g	mmhmm 	
f	and i came and i did a d-- a kind of a curvy right just to like towards like 	
f	you see where it says burnt forest 	
g	mmhmm 	
f	just about parallel where it says burnt forest so i'm up there 	
f	do you know where i am 	
g	right 	
f	about five centimetres from the top of the page 	
g	do you want to start again 	
f	right 	
g	right start okay 	
f	right 	
g	vertical line down to the r-- ravine 	
