Found 2 args.
Observation: q6nc1; Result size: 224; atts: 2
who	$m	
g	you start to the left of sandy shore 	
g	eh make your way down towards the well go to the left of the well 	
f	the well 	
g	the well just ehm opposite sandy shore 	
f	opposite sandy shore 	
f	the well 	
g	the well at the tip of crane bay 	
f	the tip of crane bay 	
f	okay 	
f	you mean the right-hand side 	
g	no 	
g	it's at to the left of crane bay 	
f	ah right d-- 	
g	oh the well is to the left of the crane bay 	
g	right 	
g	you have to go around the well to the left of the well 	
f	well 	
g	the well 	
g	you know where crane bay is 	
f	yeah 	
f	it's just a thingmy yeah 	
g	it's just at the tip of crane bay 	
f	just at the top left-hand 	
g	the tip the tip of crane bay the bottom of crane bay 	
f	oh right okay 	
g	just opposite sandy shore 	
g	right 	
f	okay 	
g	right now 	
g	you go down sandy shore round past the well 	
f	down sandy shore round past the well 	
g	uh-huh 	
g	keeping to the left 	
g	right 	
f	the well 	
g	the well 	
f	what is the well 	
g	the well you know a well where you throw the bucket into the water then 	
f	well 	
f	there's no well here 	
g	is there no well there 	
f	no 	
g	right okay right never mind 	
g	you go 	
f	you've got an iron bridge and local residents and stuff and hills 	
g	what have you got what what is uh 	
g	see on your map at the bottom of cra-- bay crane bay 	
g	what have you got 	
f	iron bridge 	
g	iron bridge 	
g	yeah 	
g	well go round that 	
g	right 	
f	go around that 	
g	uh-huh 	
f	the top of it or the bottom of it 	
g	the bottom of it 	
f	uh-huh 	
g	go around it and ehm up towards your right 	
g	right 	
g	now 	
g	you know where the local residents stay 	
f	uh-uh uh-huh 	
g	right now 	
g	you know how there's a groove in crane bay 	
f	a groove in crane bay 	
f	yeah 	
f	a slight one 	
g	right 	
f	mmhmm 	
g	uh-huh right 	
g	you go up to there and at that point you turn right 	
f	you go up to there and turn 	
g	right 	
f	right 	
g	uh-huh 	
g	you go along um now you go along do-- you know the ehm hang on hang on right wait stop there a minute 	
f	uh-huh 	
g	is there a wood to the right of crane bay 	
f	yeah 	
f	woodlands 	
g	woo-- right okay 	
f	woodlands trees and all that yeah 	
g	uh-huh yeah 	
g	right 	
g	don't go right to the very end go about to the middle between crane bay and the wood and stop there 	
g	right 	
f	crane bay and wood and stop middle 	
g	uh-huh stop in the middle 	
g	don't go right along to the woods 	
g	right 	
f	uh-huh 	
g	now 	
g	have you got a does crane bay go on into a forked stream 	
f	it's got a sort of a stream gurgling brook 	
g	right okay 	
g	go ehm 	
g	beside that stream 	
f	mmhmm 	
g	right ehm 	
f	this this map is hopeless by the way 	
g	go beside the stream 	
f	uh-huh 	
g	now 	
g	have you got farmed land 	
f	ehm i've got na-a-a-a-a 	
g	right well 	
f	i've got gurl-- g-- gurgling brook right at the right at the bottom is a dead tree 	
g	does it 	
g	yeah yeah right 	
g	see before the dead tree does the stream divide 	
f	it sort of just goes round doesn't div-- 	
f	yeah it divides 	
g	right 	
g	go down to the division 	
g	right 	
f	uh-huh 	
g	right down to the division beside the stream stop there 	
f	uh-huh 	
g	right 	
g	see to the right of the dead tree 	
g	what is it 	
f	nothing much it's just mountain stream that's 	
g	right 	
g	well go round that to the right of it go round it 	
f	around it 	
g	uh-huh 	
f	uh-huh 	
g	right 	
g	then 	
g	you stop just at the bottom of the dea-- not just ehm 	
g	you know where it says dead tree 	
f	mmhmm 	
g	just stop at the bottom there at the bottom of the dead tree just a few millimetres below the dead tree 	
g	right 	
f	okay 	
f	my map is turning out really really bad 	
f	okay go 	
g	right 	
f	dead tree murgey 	
g	go ehm right 	
g	from the dead tree go down a few centimetres 	
f	uh-huh 	
g	right 	
f	yeah 	
g	have you gone down a wee bit yeah 	
f	yeah 	
g	right now 	
g	is you know how the forked stream divided 	
f	mmhmm 	
g	see at the bottom of the left-hand of the division 	
g	is there a lagoon 	
f	mm yeah 	
g	right uh 	
g	you know where you stopped 	
f	mmhmm 	
g	take it along to the lagoon 	
f	right to the lagoon 	
g	uh-huh 	
f	mmhmm 	
g	right 	
g	stop there 	
g	now 	
g	go down the lagoon next to the lagoon mark it next to the lagoon 	
f	i go right down to the lagoon 	
g	uh-huh 	
g	and stop at the bottom of the lagoon 	
f	mmhmm 	
g	right 	
g	right you got it 	
f	yeah 	
g	right 	
g	now see further down from the lagoon is there rock fall 	
g	and green bay 	
f	mm 	
f	there's green bay yeah 	
g	right 	
g	there's a pirate ship isn't there 	
f	yeah 	
g	right 	
g	have you got just above green bay is there rock fall 	
f	no rock fall 	
f	there's a computer controlled sub 	
g	right right 	
g	from the bottom of the lagoon take your marker round that sub 	
f	around it 	
g	uh-huh 	
f	right down to it around it 	
g	uh-huh 	
g	above it you know round it 	
f	above it yeah 	
g	right okay 	
g	and ehm now 	
g	eh 	
g	green bay 	
f	angie yeah green bay 	
g	there's a kind of ehm 	
g	er 	
g	right take it round round there 	
g	righ-- 	
g	there's a kind of eh tip made at green bay 	
g	you know where the sub is 	
f	mmhmm 	
f	right that right down to the left 	
g	uh-huh yeah yeah 	
f	how about it 	
g	take it through there 	
f	uh-huh 	
g	right 	
g	stop there 	
g	now 	
g	take it to the pi-- 	
g	is there a pirate ship there 	
f	yeah 	
g	right well 	
g	take it down a bit 	
f	down a bit 	
g	from that tip 	
g	right 	
f	mmhmm 	
g	down a few centimetres and take it down to the right towards the pirate ship and that's where you finish 	
f	okay 	
f	fine 	
g	got it 	
