Found 2 args.
Observation: q1nc4; Result size: 226; atts: 2
who	$m	
g	right 	
g	so the start is at the top left-hand side of the page 	
f	uh-huh 	
g	do you have cliffs just to to the right 	
f	to the right uh-huh 	
f	stas-- sandstone cliffs 	
g	mmhmm 	
g	do you have a forge below the cliffs about you know an inch or so down two inches maybe 	
f	er no 	
g	you don't have a forge 	
g	well 	
g	the forge is eh below the c-- the cliffs say about two inches down 	
g	okay 	
g	so you go from the start slightly to your right down the way right a curve 	
f	uh-huh 	
f	how far down 	
g	to the bottom of the cliffs 	
f	right 	
g	and then you start to go left go about half an inch out to the left and d-- and down about you know two and a half inches three inches 	
f	s-- so how far am i from the left of the page 	
g	an inch and a half 	
g	if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there 	
f	right 	
g	so now you're about 	
f	no hold on a minute 	
g	you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact fo-- four inches down 	
g	okay 	
f	right 	
f	hold on wait a minute 	
f	am i right under the sandstone cliffs 	
g	no no 	
f	no 	
g	no 	
g	the initial line from th-- the cross 	
f	mmhmm 	
g	goes right but it doesn't go as far right as the cliffs 	
f	right okay 	
g	it goes down to where it says cliffs 	
g	okay 	
f	uh-huh 	
g	about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're ab-- 	
f	right 	
f	straight down under the start 	
g	yeah 	
f	right 	
g	until you're about you know four inches or four and a half inches or so down from the start 	
f	okay 	
g	do you have an old pine 	
f	uh-huh 	
f	in the right kind of towards the middle a bit 	
g	yeah 	
g	a single old pine 	
f	uh-huh 	
g	w-- and down down as far as that 	
g	okay 	
f	right 	
g	but you know beneath the start 	
f	uh-huh 	
g	so then you go right which would be under the forge and you go up over the old pine 	
g	okay 	
f	right 	
f	right up over the pine 	
g	over the pine 	
f	and i go right as far as the pine 	
g	yeah more or less 	
f	if you see what i mean 	
g	as as long as you avoid the forge and the pine you you don't have to 	
f	oh 	
g	worry too much about the exact 	
f	okay 	
f	i don't have a forge anyway 	
g	route but eh 	
f	right 	
f	up 	
g	right 	
g	so y-- once you're at the top of the pine if you go about two and a half inches three inches to the right 	
g	have you got a pine forest 	
f	uh-huh 	
g	you have 	
g	well 	
g	just go down the left-hand side of the pine forest 	
f	am i and am i going straight kind of along the outline of the bay 	
g	you've got a bay there 	
f	uh-huh 	
g	i don't have a bay there 	
g	it'll be at the top 	
f	uh-huh 	
g	have you got a bay at the bottom 	
f	yeah 	
g	crane bay 	
f	uh-huh 	
g	where's the one at the top 	
f	it's just in the centre of the page at the top very top 	
g	how far down 	
f	erm about an inch and a half 	
g	yeah well 	
g	don't go much you know don't go any higher than than the the height of the old pine or or the forest that must be where the bay is i don't have a bay there but th-- the route you know must miss the bay er so you know just go along 'til you get to the pine forest more or less and then go go down on the left-hand side of the pine forest 	
f	uh-huh 	
f	okay 	
g	okay 	
g	once you're at the bottom of the pine forest just where it says pine 	
f	mmhmm 	
g	okay 	
g	if you if you just kind of draw a draw an arc er to the right just more or less the same direction as you've been going until 	
g	have you got wheatfields 	
f	no 	
g	on your map 	
g	no well the 	
f	oh yeah uh-huh 	
g	you have right 	
f	mmhmm 	
g	well 	
g	just draw the arc and stop the arc t-- you know in line with the wheatfields but beneath the pine forest 	
g	okay 	
f	i 	
f	don't understand 	
f	say that again 	
g	oh two or three inches down from the pine forest 	
g	okay you know 	
g	it doesn't have to be an arc as long as you avoid all the obstacles i think eh if you you know if you finish up eh in line with the wheatfields 	
g	okay 	
g	but beneath the pine forest you if you stop drawing your line there 	
g	above the bakery in other words ab-- above the eh th-- th-- th-- 	
f	whe-- 	
f	where is your wheatfields 	
g	well er you know 	
g	ca-- imagine where the forge would be on your map or it's o-- it's on mine but imagine where it would be 	
f	mmhmm 	
g	about two inches down from that in in between the the forge and the old pine 	
f	right 	
g	on the left-hand side 	
g	okay 	
g	so 	
g	where are you now 	
f	right 	
f	i'm going down past the pine forest in an arch towards the wheatfields 	
g	mmhmm 	
g	no no no 	
f	no 	
g	no 	
g	don't worry about the wheatfields it's just to tell you where to stop the line 	
f	right okay 	
g	never mind about it being an arc or a curve or anything 	
f	okay 	
g	just just go down the left-hand side of the pine forest 	
f	right 	
g	okay 	
g	and once you get to the where it says pine draw a line from there to eh above the bakery but not the chimney a bit to the left of that in fact the left-hand side it must be a wee shed or whatever it is 	
f	right 	
g	you see what i m-- 	
f	and i'm going s-- am i going straight down 	
g	yeah 	
g	but stop when you get just to above the bakery 	
f	uh-huh 	
f	right okay 	
g	then just go round the bakery on the right-hand side just draw a an oval shape round the right-hand side of the bakery 	
f	i'm go-- i'm going down and round 	
g	yeah 	
g	right round it uh-huh 	
f	uh-huh 	
f	right 	
f	now where 	
g	underneath the bakery 	
f	uh-huh 	
g	have you got a canal 	
f	no 	
g	no 	
g	well 	
g	the canal is about two inches to the left-hand side of the bakery but it's in line with it 	
g	so once you get an inch or and a half or so past the bakery 	
f	mmhmm 	
g	eh take your line down to crane bay 	
g	oh i've got two wheatfields that's not important is it right anyway w-- 	
g	so you get to the canal right you don't have one but g-- just go down about two inches until you get to crane bay and follow follow the curve 	
g	okay 	
g	of crane bay 	
f	uh-huh 	
f	right round to the left 	
g	but not don't go down just go along don't go dow-- don't go down where it it really curves away there don't don't follow that 	
f	right 	
f	okay 	
g	so you're at the top le-- left-hand side of crane bay right n-- just northwest of where it says crane 	
f	uh-huh 	
g	or the s-- where the "c" is 	
f	uh-huh 	
g	i've got wheatfields in line with where it says bay okay about an inch or so to the left of crane bay itself just in line in fact beneath where the other wheatfields were that i that i was telling you about 	
f	mmhmm 	
f	right okay 	
g	okay 	
