Found 2 args.
Observation: q2nc6; Result size: 106; atts: 2
who	$m	
g	okay 	
g	go from the start 	
f	yeah 	
g	eh come down the page 	
g	you have the diamond mine 	
f	yeah 	
g	come down the page to below the l-- words diamond mine 	
f	right 	
f	go round on the left-hand side of it 	
g	eh yeah 	
f	okay 	
g	now if you move to about halfway across the page 	
f	mmhmm 	
g	slightly up the way 	
f	okay 	
g	there's there's an obstacle there there's a wagon wheel 	
g	do you have that 	
f	no i don't 	
g	er if you imagine that that's just about halfway across the page 	
f	yeah okay 	
g	and go round it to the right and up 	
f	and up 	
f	er how far you keep on going to the right to the top 	
g	no 	
g	er go round it to the right go up about another inch and then carry on to the right 'til you're almost at the top of the page 	
g	do you have the rift valley 	
f	yeah i do 	
g	well you go round the cactus on the left 	
f	yeah 	
g	and come right down the centre of the rift valley 	
f	ah 'cause of my cactus is below the rift valley 	
g	directly below it 	
f	yeah 	
f	well two inches to the left of it 	
g	erm well if you stay to the right of the cactus then 	
f	right of the cactus 	
g	and st-- straight down 	
g	do you have rocks 	
f	yeah 	
g	okay 	
g	do you have the stone creek on the left of the rocks 	
f	no 	
f	i've my rocks are right on the right-hand side 	
g	okay 	
g	imagine exactly halfway across the page to the left of the rocks there's a an obstacle 	
f	okay 	
g	and come f-- down from the rift the rift valley avoiding the cactus and start to move left 	
f	okay 	
g	between the rocks and this imaginary obstacle 	
f	okay 	
g	until you're exactly halfway across the page 	
f	halfway across the page 	
g	yeah 	
f	okay 	
g	do you have white water 	
f	i've got rapids on my left 	
g	are they s-- 	
g	are they slightly below where you are now 	
f	eh they're at the same level 	
g	okay 	
g	well go up and round them 	
f	okay 	
g	and then straight down 'til you're about two thirds down the page 	
f	okay 	
g	do you have an outlaws' hideout on the other side of the page 	
f	i do 	
f	yeah 	
g	well you've to move from where you are now right and up to just below the letters of that outlaws' hideout 	
f	okay 	
g	now you have to go carry on to the right until you're about an inch away from the edge of the page and start to come down 	
f	right i've got a gold mine here 	
g	a gold mine 	
g	where about 	
f	er just ehm just to the right and above it 	
g	is it bet-- bet-- between you and the outlaws' hideout 	
f	ye-- no 	
f	it's er it's on the other side of the outlaws' outlaws' hideout 	
g	on the right or left 	
f	well the outlaws' hideout hideout's at the top and then below is the gold mine 	
g	okay 	
g	well go between the gold line gold mine and the outlaws' hideout 	
f	right okay and then down 	
g	and then straight down keeping about an inch away from the edge of the page 	
g	do you have the noose 	
f	yeah 	
g	you've to go below the noose about two inches below the noose 	
f	okay 	
f	and then across 	
g	and then across 	
g	but there's a swan pond 	
g	do you have that 	
f	no i don't 	
g	okay 	
g	well what you've got to do is moving across to the left you should be about three inches from the bottom of the page 	
f	yeah 	
g	it would be a-- draw a curve up the way about another inch higher 	
f	mmhmm 	
g	and come back down to the same level about four inches across 	
f	okay 	
g	do you have the saloon bar 	
f	yeah i do 	
g	well move from where you are now down to below the words of saloon bar 	
f	yeah 	
g	and then up 'til and the finish is just here on er the same level as the roof of the saloon bar and about an inch two inches from the edge of the page on the left 	
f	okay 	
g	okay 	
