Found 2 args.
Observation: q4nc1; Result size: 258; atts: 2
who	$m	
g	right 	
g	you got a map with an extinct volcano 	
f	right yes i have 	
f	i'm just in front of that 	
g	right 	
f	with the start 	
g	right 	
g	you've got a cross marked start 	
f	yes 	
g	right 	
g	if you just want to come like down past the extinct volcano down to like to towards the bottom of the page 	
f	right okay 	
f	just straight down directly south 	
g	uh-huh just straight down 	
g	uh south 	
f	how far 	
g	south down to about equal to where the tribal settlement is further on 	
f	equal to where the tribal settlement is 	
g	just a wee bit below it because you're going to go start going ehm west you 	
f	right 	
f	i've no g-- i've not got any tribal settlement at all and other than that i've got an extinct volcano and that's heading down towards 	
g	y-- you've not got a t-- 	
g	you've not got 	
f	the bottom of the page 	
g	you've not got to the left-hand side a tribal settlement 	
f	no i haven't 	
g	well you're going to go down about three centimetres down to where it the word says extinct volcano 	
f	right okay 	
g	okay 	
g	then you're going to start going along west 	
f	west right okay for 	
g	right 	
g	keep on going until you're maybe about three centimetres from the the left-hand side of the page 	
f	from the left-hand s-- 	
f	that's quite a bit 	
g	uh-huh it's quite far along 	
g	'kay 	
g	so just about three in-- three centimetres from the left-hand side 	
f	right okay 	
g	okay 	
g	then you're going to start going up north 	
f	right okay 	
g	right 	
g	have you got a rope bridge 	
f	i have just up to sort of 	
g	uh-huh 	
g	so if you start just drawing drawing a line up towards the rope bridge 	
f	up towards going diagonally across to the rope bridge 	
g	uh-huh 	
g	just going up then veering off to the right up to the rope bridge 	
f	'kay 	
g	then you're going to go across the rope bridge 	
f	right okay 	
f	so i draw a line through the rope bridge 	
g	uh-huh 	
g	you're going to go through that 	
f	okay 	
g	right 	
f	the end of the rope bridge 	
g	you're at the end of the rope bridge 	
g	now if you go down not very steeply but just ehm down south a bit 	
f	down right 	
g	about about another three centimetres just a gradual slope down 	
f	gradual sort of south through east 	
g	uh-huh 	
g	uh-huh slope to the east 	
g	aye south to east slope down about three centimetres 	
f	okay 	
g	right 	
g	so now you want to go east 	
f	right okay 	
g	straight across 	
f	just a straight line east 	
g	just a straight line 	
g	for about 	
f	how far 	
g	have you got a collapsed shelter 	
f	yes i have that's a-- 	
g	right 	
g	you're going to go along until you're underneath the collapsed shelter 	
f	right i'll be underneath it by about two or three centimetres 	
g	but 	
g	uh-huh just a little below the "o" actually 	
f	right okay 	
g	okay 	
g	then you're going to start going up north again 	
f	okay 	
g	and put your line through the "o" 	
f	okay 	
g	and you're going to go up there for about about ehm let me see about ten centimetres up 	
f	okay 	
f	past the crevasse on the right on the left 	
f	have you not got a crevasse 	
g	i've not got a crevasse 	
f	no okay 	
f	for about ten centimetres 	
g	uh-huh ten centimetres straight up north 	
g	right 	
g	and then you're going to actually you're not just going to go ehm when you go st-- you're going to go back west again but if you actually kind of go up a wee bit then diagonally down know what i mean like in a wee hump 	
f	right 	
f	oh right i see what you mean 	
g	okay 	
f	uh-huh 	
g	you know if you go up and then come back down 	
