Found 2 args.
Observation: q6ec1; Result size: 260; atts: 2
who	$m	
g	right 	
g	top left sandy shore 	
f	okay 	
g	down at the bottom of it bottom left of it follow the s-- line stream i presume it is to the top of the well 	
g	you don't have a stream 	
f	i don't have a well 	
g	right 	
g	do you have a well 	
g	no 	
f	right 	
f	i've got the sandy shore and i've got a cross saying start 	
g	right 	
g	right okay 	
g	now down slightly to 	
f	down the middle or straight 	
g	slightly sloped slightly sloped that way 	
f	to the towards the west or east 	
g	right 	
g	east 	
f	right okay 	
g	but don't go down too far 	
f	straight 	
g	uh-huh 	
g	and then 	
g	you don't have a well 	
f	no 	
g	right 	
g	so before does your stream turn to the right 	
f	i don't have a stream 	
g	you don't have anything 	
f	are we talking about the top left 	
g	yes 	
f	right okay 	
g	do you have anything 	
f	no nothing at all 	
g	is your page just blank 	
f	no no 	
f	but this bit up here is 	
g	okay 	
g	right down about three centimetres 	
f	uh-huh 	
g	and then slightly to the east that way and then turn to the west and like curve round like that except it'll be the other way 	
f	okay 	
g	and then 	
g	after you finish the curve continue to the east 	
g	do you have a house with local residents 	
f	under crane bay 	
g	yeah 	
f	do you see this river coming down 	
g	the big river 	
f	yeah 	
f	have you got an iron bridge 	
g	no 	
g	no 	
g	no 	
g	mm 	
f	are you going to the treasure 	
g	treasure 	
g	a pirate ship at the bottom bottom left 	
f	no 	
f	okay never mind 	
f	have you got hills 	
g	yeah 	
f	right 	
f	where are you going above the hills 	
g	above the hills 	
f	to the east of that or what 	
g	to the east of that 	
g	nearly to the end of the hills 	
f	i'm just going straight down there then 	
g	no 	
g	we're just going east 	
g	have you passed like have you done the curvy bit 	
f	well sort of yeah 	
g	right 	
g	and then sort of curve on to the east along the east 	
f	how far down the page am i now 	
f	okay 	
g	ten centimetres 	
f	east 	
f	i just keep going east 	
g	east 	
g	to about couple centimetres off the top off the end of the hills 	
f	we've probably got different hills 	
f	okay that's me 	
g	and 	
g	then curve upwards 	
f	mmhmm 	
g	back to the stream to where you c-- to where you cross the stream 	
f	this big thing 	
g	do you have like two black lines and then a big stream 	
f	right 	
f	i'll tell you what i've got i've got this bit of water from where the start is 	
f	okay 	
g	uh-huh 	
f	and i've got one big sort of river thing coming down and that's it 	
g	right 	
g	s-- 	
f	and then it splits into two 	
g	you've got crane bay 	
g	at the top 	
f	mmhmm 	
f	yeah 	
g	uh 	
g	right 	
g	and you've got like the two bits round two lines round crane bay 	
f	uh-huh 	
g	so you cross that go up go back up and cross that 	
f	how far down the river bit 	
g	about two centimetres from where the two lines meet more sort of come into one 	
f	describe what you've got 	
g	right 	
g	i've got i've got my forked stream on the page 	
g	right 	
g	have you got something saying forked stream 	
f	i have 	
f	halfway down 	
g	right now go up to the left from that 	
g	right 	
g	okay 	
g	follow the stream up 	
f	but i thought we're starting at the top 	
f	follow the stream to the fork 	
g	yeah i know 	
g	list-- i know this is me explaining what i've got 	
f	oh alright okay 	
g	on the page 	
g	right 	
g	and then when it gets to the top one bit of the stream goes up and one bit goes left and up 	
f	one bit goes up 	
g	it round crane bay 	
f	mine just goes straight up goes like that into crane bay 	
f	how do you cross it anyway 	
f	have you got bridges 	
g	no 	
g	i don't have a bridge but maybe that's your bridge then that's how it's crossed 	
g	you got a bridge 	
f	up at the very very top at crane bay 	
g	how many centimetres off the top of the page 	
g	yeah that could be it 	
f	but i've got a house just below that local residents 	
g	yeah 	
g	so have i 	
f	so am i going on top of that or what 	
g	mmhmm 	
f	under it 	
g	go up 	
g	no 	
g	round the round to the le-- the left of the house 	
f	right okay 	
g	and up to probably where your bridge is then 	
f	right okay 	
g	right 	
g	and then you go right 	
f	over the bridge 	
g	over the bridge 	
g	well i don't know i don't have the bridge but it looks over the bridge 	
f	uh-huh 	
g	have you another bridge no 	
f	not that side 	
g	up near where that one is no 	
g	well keep going right for about four centimetres 	
g	do you have a wood 	
f	yeah 	
g	you're roughly in line with the wood or slightly 	
f	okay 	
g	sort of nearly the middle of the wood but not quite down a bit 	
g	in the middle 	
f	mmhmm 	
g	right 	
g	now go down and round the forked stream 	
f	quite a lot 	
g	round the forked stream 'til you come to like about the "m" in stream 	
g	now 	
g	do you have farmed land 	
f	nope 	
g	do you have a dead tree 	
f	yeah 	
g	right in like where two streams meet you have a dead tree 	
f	uh-huh 	
g	right 	
g	to the right of that across the stream there's a big bit of farmed land 	
g	right 	
f	mmhmm 	
g	about seven or eight centimetres along 	
g	so what you've got to do now is like go round that 	
f	in the between the farmed land and the stream or round the whole thing 	
g	no 	
g	round the farmed land 	
f	right 	
f	so way out to m-- east 	
g	way out 'til about 	
g	yeah 	
g	to about two centimetres off the end the page 	
f	okay 	
g	then about four centimetres down 	
f	mmhmm 	
g	and then back in again 	
f	about in line with this dead tree 	
g	so you're just below the dead tree 	
f	okay 	
g	and then you cross the stream so's that you are actually below the dead tree 	
f	i don't actually have anything to cross it with but 	
g	neither do i 	
f	that's okay 	
g	right 	
g	do you have pine grove 	
f	yeah 	
f	bottom right 	
g	do you have a lagoon 	
f	no 	
f	oh where 	
f	i've got green bay 	
g	about the middle 	
g	mm right 	
f	oh yeah i've got lagoon yeah 	
g	from where you are below the dead tree go straight down 'til you're in line with the lagoon 	
f	straight down uh past the buried treasure 	
g	which i don't have 	
f	never mind 	
f	okay 	
g	and then go west 'til you nearly reach the lagoon 	
g	right 	
g	and then down round that to the bottom the tip of the lagoon 	
g	right now 	
g	do you have a rock fall 	
f	no 	
g	right you have green bay 	
f	mmhmm 	
g	do you have ehm 	
g	right 	
g	green bay is a bay right see the top point of green bay the outer point 	
f	the westerly one 	
g	yeah 	
g	westerly point the top the end bit of land 	
f	mmhmm 	
g	that like comes to a point right 	
f	the bit that looks a bit like india or something 	
g	yeah mmhmm 	
g	right 	
g	so you come from the bottom of the lagoon and you're wanting to go there but the wee 	
g	if you look in the top line of green bay there's like a wee dent in it 	
f	mmhmm 	
g	that's a rock fall of about three centimetres high 	
f	okay 	
g	so you have to come from the bottom of the lagoon over that and then down to the tip 	
f	right 	
g	'kay 	
g	now 	
g	just like cur-- 	
g	do you have a pirate ship 	
f	yeah 	
g	right yeah and 	
g	you're meant to finish just at the front of the pirate ship so just like curve round 	
f	over the water 	
g	yeah 	
f	anywhere in this pirate ship 	
g	the the west the front 	
f	aye okay 	
g	and that's you 	
