Found 2 args.
Observation: q3ec7; Result size: 110; atts: 2
who	$m	
g	right 	
g	the start is at the top left-hand side of your page 	
f	mmhmm 	
g	there is a diamond mine to the right 	
f	yes 	
g	go due south to the left of the diamond mine and curve underneath it 	
f	do i come up round the other side of it 	
g	i would go wes-- to go due east straight past it 	
f	right i have it 	
g	i have a graveyard on mine 	
g	which i don't believe you have on yours 	
f	no i haven't got it 	
g	all you have to do is 	
g	you have carved stones 	
g	is go east almost to the left of the carved stones or sorry to the left of the carved stones and come up round in a big curve round the carved stones 	
f	yeah 	
f	round the top of it 	
g	uh-huh 	
g	so i want you to avoid the graveyard so i want you to go due east 	
f	it's j-- 	
g	and 	
f	i'm i'm 	
f	underneath the diamond mine 	
f	just straight due east from there 	
g	due east 	
g	and then up to the left of the carved stones 	
g	that way you'll avoid the graveyard which is to the right of the diamond mine 	
f	fine 	
f	okay i'm round at the top right of the carved stones 	
g	right 	
g	i want you to go 	
g	do you have indian country 	
f	yeah 	
g	i want you to go due south until and then just go due south 	
f	mmhmm 	
g	not as far as indian country a couple inches above it 	
f	okay 	
g	okay 	
g	i have a great rock on mine which i don't think you have on yours 	
f	mmhmm 	
g	it's to the west of indian country 	
f	mmhmm 	
g	so i want you to go southwest down to the left of indian country that way you should avoid the s-- the great rock so i want you to go southwest down to the left of indian country to the level of the writing indian country 	
f	right 	
g	alright 	
g	go due west 	
g	you ha-- also have a gold mine don't you 	
f	mmhmm 	
g	go west and curve round the top of the gold mine and down the other side 	
f	okay 	
f	i'm at the bottom of the gold mine at the bottom left 	
g	right 	
g	i want you to go due south 	
g	you have do you have a cavalry stockade 	
f	nope 	
g	right 	
f	oh eh 	
g	no you don't 	
f	no i don't have it 	
g	go due south down the left-hand side of the gold mine 	
f	mmhmm 	
g	f-- 'til you'll 	
g	you have a trout farm 	
f	no i've got a i've got a trout farm over to the right underneath indian country here 	
g	mmhmm 	
g	i want you to go three inches past that going south in other words just to the level of that i mean not the trout farm 	
f	to the level of what 	
g	inches three south of the level of the trout farm going due south past the gold mine 	
f	okay 	
f	i've got a totem pole just about where i am now just about where you s-- 	
g	right 	
g	i want you 	
g	to curve underneath that 	
g	is that correct 	
f	uh-huh 	
g	and curve back up underneath the trout farm so basically you're coming in a big curve underneath your totem pole 	
f	mmhmm 	
g	and curving up past the trout farm 	
f	okay 	
g	so you're below the trout farm 	
f	yeah 	
g	i want you to go due east 	
f	mmhmm 	
g	underneath the trout farm 	
f	mmhmm 	
g	across to the right of your page 	
f	okay 	
g	about an inch in from the right of your page should do 	
f	right 	
g	i've got a cavalry thing which you don't have 	
g	so avoiding that i want you to go due south from where you are which is the edge of the page 	
f	mmhmm 	
f	how far to-- 	
g	down past the cattle stockade i want you to go underneath the cattle 	
f	mmhmm 	
f	okay 	
g	and go west to the edge of the cattle stockade underneath it 	
f	mmhmm 	
f	right 	
g	you then have a stream down there is that correct 	
f	parched river bed 	
g	parched river bed 	
g	i want you to go up and above curving above that to avoid it not much just enough 	
f	okay 	
g	i want you then to go southwest and due west underneath the bandit territory 	
f	okay 	
g	you then curve up just above the level of the bandit territory an inch or in from your page 	
f	mmhmm 	
g	and that's your end 	
f	lovely 	
