Found 2 args.
Observation: q5nc4; Result size: 291; atts: 2
who	$m	
g	okay 	
g	you're going to go down slightly to the right just slightly in sort of ehm in a curve shape an outward curve curve shape from the cliffs 	
f	mm 	
g	okay 	
f	now 	
f	where do i go from the start 	
g	right 	
g	you're going to go down 	
g	right 	
f	uh-huh 	
g	but just slightly down and slightly to the right 	
f	uh-huh 	
f	so i go underneath the cliffs 	
g	so you're get going to get a curve shape 	
g	uh-huh a-- 	
f	uh-huh 	
g	curve at the cliffs 	
f	yeah 	
g	right 	
f	right 	
g	have you got a forge 	
f	ehm no 	
g	no 	
f	no 	
g	right 	
g	come to the left 	
f	right 	
f	so i go underneath the cliffs 	
g	no don't go underneath the cliffs 	
f	no 	
f	no 	
f	right 	
g	no no no 	
g	it's like a backward "s" shape you're forming 	
f	mm yeah think i know 	
g	right 	
f	yeah okay 	
g	so 	
g	at at the bottom of the sort of backward "s" 	
g	have you got that far 	
f	i don't know 	
g	right okay right 	
g	from the start you're going to go down slightly to the right and form a curve an outward curve 	
f	to the right to the right okay 	
g	okay 	
f	thanks 	
g	and then 	
g	you're going to do the opposite of that you're going to go out 	
g	further to the left 	
f	mm 	
f	yeah 	
f	now 	
f	i've got an old pine here 	
g	come back an old pine an old pine 	
f	what do i do in relation to it 	
f	oh and you don't have it 	
g	right ehm 	
g	is the old pine at the the bottom of the curve or sort of next to it 	
f	the old pine is ehm underneath and 	
g	underneath the curve 	
f	to the to the right of the cliffs 	
g	really ehm 	
f	right okay 	
f	forget the old pine 	
g	okay 	
g	well you're going to go round the old pine 	
f	right 	
g	right 	
f	am i 	
f	right 	
g	but 	
f	ah 	
g	go round the old pine 	
f	mmhmm 	
g	okay 	
f	wh-- right 	
f	what am i going above it or what 	
g	above it 	
g	above it 	
g	straight above it right 	
f	right 	
f	okay 	
g	go slightly 	
g	let me see 	
g	ehm going to go to the left go slightly to the left and you're going to curve down just a slightly go about f-- about ehm five centimetres 	
f	now where am i now 	
g	right 	
f	don't know where i am 	
g	go five centimetres 	
g	are you near a pine forest 	
f	eh yeah i can see 	
f	the pine forest 	
g	right 	
g	right 	
g	go sort of like slightly just parallel to the pine forest but about three centimetres out from it 	
f	mm 	
f	so i go over to the pine forest and then go down 	
g	no no no right 	
f	no 	
g	right 	
g	go to the point where you're 	
g	see the top of the pine forest 	
f	uh-huh 	
g	the top of it right 	
f	yeah 	
g	you're going to go to the left right you should be at the left of it right and paralle-- parallel to it 	
f	mmhmm 	
g	right 	
f	yeah 	
g	are you there 	
f	ehm think so 	
g	okay 	
f	right 	
g	ehm 	
f	oh dear 	
g	right 	
g	ca-- you're going to slope down and it's going to be 	
g	oh let me see how i could explain that 	
g	at about five o-- 	
g	say how like at five o'clock you'll have a small hand with the small hand sort of like darting down towards the five 	
f	mmhmm 	
g	right 	
g	go down that that way to the bottom of pine forest at a slant 	
f	right 	
g	right 	
f	uh-huh yeah 	
g	right now 	
f	okay 	
g	you're going to form another outward curve like half a circle 	
f	mmhmm 	
g	just do sort of like a small half circle to your sort of like ehm a quarter down the page 	
f	mmhmm 	
f	so where am i heading 	
g	right are you ne-- a-- 	
g	right 	
g	are y-- you near a bakery 	
f	eh yeah 	
