Found 2 args.
Observation: q3ec4; Result size: 154; atts: 2
who	$m	
f	ah where do i start ross 	
g	the start is ah here it's due north of the crest falls at the bottom right-hand side of your page 	
f	oh right i've got it see it anyway right 	
g	right ehm go just beyond the crest falls to to y-- well it's my left anyway mmhmm i think it 	
f	be my left as well 	
g	t-- ah yeah 	
g	to y-- to the we-- to the west then 	
g	okay 	
f	west 	
g	come s-- due south to level at the bottom of crest falls 	
f	how far do you west do you want me to go 	
g	just beyond crest falls 	
f	right okay yes 	
g	due south to level at the bottom of crest falls 	
g	that sounded like a long line ken 	
f	just the bottom 	
g	it's right ehm 	
g	go right along to about an inch from the end of the paper 	
f	right 	
g	go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge 	
f	east over the footbridge 	
g	yeah 	
g	just stop 	
f	right 	
g	ah right 	
g	do you have a poisoned stream directly east 	
f	no 	
g	right 	
g	come due south from the edge of the footbridge straight south for about two inches 	
f	two inches right 	
g	just ehm just about an inch above the starting cross 	
f	right that's okay 	
g	then do you have the old temple 	
f	yes 	
g	right 	
g	go east and go north west of the old you know go north just to the west of the old temple 	
f	do you go m-- go right 	
f	go to the right 	
g	ah yeah 	
g	and go up to the left of the north temple of the old temple go north to the left of the old temple 	
f	right 	
g	go keep going up 'til you're about an inch below the "x" marks finish 	
g	which i don't know if you have 	
f	i don't have "x" marks finished 	
f	how far above the old temple 	
g	right 	
g	can you see the remote village 	
f	yeah 	
g	do you have the remote village 	
f	so this is about a ten inch line from the where i am just now 	
g	ten inches get away i don't know if i'd say that 	
g	do you have the abandoned truck 	
f	right aye 	
g	right 	
g	well see ah about an inch above the abandoned truck that is where you should be 	
f	right okay 	
g	now are y-- 	
g	go straight across to the abandoned truck and then come south so that you're just underneath it 	
f	how far right to my my left 	
g	go to your left 'til you're uh ah until you're level and then south so that you're just underneath it you should be above it 	
f	so i do i go to the left of the abandoned truck 	
g	you go to your left obviously yes 'cause that's where the abandoned truck is now south so that you're just underneath it and just go to the end of the abandoned truck 	
f	right 	
g	now do you have baboons 	
f	no right do i do i i stop before i reach the abandoned truck or after i reach the abandoned truck 	
g	stop after you reach the aba-- just just right after you've gone under it 	
g	okay 	
f	right okay right 	
f	so i go back left again i keep going left agai-- i go down then i go left 	
g	oh yeah 	
g	you s-- you you keep goi-- 	
g	you go down and then you go left 	
g	right an-- you you y-- right uh ye-- i don't suppose you've got the balloons the baboons 	
f	right okay let me cross this bit 	
f	i haven't got any baboons no 	
g	ehm 	
g	right do you know where y-- y-- a-- go down about two inches 	
g	okay 	
f	right 	
g	'til you're about an inch above the path that you took to the footbridge 	
g	is that right 	
f	aye 	
g	right 	
g	and go due west as in to your left 	
f	right 	
g	to the edge of the page 	
f	right 	
g	do you have the white mountain 	
f	uh-huh 	
g	right 	
g	go right up to the top of the page 	
f	right to the top 	
g	yeah 	
g	ehm do you have the pyramid 	
f	yes 	
g	come right to the page come right along and just go round the pyramid go round it and then under it so and then stop just at the just after you've been under the pyramid 	
f	right got you 	
g	right do you have the cobbled street 	
f	no 	
g	do you have the remote village 	
f	yes 	
g	the remote village is about 	
f	should b-- directly below me almost 	
g	are you just you should have gone just right under the pyramid should 	
f	right i'm right under it 	
g	right exactly 	
g	right 	
g	come across a tad 'til you are a-- r-- roughly a centimetre from the white mountain if you take a line up but not un-- a-- y-- y-- you know as-- it-- so that your line is the same direction that you took the line under the pyramid 	
f	mmhmm 	
g	just take it a wee bit further across so that you'll clear the remote village 	
f	right all right no problem 	
g	right 	
f	right 	
f	i'm so i'm just above the white mountain 	
g	you're actually above it 	
f	mmhmm 	
g	if you t-- if you take a line due south you're going to hit it 	
g	all i want you to do is clear the remote village 	
f	i have cleared it 	
f	right the remote village is like ah four inches below the pyramid in this 	
g	what 	
g	yes 	
g	you are just b-- you are just below the pyramid 	
f	right 	
f	a-- a-- 	
g	you've come out about a centimetre from 	
f	right 	
f	i'm in between the remote village and the pyramid 	
g	are you 	
f	uh-huh 	
g	why 	
f	because you told me to come under the per-- pyramid 	
g	yeah 	
g	you're under the pyramid 	
g	okay right 	
f	right 	
g	but you haven't gone far enough across so that you're so that if you came south you'd hit the white mountain 	
f	i have come across far enough now 	
g	well that's wrong then 	
f	right 	
g	go go back so that you'll just miss the remote village if you come south 	
f	right i've got you 	
g	right 	
g	ah so come down 	
f	uh-huh 	
g	come down just past the remote village 	
f	right 	
g	and go to your right 	
f	how far 	
g	just past the remote village 	
g	and mark "x" 'cause that's us finished a complete trial 	
f	right 	
f	right 	
f	right that's it 	
