Found 2 args.
Observation: q3nc8; Result size: 137; atts: 2
who	$m	
g	right 	
g	have you got the start above the haystack 	
f	yeah 	
g	right 	
g	if you want to sort of ehm head down towards the haystack right pass it by on its left-hand side 	
f	yeah 'kay 	
g	right 	
g	and head more or less straight down maybe curving slightly towards your left 	
f	have you got a blacksmith marked 	
g	no i don't 	
f	no 	
g	ehm head down for about eh two inches from the haystack two and a half inches 	
f	two inches okay 	
g	right 	
g	ehm go to your right towards the carpenter's house 	
f	all right 	
f	well i'll need to go below got a blacksmith marked 	
g	right well you do that 	
f	do you want it to go below the carpenter 	
g	no 	
g	i want you to go up the left-hand side of it towards green bay and make it a slightly diagonal line towards ehm sloping to the right 	
f	okay 	
f	so you want me to go above the carpenter 	
g	uh-huh 	
f	right 	
g	towards the bay 	
f	the bay 	
g	have you got the bay no 	
f	what crane bay 	
g	green bay 	
f	no i don't have a crane bay 	
g	right 	
g	okay well head up above the carpenter's house for about ehm it should be about an inch above it 	
f	alright 	
f	okay 	
g	and head slope slightly down the way for about two inches 	
g	right 	
g	do you have the seven beeches 	
f	well okay 	
f	nope oh yes i do sorry 	
g	you do 	
g	right 	
g	go down past them on their left-hand side 	
f	okay 	
g	and stop when you get to where it says seven beeches 	
f	okay 	
g	now you're going to go underneath that bit you're going to make a slight curve ehm to the right right while it's still going down the way 	
f	right 	
g	because you're avoiding a chapel which i don't think you've got 	
f	no 	
f	so i'm going right 	
g	uh-huh you're going right 	
g	make it a curve sort of 	
f	down the way 	
g	down the way uh-huh 	
g	out towards the the right-hand side of your paper 	
f	okay 	
f	how far out towards right-hand side 	
g	right 	
g	not too far just like you were drawing a circle but not quite 	
f	okay 	
f	right 	
g	ehm now you're slightly less than an inch below the chapel 	
g	you haven't got the chapel ha ha ha 	
f	no 	
g	you're about two and a half inches below the seven beeches 	
f	turn to the right of them 	
g	right 	
g	you're above the 	
g	ehm not really you're underneath them 	
f	oh oh no i'm not 	
g	well you should be 	
f	right 	
g	you should be just above the reclaimed fields 	
f	right okay 	
f	i can go down there 	
g	right 	
g	ehm 	
g	and i want you to come above them and round to the right-hand side of them and underneath them 	
f	right 	
g	right dri-- 	
f	down to the right-hand side 	
g	round the right-hand side and come right along underneath them 	
f	oh right 	
f	okay 	
g	right and stop when you get to the line where they stop 	
f	right okay 	
g	and i'd like you to come straight down the way towards crane bay 	
f	okay 	
g	and when you get to that curve of crane bay stick closely to it 	
f	okay 	
g	for until you get to that corner 	
f	which corner 	
g	you see where the just opposite the "c" of crane bay diagonally opposite 	
f	towards the north of it or to the 	
g	uh-huh 	
f	right 	
g	right 	
g	now you're heading towards vast meadow and attractive cliffs 	
f	well yes okay 	
g	right 	
g	now i don't want you to stick to the coast just opposite vast meadow 	
g	right you've got to come down in between vast meadow and the attractive cliffs 	
f	okay 	
g	in a straight line between them once you've come down ehm at a southwesterly angle towards them and then in straight in between them 	
g	right 	
f	right 	
f	so i'm down near the attractive cliffs 	
g	uh-huh you're in between vast meadow 	
g	and attractive cliffs 	
f	okay 	
g	and then you come down in a southwesterly angle again down the left-hand side of the attractive cliffs 	
f	okay 	
g	stop when you get to the bottom of them 	
f	okay 	
f	have you got crashed spaceship marked 	
g	no 	
f	oh right 	
g	ehm i'd like you to head more or less westwards curving slightly down the way towards the left-hand side of the page very very close to the edge 	
f	well i'm quite close to the edge 	
f	i mean how far down do you want me to go 	
g	i want you to oh you're heading towards the chestnut tree but you're not ehm going diagonally towards it 	
g	right 	
g	just come down the side of the page for about an inch and a half 	
f	okay 	
f	then head towards chestnut tree 	
g	uh-huh 	
g	towards the finish 	
f	okay 	
f	where's the finish 	
g	at the chestnut tree 	
f	right 	
f	north of it 	
g	no 	
g	just by the side of it at the the left-hand side of it 	
f	left-hand side okay 	
g	that's you i hope 	
