Found 2 args.
Observation: q2ec7; Result size: 169; atts: 2
who	$m	
g	okay right this is off 	
g	do you have a start 	
g	up at crane bay 	
f	yeah start 	
f	yeah 	
f	on the san-- on the sandy shore 	
g	on the 	
g	yeah 	
g	do you have a well 	
f	a well 	
g	on the corner sandy shore comes down and round to the mouth of the river 	
g	do you follow me 	
f	no i don't have i don't have a well 	
g	do you have local residents 	
f	yeah 	
f	i've got a b-- er two little houses with local residents underneath 	
g	right okay 	
g	well 	
g	s-- do you see the corner where the the shore the crane bay comes down and then turns in 	
f	yes 	
g	before it comes into the mouth of the river 	
f	yes 	
g	well right on that corner i've got a well 	
f	oh yeah uh-huh 	
g	and i want you to bring the line down but 	
f	right 	
g	cut out as if you're going round a well 	
f	okay 	
f	so i go down and then round towards local residents 	
g	yep 	
f	okay 	
g	cut ut er up on up the left-hand side of local residents up to the corner where of crane bay 	
g	do you see what i mean 	
f	yeah 	
f	so i'm now i go underneath the local residents 	
g	no 	
f	no 	
g	no 	
g	cut on the left-hand side of the residents 	
f	yeah okay 	
g	right 	
g	go up there 	
f	go up towards the iron bridge 	
g	to the point 	
g	see where the point is 	
g	oh yeah yeah yeah 	
g	go up as if you're can cross over the iron bridge or whatever it is you've got there 	
f	so i g-- i'm going to cross over the iron bridge 	
g	cross over the bridge 	
f	right okay 	
g	okay 	
f	yeah 	
g	now 	
g	what do you have on that side 	
f	i have woodland 	
g	right well 	
g	don't go near that i want you to follow the course of the river 	
f	right 	
f	yeah 	
g	right down to the fork just above the fork 	
f	just above the fork 	
f	where where the dead tree is 	
g	uh-huh 	
g	above that you know before before the river forks 	
f	just 	
f	be-- before the river forks okay 	
g	uh-huh 	
g	right 	
f	right i've got it 	
g	now 	
g	do you have farmed land 	
f	farm land 	
g	just there just to the right of the tree 	
f	no 	
g	right well i've got f-- 	
f	i've mountain stream 	
g	and the lagoon on the other s-- the lagoon right 	
f	yes 	
g	well 	
g	on the s-- you're on the side of the mountain stream aren't you 	
f	yeah yeah 	
g	right 	
g	well i want you to do a back-- a backwards "c" as if you're you're going round farmland and cutting the river cutting across the stream just below the dead tree 	
f	right 	
f	okay 	
g	so that ins-- stop when you get to the bottom of the dead tree 	
f	so remind me what i'm i'm i've got to go underneath the dead tree 	
g	no 	
g	from where you are right 	
g	just at the fork before the fork of the river 	
f	yeah 	
f	yes 	
g	i want you to do a back-- a backwards "c" 	
f	right 	
g	right 	
g	cutting just at don't cross the river the other way from the river 	
f	yeah okay 	
g	see what i mean 	
g	and cut the river or the stream below the level of the trees so that you're stopping just under the tree 	
f	okay right 	
f	so i go undern-- and now i'm underneath the tree 	
g	you're now underneath the tree 	
f	okay 	
f	yeah i've got it 	
g	right 	
g	now i want you to go directly south for about seven centimetres about two inches 	
f	right 	
g	right 	
f	have you got treas-- er tr-- buried treasure 	
g	no 	
f	okay 	
g	then i want you to go directly west no to your just say to your left for about the same amount to bring you up to the shore of the lagoon 	
f	yeah 	
f	yeah i've got it 	
g	right 	
g	now follow the lagoon round to the tip 	
g	see the bottom of the little lagoon 	
f	yeah got it 	
g	right 	
g	take it round to there 	
f	yeah 	
g	right now 	
g	green bay see green bay 	
f	yes i've got that 	
f	with the pirate ship 	
g	of the pirate ship 	
g	right 	
f	yeah 	
g	do you have a rock fall 	
f	no 	
g	right 	
g	well f-- 	
g	see if you follow the coast of that on the right-hand side no sorry the left-hand side of the map 	
f	yes 	
g	all the way down right 	
f	yes yes 	
g	do you see the the point before it turns into green bay 	
f	yes 	
g	right 	
g	i want you to take your line from the bottom of the lagoon 	
f	to there 	
g	sort of but 	
g	make sure you sort of um curve it up a wee bit so that you're missing i-- 'cause i've got rocks 	
f	okay 	
g	so curve it up a wee bit 	
g	towards it and get to that point 	
f	up 	
f	and then go to that point 	
g	yeah 	
f	right i'm there 	
g	right 	
g	so you're like on the coast before you turn into green bay 	
f	yeah 	
f	i've got it 	
g	right 	
g	now beside the pirate ship i've got a cross like for the finish 	
f	beside the pirate ship 	
g	yeah 	
g	just to the left of the pir-- 	
f	so do i have to go round the outside of green bay 	
g	no 	
g	what you do is you do an "l" shape in the water 	
f	in the water 	
g	to get to it just to get to the pirate ship 	
f	by the pir-- so i'm going to the pirate ship 	
g	you're going you're doing an "l" shape to the pirate ship 	
f	yeah i've got you okay 	
g	there that's the finish 	
f	is that that's the end right 	
