Found 2 args.
Observation: q6ec8; Result size: 163; atts: 2
who	$m	
g	okay 	
g	um 	
g	do you have a telephone kiosk 	
f	yeah 	
g	it's at the bottom left 	
f	uh-huh 	
g	right 	
g	if you move so that if you move left and down so that you're on the left of the telephone kiosk on the way down you're almost at the bottom of the page almost in the extreme left-hand corner 	
f	mmhmm 	
g	now 	
g	do you have a stone circle 	
f	no 	
g	you don't 	
g	um if you move right along the bottom of the page until you're about quarter the way along the page 	
f	the very bottom of the page 	
g	yeah 	
g	well 	
g	v-- closeish to the bottom 	
f	couple of centimetres 	
g	yeah 	
f	right 	
g	now 	
g	you should be about quarter the way along the page 	
g	do you have a farmer's gate 	
f	yeah 	
g	you do 	
g	well 	
g	can you move upwards so that you're left of the farmer's gate 	
f	mmhmm 	
g	right um 	
g	now 	
g	do you have a ruined monastery 	
f	no 	
f	oh in the middle of the page 	
g	yeah uh-huh 	
f	yeah 	
g	um do you have any other obstacles between the gate and the monastery 	
f	only an overnight accommodation place but that's quite far away 	
g	okay 	
g	um 	
g	what you want to do is move from the farmer's gate to the le-- from the left of the farmer's gate right and up until you're left of the ruined monastery 	
f	so 	
f	i go round the left of the farmer's gate and up 	
g	uh-huh 	
g	yeah and up 	
g	up and right 	
f	and straight up to the 	
g	and straight up to the l-- right of the ruined monastery 	
f	so diagonally 	
g	mm 	
f	that's me 	
g	right 	
g	now if you move over the top of the ruined monastery and left and stop at the end of the ruined monastery if you see what i mean the left-hand side 	
f	okay 	
g	and then move downwards a few centimetres and left 	
f	how far 	
g	er mm do you have a stile 	
f	quite a bit up 	
g	mmhmm 	
f	yeah 	
g	well 	
g	what you want to do is move along until you are level with the left of the stile 	
g	and then move up to the top of the stile so that you're on the left-hand side of it 	
f	okay 	
g	now 	
g	if you move right so that you are level with the right-hand edge of the stile now and above it 	
f	that's me 	
g	uh-huh 	
g	and then up 	
f	do you have a popular tourist spot 	
g	ah no 	
f	no okay 	
g	right 	
g	if you move up a few centimetres and stop and then move right a few centimetres and stop 	
f	okay 	
g	okay 	
g	now do you have a dead tree about ha-- three quarters of the way up the page on the right-hand side 	
f	ehm no 	
g	you do-- 	
f	well 	
f	i've got a dutch elm 	
g	yeah well tha-- that's fine 	
g	now 	
g	if you can move so that from where you are at the moment diagonally until you're underneath the tree 	
f	it's about just above the middle of the page on the right-hand side 	
g	that's right that's right yeah 	
g	so you have a diagonal line 	
f	to whereabouts sorry 	
g	just underneath the bottom of the tree 	
f	right okay 	
g	now 	
g	if you can move around the tree so that you end up at the top of it on the right-hand side 	
f	right 	
g	now 	
g	on this map there is a viewpoint a great viewpoint and an east lake 	
f	uh-huh 	
f	at the top 	
g	uh-huh 	
f	yeah 	
g	do you have a great viewpoint 	
f	yeah 	
f	top left-hand corner 	
g	no there's another one as well 	
g	on this one 	
f	i've got a 	
f	i've got the east lake 	
g	uh-huh hmm 	
f	and then underneath that on the right i've got a rocket launch pad 	
g	yeah 	
g	on this one the viewpoint is underneath that and almost on the mid line maybe slightly left 	
f	right okay 	
g	right 	
g	so 	
g	if you can move from the where you are at the moment upwards and left so that you are just below the bottom of the lake and about midway along the lake 	
f	so i'm going up the edge of the page 	
g	mm 	
g	you can move diagonally i reckon you could move diagonally 'cause you're going to be midway along the lake 	
g	oh yeah i see what you mean 	
g	no 	
g	midway along from the left to the right not from like the top to the bottom if you see what i mean 	
f	so i'm 	
g	okay 	
f	i'm at the 	
g	right 	
g	just take where you are at the moment 	
f	right 	
f	i'm at the top right-hand corner of the dutch elm tree 	
g	of the tree yeah right 	
g	um 	
g	the lake on this map has a viewpoint 	
f	uh-huh 	
g	which is halfway along the bottom of the lake 	
f	mmhmm 	
g	and you want to move from where you are at the moment 'til halfway along the bottom of the lake 	
f	okay 	
f	diagonally about 	
g	diagonally yeah 	
f	and have you got a rocket launch pad 	
g	no 	
f	well 	
f	it's underneath the right-hand point of the lake 	
g	on the right yeah uh-huh 	
f	so will i just sort of go round that 	
g	so go round it 	
g	to the left 	
f	right okay 	
g	and end up halfway along the bottom of the lake 	
f	right 	
f	okay 	
g	right now 	
g	if you follow the bottom of the lake along to the left 	
f	mmhmm 	
g	and continue doing that until the lake effectively stops 	
f	and then it goes up and 	
g	then it goes up 	
f	yeah 	
g	in a sort of a curve 	
g	and if you can follow if you can continue to move left basing it on the line that you you're at just now until the left completely fini-- until the lake completely finishes 	
f	mmhmm 	
g	because there's a bit above you 	
f	right okay 	
g	so 	
g	if you cn you can actually do that and stop then that's that's it finished 	
