Found 2 args.
Observation: q5nc6; Result size: 188; atts: 2
who	$m	
g	okay 	
g	you're starting at the ehm 	
g	left-hand side of the cliffs 	
f	a-- 	
f	yeah 	
f	i've got a start point 	
g	right got start point 	
f	mmhmm 	
g	right 	
g	oh you're going to do a backward "s" 	
g	okay 	
g	you're going to do a backward "s" you 	
f	right 	
g	right 	
g	you're going to go down slightly for about a centimetre 	
f	is this before or after the backward "s" 	
g	this is before it 	
f	right 	
g	i'm explaining how to do the backward "s" 	
f	right 	
f	go downwards 	
f	for about a centimetre 	
g	s-- for a centimetre right 	
g	you're going to ehm 	
g	follow ehm a line it's diagonal it's like a five o'clock line 	
g	do you know what i'm talking about 	
f	yeah 	
g	and you're going by this time you should be just at the left-hand side at bottom of the cliffs 	
f	right 	
g	okay 	
f	mmhmm 	
g	going to do a half circle you're going to do it towards the page 	
f	towards the end of the page 	
g	mmhmm 	
g	the opposite of an indifference curve if that's the way i could explain it 	
f	so 	
f	right okay 	
g	okay 	
f	so ehm 	
f	would that starting at the bottom of the cliffs a half circle towards the left-hand side of the page 	
g	uh-huh 	
g	okay 	
f	right 	
g	right 	
g	do you have a forge 	
f	no 	
g	no 	
g	well 	
g	you're going to do another circle 	
f	uh-huh 	
g	half circle it's as if you're going round something 	
f	uh-huh 	
g	right 	
g	go round something imagine there's something there you're going to go round it you're going to head off towards the page 	
g	right 	
g	do a half circle and see when you come to the point just at the end of that half circle 	
f	uh-huh 	
g	are you at it 	
f	yeah 	
g	right 	
g	head up in a diagonal lo-- line towards a one o'clock 	
g	do you have an old pine 	
f	yes 	
g	head up to the top of that old pine 	
f	right 	
g	okay 	
f	mmhmm 	
g	now you're going to come down again at a slight slant just a slight slant right a slight slope 	
f	down on the l-- the left or the right-hand side of the pine 	
g	you're going to come down on the right-hand side of the pine 	
f	right 	
f	a slope towards the right 	
g	uh-huh 	
g	you're going towards the page 	
g	right 	
f	right 	
g	not coming off it 	
g	right 	
g	do you have a pine forest 	
f	right 	
f	yeah 	
g	right 	
g	you're going to slope ehm down towards the pine pine forest but you're going to come closer closer to the pine forest when you're sloping 	
g	do you know what i mean 	
g	the gap between the path and the pine forest is getting smaller 	
g	okay 	
g	and then you should be at the bottom of the pine forest 	
f	right 	
g	okay 	
g	right 	
g	you're going to do another half circle towards the towards the right you're going out of the page right another half circle out of the page 	
f	a half circle to the right 	
g	uh-huh 	
g	right 	
g	so the outer circle's like s-- ehm is right across from the edge of the page okay 	
f	okay 	
g	do you have a bakery 	
f	yeah 	
g	okay 	
g	go down slightly from that half circle just very very slightly 	
f	uh-huh 	
g	right 	
g	you're going to head off again towards the right and go right round that bakery 	
f	all the way round it 	
g	all the way round 	
g	are you at crane bay 	
g	like see the the first peak in great crane bay 	
g	are you opposite directly opposite f-- up from it 	
f	ehm not yet 	
f	but i will be in a minute 	
g	right 	
g	do that 	
f	yeah right 	
g	okay 	
g	go straight down for about three centimetres 	
g	see you come to that ehm curve in the bay 	
g	you want to be about a centimetre away just from crane bay 	
g	right 	
f	right 	
g	follow that curve round 'til you come to the second peak 	
f	right 	
g	okay 	
g	are you at wheatfields 	
f	no d-- 	
g	no 	
f	i don't 	
g	no 	
f	no 	
g	okay 	
g	right you're going to head off towards a leftward ehm slant sloping down again 	
f	how far down 	
g	about three centimetres 	
f	right 	
g	okay 	
g	go straight along for another three centimetres 	
g	to the left 	
f	to the left 	
g	are you above a rocket warehouse 	
f	yes 	
g	okay 	
g	right 	
g	you're going to slants go to the end of the rocket warehouse if you know what i mean 	
g	see how the top 	
f	uh-huh 	
g	of the rocket warehouse 	
g	go to the end of that 	
f	parallel to the the rocket warehouse 	
g	uh-huh 	
f	right okay 	
g	right 	
g	slope s-- slope down again to the left directly 	
f	to directly to the left so to 	
g	directly to 	
f	to the left 	
g	like you're sloping down like a seven o'clock line 	
f	uh-huh 	
g	okay 	
f	to the left of the rocket warehouse 	
g	uh-huh 	
f	how far down 	
g	ehm 	
g	you should be about ehm six centimetres above the bottom of the page 	
f	so below the rocket warehouse 	
g	no 	
g	you're at the left-hand side of the ro-- 	
f	s-- stop at the left 	
g	you should be just an inch away from the edge of the page now 	
f	yeah 	
g	right okay 	
f	uh-huh 	
g	go straight down again for three centimetres 	
f	uh-huh 	
g	and then curve towards the old lighthouse 	
f	round which side of the cave 	
g	hmm i don't have a cave 	
g	ehm go towards the lighthouse 	
f	uh-huh 	
f	ehm just slope towards it 	
g	slope towards it 	
g	you're forming another half circle again 	
f	ehm a half circle towards 	
g	the l-- old lighthouse 	
f	right 	
g	and that's you once you get to the old lighthouse 	
f	right 	
g	okay 	
f	okay 	
g	that's it finished 	
