Found 2 args.
Observation: q7ec2; Result size: 295; atts: 2
who	$m	
g	right greg 	
g	you've got the start with the "x" 	
f	top left-hand corner 	
g	yeah 	
f	yes 	
g	you want to come down to about a centimetre left to the left of the haystack uh in a southwesterly direction 	
f	southeasterly 	
g	southeasterly direction yeah 	
f	right 	
g	now eh 	
g	go down about the same distance to directly south below the starting point at about just below the level of the carpenter's house so from the haystack go down to directly below the starting cross to a level just below the carpenter's house 	
f	where it says carpenter 	
g	well across from that directly below the start 	
f	mmhmm 	
g	so it's going to be in a southwesterly direction 	
f	avoiding the blacksmith 	
g	what blacksmith 	
f	right 	
f	there's a blacksmith next to the carpenter on the left-hand side of it 	
g	right 	
g	i see right 	
g	eh take the line towards well along horizontally to eh 	
g	the carpenter's got a couple of stiles 	
f	yes 	
g	and dykes 	
g	just take it about oh i don't know about a couple of centimetres to the bottom you know a couple of cen-- eh about an inch 	
f	an inch 	
g	no not even an inch about half an inch 	
g	take it horizontally which takes you about oh about an inch and a half away from the carpenters just below where the carpenter is 	
f	at the stiles just at the stiles 	
g	just below the stiles below 	
g	take it down a centimetre and across a centimetre from the last stile to the left horizontally 	
f	okay 	
g	right and that 	
g	have you got that 	
f	yes 	
g	right eh 	
g	you've got green bay at the top 	
g	see green bay 	
g	no no green bay 	
f	no green bay 	
g	well eh 	
g	in a northwesterly direction northeasterly direction sorry and you want a line about oh one two hchchch i would take it maybe two and a half inches northwest avoiding the carpenter's house all the way up so you want a north w-- easterly direction about dwrlr thirty five to forty degrees just below forty-five 	
f	for how many inches 	
g	for about two and a half inches 	
g	right eh 	
g	eh about two inches to the slightly below east next you want to go east about s-- just below east for about two inches 	
f	over towards the the seven beeches 	
g	over towards the seven beeches 	
g	and you want to finish up about an inch high and about oh three quarters of an inch to the left of the seven beeches 	
f	okay 	
g	eh 	
g	right 	
g	you want to come past the seven beeches 	
g	have you got the chapel 	
f	no 	
g	you've not got a chapel 	
g	just below well you want to come down aloalo let me see south just off south the same about the same you know how you came below east you want the same to the east of south about the same sort of about five degrees off basically 	
f	right mmhmm 	
g	to 	
f	so slightly southeast 	
g	slightly southeast 	
g	about five degrees southeast 	
f	mmhmm 	
g	and you want to come across you want to come down about two inches again just below where it says eh seven beeches 	
f	right 	
g	well that'll be about a centimetre below the beech trees 	
f	mmhmm 	
f	so finish up next to the "s" of seven 	
g	basically yes 	
f	okay 	
g	right on my drawing i've got a chapel that's about an inch long on the on the map it starts directly below the "s" and eh 	
g	we've got to go round this in sort of a circular direction you're going to be moving east and then back and finishing about under the second beech tree the right-hand beech tree so you want to what you want to do is you're going down about two inches again but you've got a eh a net move east of about an inch so from the "s" you've got about two inches down and one inch two inches south and about one inch east and you want to come round eh about about one inch one inch east and one inch south and do a curve 	
f	curve that one 	
g	right curve it 	
g	and then you want to go in a southwest of there like direction until you meet the eh the what i ini-- what i init-- ini-- i initially said 	
g	okay 	
g	this is complicated 	
f	how about 	
g	but what your point your initial point mark a point two inches south one inch east of the where you stopped the last time 	
f	uh-huh 	
g	okay have you done that yes 	
f	yes 	
g	eh to get the curve i would go one inch down from where your your point is just now and 	
f	one inch south 	
g	one inch south 	
g	and one inch east and now you want to do a curve from your initial point to that point then down to the two inch 	
f	then then straight down to the two inch mark 	
g	no 	
g	it's southwest er about five ten degrees off south to the southwest to finish under the beech tree the the right-hand beech tree 	
f	going southwest 	
g	going southwest 	
f	to finish under the second beech tree i would have to go southeast if i only moved over one inch to the east in the first movement because you said two inches 	
g	t-- 	
g	well make it one and a half inch sorry one and a half inch east 	
f	what's one and a half 	
g	you what you want to do is you want to clear the eh first movement round the chapel will have to clear the beech trees and then come down again to under the first ts on the right-hand beech tree 	
f	right 	
f	i'll try and describe it to you what i think 	
f	i've come down from to the "s" i'm at the "s" just now 	
g	right 	
f	of seven i'll continue down but curving round to my right 	
g	yeah 	
f	okay until i've done a quarter curve a quarter of a circle 	
g	that's right yeah 	
g	and that should be just on the level of the the very end of the wee leaves on the beech trees 	
f	ah in mine that's far more than an inch 	
g	well i'll wait to do it until the end then 	
f	right that's okay right i know that n-- 	
f	and now i can head back 	
g	right 	
f	s-- in a s-- southeasterly direction to 	
g	see what southwesterly aye 	
f	southwesterly to the point below this trunk of the second beech tree 	
g	oh that's right yeah 	
f	right i'll draw that then 	
f	right 	
g	do you have reclaimed fields 	
f	yes 	
g	so eh 	
g	you'll be wanting to go 	
f	it's about an inch and a half to two inches below where i am just now 	
g	about an inch and a half to two inches below where you are the now 	
g	the reclaimed fields 	
f	mmhmm 	
g	aye see er 	
g	well what you want to do here is you want to go round it in a sort of tube like f-- form like a test tube you want to do a test tube round it 	
g	so you want to go well you're two inches down eh 	
f	will i go down continuing the same gradient i'm on will i go down 'til i'm just above the reclaimed fields 	
g	well you've got 	
g	what have you got reclaimed fields and then sort of soiled ground to the right-hand side of it 	
f	eh there's nothing to the right-hand side 	
f	on the left-hand side there's a whitewashed cottage 	
g	whitewashed cot-- 	
g	on the right-hand side 	
f	on the left-hand side 	
g	left-hand side whitewashed 	
g	eh well 	
g	we're going we're going to go round the right-hand side of it 	
f	right 	
g	okay 	
g	so you want to come 	
g	do you have crane bay 	
f	yes 	
g	well what my map does it does this test tube thing round the reclaimed fields then it heads south towards the 	
g	you've got a lower right-hand tip and then you've got two tips off crane bay on the right-hand side which are just about on the same level 	
g	can you see that just above the "b" of crane bay 	
g	so i want to come round the c-- reclaimed fields and you're heading west and then you head south and you follow the line of crane bay 	
g	yeah 	
f	right okay 	
f	so will i move down to nearer reclaimed fields 	
g	move down to nearer reclaimed fields 	
g	go round it 	
f	right right d-- un-- 	
f	under what letter will i finish the test tube shape 	
g	eh just past the "r" just past the the drawing of the reclaimed fields 	
f	that that would be me right over at the whitewashed cottage then next to that 	
g	just to the left-hand side 	
g	well don't go that far then come about an inch before it 	
f	right 	
f	and it's that'll be about under the the "c" of reclaimed 	
g	okay that'll f-- do fine yes 	
f	right 	
g	have you got that 	
f	uh-huh 	
g	well just below that south of that there's a point just above the "b" of crane bay 	
f	mmhmm 	
f	like a wee sort of an 	
f	a wee bay bit in it 	
g	a wee point 	
g	there's a sm-- a smiley face and then there's a 	
f	there's no smiley face 	
g	see if you want to come due south to that point and then follow the coast a bit 	
f	follow the coast to where 	
g	follow the coast round eh 	
g	you've got it does a curve and then it meets a point then it goes just about south crane bay it's got a curve and then it goes due south 	
g	can you see that 	
f	mmhmm 	
g	i've got a meadow to the left of that due south pee 	
g	porashin 	
f	a vast meadow 	
g	a vast meadow 	
f	i've got a vast meadow up just below the blacksmiths and carpenters 	
g	well is that huge big and there's nothing at all in that space 	
f	uh-huh 	
f	except a vast meadow 	
g	about halfway up the page 	
f	about halfway up the page it's empty on mine 	
g	well you want to well anyway follow crane bay round the curve 	
f	mmhmm 	
g	goes going going 	
f	following the contour more or less 	
g	going west following the contour 	
g	until you meet just where you stop going west 	
g	and we head south we head southwest there coming out you see it goes you go just about due south then it finishes it's about an inch and a half long 	
f	uh-huh 	
g	and just where it finishes there come about you want to be about an inch to the west of that where you where you stop after going southwest 	
f	so it's south on the actual crane bay then it's about an inch and a half going south 	
g	yeah 	
f	and then about an inch going west 	
g	that's right 	
g	just about a centimetre above 	
f	the west tip 	
g	the west hand 	
g	yeah 	
f	right 	
f	okay 	
f	now have you got attractive cliffs there 	
g	yes 	
f	mmhmm 	
g	and you want to follow across the top of them west 	
f	across the top 	
g	west 	
g	just below i've got a vast meadow there 	
f	mmhmm 	
f	right 	
f	where will i stop that line abo-- across the top 	
g	eh about a centimetre after attract-- attractive cliffs 	
f	right 	
g	you want to go down about ten degrees off south southwest 	
f	mm about a hundred and ninety degrees 	
g	about eh aye 	
g	about a hundred and ninety-five i would say 	
f	okay 	
f	towards crashed spaceship 	
g	i've not got crashed spaceship er spaceship 	
g	and that's that's 	
f	do you have the chestnut tree 	
g	yeah i've got the chestnut tree 	
g	that's my f-- your finishing point 	
f	eh well 	
f	i've got a crashed spaceship 	
f	the right the the straight distance between attractive cliffs and chestnut tree about half of that distance between them in a straight line and then two inches over to the west 	
g	that's just about on the edge of the page 	
f	uh-huh 	
g	yeah 	
f	there's a crashed spaceship 	
f	we're assuming that the top of the map is north 	
f	i would imagine right 	
g	yes 	
f	right 	
f	so where will i go now 	
g	s-- so where are you at bottom of the attractive cliffs 	
f	no 	
f	i'm at the top 	
g	the top 	
g	well you want one nine five 	
f	right 	
f	to where 	
g	to the bottom of the attractive cliffs just about ah about a centimetre below the attractive cliffs 	
f	right 	
g	eh you've got a space craft about here 	
f	about a 	
g	how far from the edge of the page 	
f	well the s-- i just now i'm an inch to the an inch east ah no a centimetre east of the crashed spaceship and at the very top of it 	
g	well eh 	
g	so can you come below it 	
g	you're going to have to come below it yes 	
g	or can you go round the top 	
f	oh i can come straight down past the side of it i can come south just now if i want to 	
g	s-- can you come south and then come slightly west then south again or can you go s-- we-- can you go west just now then south and then east to the finish 	
f	i can't go i can't go west just now really 	
g	you can't go west 	
g	take it a bit more southwest until you're below it 	
f	uh-huh 	
