Found 2 args.
Observation: q7nc7; Result size: 179; atts: 2
who	$m	
g	okay the start part is at the top left-hand corner 	
f	uh-huh 	
g	okay 	
f	uh-huh 	
g	ehm you're coming the s-- for three inches down below that 	
g	do you have a diamond mine there 	
f	yeah right 	
f	on the right-hand side roughly just 	
g	okay 	
g	uh-huh 	
f	right down there 	
g	right beside it 	
g	you just go straight down underneath it 	
f	right okay oops that was 	
g	do you have a graveyard just along from the diamond mine 	
f	no 	
f	i've got a gallows to the left like d-- below the left 	
g	no 	
g	no 	
g	just ignore that 	
f	right okay 	
g	do you have carved stones 	
f	oh no i have got a gold mine but it's it's a it's a good bit below that 	
g	sorry no 	
g	i said a graveyard 	
f	oh sorry 	
f	no oh no i s-- d-- 	
g	no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it 	
g	okay 	
f	no i haven't got that 	
g	well 	
f	okay 	
g	so come along to about mm about five six inches anyway straight along to the right 	
f	underneath the diamond mine 	
g	underneath the diamond mine 	
f	right 	
f	how far underneath the diamond mine 	
g	it's about an inch or so 	
f	right okay five inches right along 	
f	up along to near a r-- a ravine stuff thing 	
g	no i don't have the ravine 	
f	i've got 	
g	do you have carved stones 	
f	i've got carved stones 	
f	and then indian country 	
g	yeah down below it 	
f	bit underneath it and i've got a ravine right in the middle between they two 	
g	right well 	
g	try and ehm go as close to ravine as possible but up towards the carved stones 	
f	right 	
f	in a curve or a s-- tight angle 	
g	in a curve 	
g	above the carved stones 	
f	above the carved stones 	
g	yeah 	
f	right 	
f	round the carved stones kind of thing 	
g	uh-huh right round them 	
g	and back down towards the indian country 	
f	right 	
f	how far down do you want me to go 	
g	'til you're right above the wigwams 	
f	okey-dokey 	
g	okay 	
f	uh-huh 	
g	right 	
g	do you have to the left of the indian country a great rock 	
f	no 	
g	no 	
g	do you have a gold mine 	
f	yeah 	
f	it's right it's it's on like the other side 	
g	okay 	
f	and it's down a wee bit 	
g	well yeah 	
g	well 	
g	the great rock is level with the indian country and ehm in between the gold mine 	
f	uh-huh 	
g	and the indian country 	
f	right okay 	
g	so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is 	
f	how do you mean go down 	
g	well 	
f	do i go to the side of the indian country 	
g	yeah 	
g	you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of 	
f	right as if i was going underneath the gold rock if it if i had it there 	
g	like 	
g	uh-huh 	
g	if you had a great rock as if you're going underneath it 	
f	right okay 	
g	to the side down by the side of the wigwams underneath this great rock 	
f	uh-huh 	
g	then back up and above the gold mine 	
f	right okay got that 	
g	okay 	
g	just going curving along down the side of the gold mine 	
f	right 	
g	you're going quite far down maybe ab-- 	
g	wait a second what do you have underneath the gold mine anything 	
f	i've i've got a gold mine a totem pole and then a great rock a really good bit down 	
g	right 	
f	and then bandit territory right at the bottom 	
g	right 	
g	what you're trying to do is avoid the totem pole 	
f	uh-huh 	
g	go un-- i would say go underneath the totem pole 	
g	do you have a trout farm 	
f	eh aye 	
f	but it's away over to the right-hand side 	
g	the right yeah 	
g	well 	
g	you're getting from underneath the totem pole above th-- which is above the great rock 	
f	uh-huh 	
g	underneath that and then heading across to the right to the trout farm 	
f	right okay 	
g	do you have a cavalry 	
f	no 	
g	no 	
g	well 	
f	i'm up shit creek i haven't got a cavalry 	
g	go s-- 	
f	sorry 	
g	right 	
g	go straight underneath the trout farm 	
f	right so 	
f	i'm coming from a totem pole at a di-- totem pole like in a dinai diagonal across to the trout farm 	
g	yeah 	
g	sort of cu-- well curve sort of up to the trout farm 	
f	right okay 	
g	go along 	
f	above or below the trout farm 	
g	below 	
f	right okay 	
g	go along the side of the trout farm 	
f	uh-huh 	
g	to the right-hand side 	
f	uh-huh 	
g	and about about an inch away from the end of the sheet of paper 	
f	uh-huh 	
g	and then go straight d-- 	
g	do you have a cattle stockade 	
f	right near near the corner 	
g	uh-huh 	
f	right 	
g	go straight down to the cattle stockade 	
f	like above or below it 	
g	below it 	
f	right okay 	
g	go along to the end of the cattle stockade 	
f	along the bottom and left 	
g	and along the bottom yeah to the left of it 	
f	right uh-huh 	
g	um do you have anything between this cattle stockade and the bandit territory 	
f	i've got a parched river bed 	
g	right 	
f	but it's sort of nearer the cattle stockade but roughly in the middle cattle stock-- 	
g	is it sort of underneath the cattle stockade 	
f	aye just a wee bit under 	
g	right 	
g	well 	
g	just go a little curve above it 	
f	uh-huh 	
g	and then go back down to the side of it and underneath the bandit territory 	
f	uh-huh 	
f	right done that uh-huh 	
g	right underneath it 	
g	and then just come back up 'til you're level with the top of the plant thing about a 	
f	what plant thing 	
g	at th-- at the bandit territory 	
f	oh right 	
f	oh the cactus 	
g	yeah the cactus 	
f	right uh-huh 	
g	so you're about an inch away from the edge of the sheet of paper 	
f	uh-huh 	
g	and just that's your cross is there that's it finished 	
f	okey-dokey 	
f	oh that looks an interes-- 	
