Found 2 args.
Observation: q3ec3; Result size: 181; atts: 2
who	$m	
g	okay have you got a start have you got a starting point 	
f	i do indeed 	
g	right 	
g	if you move eh left to the edge of your page 	
f	okay 	
g	okay 	
g	now go straight down ehm om 	
f	past the forest fire 	
g	past the forest fire 	
g	eh have have you got a picnic site marked 	
f	no i don't 	
g	right 	
g	well go straight down to the bottom of your page almost to the bottom of the page 	
g	okay now 	
g	have you got an adventure playground marked on your map 	
f	yes i do 	
g	okay 	
g	go along to your right and 	
f	oh right right sorry 	
g	okay 	
g	right 	
g	okay eh until you're underneath right 'til you're underneath the left-hand edge of the adventure playground 	
f	mm 	
g	and go straight up past it 	
f	back up due north again 	
g	mmhmm 	
f	okey-dokey 	
g	and stop when you're just past the adventure playground 	
f	mm mm 	
f	so i'm basically forming a rectangle here 	
g	almost yeah 	
f	right i'm at just to the right of the forest fire 	
g	okay 	
g	now go right 	
g	have you got a granite quarry marked 	
f	no 	
f	i've got one very far up middle of the page 	
g	middle of the right 	
g	almost slap-bang in the middle 	
f	mmhmm 	
g	right okay 	
g	go l-- right until you're underneath the right-hand edge of that just past the right-hand edge of it 	
f	i've also got privately owned fields 	
f	you sh-- oh 	
g	will you hit them if you g-- if you go through that 	
f	could well do 	
f	they are due right of the start and directly below the granite quarry 	
g	right if you just g-- if you're at the top of the right at the top of the adventure playground just eh almost touching it if you go straight right there will you miss them 	
f	mmhmm yes i will indeed 	
g	right 	
g	if you go right along there until you're at the right-hand edge of the granite quarry 	
f	okay 	
g	now can you go straight up and round the top of the granite quarry 	
f	right i've 	
f	do you have a fallen cairn 	
g	eh yeah 	
f	it's up to the right 	
g	it's up at 	
f	do you want me to go in between the two of these 	
g	uh-huh 	
g	but stay quite close to g-- the granite quarry 	
f	i'll have to curve in 'cause privately owned fields are to the 	
g	yeah that's okay right 	
f	okay 	
f	i'm just at the right-hand tip of the granite quarry at the top 	
g	the right-hand tip 	
f	uh-huh 	
g	okay 	
g	well go round 	
g	have you got a train crossing 	
f	no i don't 	
g	no 	
f	well i do 	
f	at the very top left-hand page 	
g	ah right 	
g	there's another i've got another one marked 	
g	ehm okay if you go round in a s-- kind of semicircle round the top of the granite quarry until you're like level with the bottom of it of the actual wee wee drawing 	
f	so basically i'm round the other side 	
g	uh-huh 	
f	okay 	
g	and go straight left to almost to the edge of the page 	
f	do you have a waterfall 	
g	yeah 	
f	underneath the waterfall 	
g	i want you to go up up past on the left-hand side of the waterfall if you can 	
f	but you w-- you want me to go to underneath it 	
g	right i want you to go 	
g	i want you to go underneath it and then round the left-hand side of it from where you are now 	
f	okay 	
f	so i'm now at the left-hand side of the waterfall 	
f	do you wish me to go north 	
g	are you yeah 	
g	i want you to go up north to the top of the waterfall 	
f	right 	
g	now go right to the edge the other right-hand edge of the waterfall 	
f	um beside a public footpath 	
g	where's the public footpath in relation to the waterfall 	
f	it's northeast just above it so there's a space in between the waterfall and the public footpath 	
g	can you go can you go up the left-hand side of the public footpath 	
f	i can indeed 	
g	right 	
g	go up that 	
g	until have you got corn cornfu-- fields marked at the top 	
f	yes 	
g	right 	
g	well don't don't go up as far as the cornfields but go up in that direction 	
g	okay 	
f	oh right 	
g	now can you go go right a couple of inches from that 	
g	so you should be above your public footpath whatever it is 	
f	correct 	
f	below the corn 	
g	right have you got have you got a fallen you've got a fallen cairn haven't you over to the right-hand side of the page 	
f	right at the very bottom 	
g	no 	
f	eh sorry in the middle i mean 	
g	in e-- up sort of to the right-hand northeast of the granite quarry 	
f	uh-huh 	
g	right 	
g	can you go fs-- see from where you are now can you go directly eh southeast to the f-- bottom of the fallen cairn 	
f	the bottom of it 	
g	uh-huh 	
f	underneath it 	
g	un-- go underneath it yeah 	
f	okay 	
g	right and come up the o-- the right-hand side of the fallen cairn go like north up the right-hand side of it 	
f	how far up 	
g	eh just stop at the top of it 	
g	'til i s-- see what you've got 	
f	right 	
g	right have you got limestone cliffs above where you are now 	
f	no 	
f	no 	
g	no 	
g	okay right 	
g	come round almost circle the fallen cairn and almost back to like where it would join your line 	
f	i have a lion country if that's any use 	
g	you've got what 	
f	a lion country 	
g	lion country no 	
g	right can you go straight can you go straight north from where you are now to the bottom of the east lake 	
f	um 	
g	is have you got a lake at the top there 	
f	yes i do 	
f	the lion country's slightly in the way it's slightly to the left how f-- 	
f	whereabouts in east lake do you want me to join 	
g	well you s-- you've got the limestone cliffs 	
g	have you no you don't 	
f	no i don't 	
f	there's three points on the east lake i-- the m-- on the bottom 	
g	mmhmm 	
f	do you how far do you want me to s-- 	
f	whereabouts on 	
g	well just go about the middle of the t-- sort of bottom line if you can head for the middle of the bottom line 	
f	so that's basically to the right of the lake 	
g	no 	
f	i mean the right-hand side of the lake 	
g	yeah well but don't go too f-- eh yeah on the right 	
f	there's two sort of coastlines on the bottom of the east lake if you like one comes down one goes sort of across a bit 	
g	mmhmm 	
f	do you wish me to join the west 	
g	right 	
g	you've got the one that's coming more almost like almost eh horizontal 	
f	all right 	
f	you want me to m-- 	
g	head for the middle of that if you can 	
f	okay 	
f	that's going past lion country to the right 	
g	right that's fine 	
f	okay 	
g	now eh if you go follow the line of the lake follow the line l-- of the lake left 	
f	going west 	
f	right 	
g	and eh just stop when you're just past the bottom like the corner 	
f	mm 	
g	and that should be the finish 	
f	so that's b-- almost below 	
g	almost below the b-- the like of the bit that goes up the top corner 	
f	oh right 	
f	okey-dokey 	
g	that's you 	
