Found 2 args.
Observation: q6nc5; Result size: 212; atts: 2
who	$m	
g	have you got the missionary camp at the right-hand side 	
f	yeah uh-huh 	
g	okay 	
g	have you got the start 	
f	yeah i've got the start 	
g	is it at the top of it 	
f	uh-huh 	
g	right okay 	
g	go to the right i think it is yeah right go to the right about two centi-- about two three centimetres 	
f	right 	
g	go down two three centimetres 	
f	down 	
f	towards the missionary camp 	
g	uh-huh 	
g	you're at the top and that 	
f	uh-huh 	
g	go right about two go right three centimetres yeah 	
f	uh-huh 	
f	past the missionary camp 	
g	past missionary camp 	
g	go down about two three centimetres 	
f	right 	
g	right 	
g	see your left-hand side have you got gorillas and trees and stuff 	
f	i've got a banana tree 	
g	right well 	
g	go right along to it to the bottom of it right along to the bottom 	
f	right 	
f	so i'll need to go down past the missionary camp won't i 	
g	yeah down past the centre 	
g	right along to the 	
f	right along to the banana tree 	
g	yeah 	
f	to the bottom of it 	
g	yeah the bottom of it 	
f	right 	
g	then go round it to the top just go round it you know right to the end and then just go to the top 	
f	uh-huh 	
g	have you done that 	
f	yeah 	
f	there's a straight river 	
g	uh-huh 	
g	a rope bridge 	
f	uh-huh 	
g	right 	
g	well you're supposed to cross it 	
f	cross the rope bridge 	
g	yeah 	
f	so i need to go along toward 	
g	along ri-- left 	
f	no right 	
f	the rope bi-- ri-- i've come to the bottom of the banana tree 	
g	right 	
f	right 	
g	uh-huh 	
f	then i came up beh-- towards the left of it 	
f	right 	
g	mmhmm 	
f	and now i'll need to go to the right to get to the rope bridge 	
g	right to the rope bridge 	
f	mmhmm 	
g	you have to go r-- 	
g	okay right 	
g	just go that way okay 	
g	have you got a waterfall 	
f	a waterf-- 	
f	yeah 	
f	that's right towards the other end 	
g	it's on the right-hand side 	
f	uh-huh 	
g	well 	
g	okay cross the bridge right and go to it just go right beside it 	
f	right 	
f	cross the bridge 	
g	uh-huh 	
f	and go to the waterfall 	
g	yeah 	
f	right 	
g	not to it but you know just beside it 	
f	uh-huh yeah 	
g	have you got lost steps 	
f	yeah 	
g	right well go right up to them right to the top of them but not you know to the right-hand side of them not 	
g	the 	
f	to the right-hand side of them 	
g	yeah 	
g	just right to the top to the righthand side 	
f	so i need to curve up and go in a 	
g	uh-huh 	
f	right 	
g	right g-- right 	
g	go over the top 	
g	have you got fallen pillars 	
f	uh i've got right 	
f	see at the top of the map there's a white mountain to the left of that there's rock fall there's a ruined city and gazelles 	
f	oh fallen pillars yeah yeah i've got fallen pillars 	
f	at the bottom 	
g	have you 	
g	uh-huh 	
g	have you got 	
g	well right next well it's sort of the left-hand side to lost steps 	
g	the fallen pillars 	
f	well 	
f	first i've got gazelles and then i've got fallen pillars 	
g	i see 	
g	gazelles are on top of the lost steps 	
f	no 	
f	they're in my map they're ehm to the left in the middle they're in the middle of the map 	
g	the middle of the map 	
f	uh-huh 	
g	well 	
g	never mind them right 	
g	have you got to the lost steps 	
f	yeah i'm at the lost steps just now 	
g	well 	
g	go r-- go over go right around them 	
f	mm 	
g	to the fallen pillars that's to the left 	
f	to the fallen pillars 	
g	mmhmm 	
f	at the bottom of the fallen pillars 	
g	yeah 	
f	right 	
g	sto-- right 	
g	if you go right to the bottom okay 	
f	uh-huh 	
g	ehm go two three centi-- three centimetres down 	
f	down 	
g	mmhmm 	
f	right 	
g	then 	
g	this is so bad 	
g	okay 	
g	are you going down right 	
f	mmhmm 	
g	then sort of go back up in a circle sort of thing you know just curve round to the a-- 	
f	curve round curve round the fallen pillars 	
g	have you got 	
g	no not curve round 	
g	you're just at the bottom aren't you 	
f	uh-huh 	
g	and you've gone down a bit 	
f	uh-huh 	
g	then go right to the top not to the fallen pillars to the ancient ancient ruins 	
g	have you got ancient ruins 	
f	i've got a ruined city 	
g	yeah 	
g	well 	
g	just go right right up there up to that 	
f	right 	
f	i'll need to go towards the left yeah 	
g	right uh-huh left 	
f	right 	
f	and go up to the ruined city 	
g	yeah 	
f	whereabouts in the ruined city to the left of it or to the right of it 	
g	the left of it 	
f	left of it right 	
g	have you got stones 	
f	i've got rock fall just above the ruined city to the right 	
g	to the le-- 	
g	ah just go up to that 	
f	right 	
g	okay 	
f	to the bottom of the rock fall or the top 	
g	yeah 	
g	the bottom of the rock fall 	
f	right 	
g	then 	
g	turn left 	
g	have you got a white mountain 	
f	yeah 	
g	well 	
g	turn left and go right over around it from the top 	
f	right 	
f	to the bottom of the white mountain 	
g	uh-huh 	
g	go round it to the bottom 	
f	right 	
g	and keep on going eh 	
g	have you got eh soft furnishing store 	
f	soft furnishing store 	
g	yeah 	
g	right to the bottom of the white mountain 	
f	no 	
g	what have you got 	
f	white lost steps 	
g	what 	
f	there's a white mountain at the top of the map 	
f	right 	
g	uh-huh 	
f	to at the right of the white mountain on my map the only thing i've got is lost steps 	
g	no you don't go to that right 	
g	have you gone to the white mountain 	
f	uh-huh 	
g	go right round it 	
f	uh-huh i've gone right round it 	
g	have you gone right round the bottom of it 	
f	i'm at the 	
f	to the bottom of it 	
f	uh-huh 	
g	ah right round the bottom of it 	
g	then go straight down to where 	
g	you know where the gazelles are 	
f	uh-huh 	
g	go right down to the left of them 	
f	right 	
g	okay 	
g	then turn left about th-- three four centimetres 	
f	right 	
g	and that's you finished 	
f	oh 	
