Found 2 args.
Observation: q4ec6; Result size: 112; atts: 2
who	$m	
g	right 	
g	you go down to the bottom left corner to the left of the camera shop 	
f	to the left of the camera shop 	
g	yes 	
f	to the bottom corner 	
g	ehm 	
g	y-- yeah eh er you have a parked van marked on your map underneath the camera shop 	
f	no 	
g	no 	
g	well about an inch from the bottom of the page you sudden-- you go right and then up to the corner of the allotments to the left-hand side 	
f	so go right underneath the camera shop at the bottom 	
g	yes 	
g	and then up 	
f	and then up 	
g	straight up 	
f	the left-hand side of the allotments 	
g	yes 	
f	i stop at the top of the allotments 	
g	yes 	
g	and 	
f	right 	
g	you have a l-- a yacht club in the bottom right corner 	
f	yes 	
g	slightly to the left of that you have to draw a point on a level with the c-- the top of the camera shop and then draw a straight line from the corner of the allotments to that point 	
f	so have you got a flight museum on your 	
g	no 	
f	no 	
f	so i've got to go along from the allotments to the right 	
g	yes 	
f	and how far away from the yacht club 	
g	it's on a l-- it's on a level with the cam-- the roof of the camera shop horizontally and vertically slightly to the left of the c-- yacht club 	
f	uh-huh 	
f	right 	
g	you got that 	
f	mmhmm 	
g	then you go straight up and curve over the top of the disused monastery 	
f	straight up right 	
g	have you over th-- o-- are you eh curved over the monastery 	
f	mmhmm above the monastery 	
g	you go down to the left-hand side in this following the same curve 	
f	so it's right round the monastery 	
g	yeah 	
f	mmhmm 	
g	then at that point the curve reverses itself and dips round to a level which is vertically at the left-hand side of the alpine garden 	
g	roughly but it ends at the same line as the disused monastery in a curve that dips down from the left-hand side of it 	
f	s-- 	
g	then you go straight up to the left-hand side of the alpine garden 	
f	mmhmm 	
g	then to the right 'til the other side of the lef-- the alpine garden and straight up 	
g	now have you got a youth hostel marked there 	
f	no 	
g	no 	
g	well you go up about four inches from the alpine garden and then draw a line two inches to the right 	
f	have you got parked van 	
g	yes 	
g	it's it's below the parked van 	
f	uh-huh 	
g	it's about it's below the level of the picket fence 	
g	have you got that 	
f	yeah 	
g	it's about an inch below the level of the picket fence 	
f	right 	
f	uh-huh 	
g	and then you go to your right 	
f	underneath the parked van 	
g	yes 	
g	to appro-- to roughly about the middle of the parked van a line and that 	
f	uh-huh 	
g	and do you have a telephone box 	
f	yeah 	
g	well do 	
g	you the next stage is you have to draw a diagonal line from the right-hand side of the youth hostel down to 	
f	i don't have youth hostel 	
g	oh right 	
g	well from that point that i've just gone round 	
f	mmhmm 	
g	down to the it's slightly to the left of the telephone box 'cause there's 	
f	so vertical 	
f	have you got level crossing 	
g	no 	
f	no 	
g	there's a v-- there's a hori-- horizontal line that goes under the telephone box 	
f	uh-huh 	
g	eh that's on a line with the yacht club and you've to draw a diagonal line between that and the point you've just ended at 	
f	right 	
f	right i've done that 	
g	then you go up to about slightly above the top of the telephone box 	
f	mmhmm 	
g	then the path curves it in a follows a curve rising to the left until it reaches a line approximately level with the middle of east lake that's a ve-- a vertical line approximately the middle of east lake 	
f	mmhmm 	
f	so i've got a level cross between telephone box and the east lake 	
f	so i curve round that 	
g	yes 	
f	right 	
f	to the middle of the east lake 	
g	to a line approximately just it's below the m-- 	
f	yeah uh-huh 	
g	east lake it's approximately level with the the bottom of the picket fence 	
f	mm right 	
f	done that 	
g	right and from there it's a straight line to another line which is ehm level with the top of the picket fence and the furthest most part of east lake that bulge that goes out the left-hand side 	
f	mmhmm 	
f	so sorry say that again 	
g	on a l-- eh the finish point is on a line level with the picket fence 	
f	mmhmm 	
g	about the middle of the picket fence and a vertical line that touches the outer m-- the left most part of east lake 	
f	right 	
f	actually touches the 	
g	it doesn't eh doesn't actually touch the east lake 	
f	no 	
f	right 	
f	think that's where it is 	
