Found 2 args.
Observation: q7nc5; Result size: 223; atts: 2
who	$m	
g	okay laura 	
g	could you go to the start cross which is just above the site of the forest fire please 	
f	yeah okay i've got that 	
g	right 	
g	and can you pa-- i want you to just go slightly to the left just and skim the side of the site of the forest fire so that you're nearly at the edge of this page 	
g	okay 	
f	okay straight left yeah 	
g	and can y-- 	
g	uh-huh 	
g	and then turn l-- go down the way and sort of skim along the p-- the side of the page okay for about f-- five inches 	
f	h-- 	
g	y-- i know there's nothing there but on my map there's a picnic site which you have to try and avoid 	
g	okay 	
f	right so 	
f	straight the end of them roughly at the end of the page and then straight down for about five inches 	
g	uh-huh 	
g	just so that you're about an inch above the bottom of the page 	
g	okay 	
f	an inch above the bottom 	
g	uh-huh 	
f	okay 	
g	right if that's 	
g	okay 	
g	and then can you turn right 	
f	to my right yeah 	
g	mmhmm 	
f	well obviously 	
g	well 	
g	i don't know i don't know any more 	
f	well put one way if i go the other way it's off the page so 	
g	ehm 	
g	right exactly 	
g	go the other way for about go straight horizontally along for two inches 	
g	right 	
f	okay 	
g	and then 	
f	i've got um adventure playground just there yeah 	
g	yeah um 	
g	well 	
g	just there 	
f	well 	
g	or is it above that sort of 	
f	yeah 	
g	right 	
g	i want you to stop after two inches and then go up directly up right vertically up until you come to you sort of skim to the left-hand side of your adventure playground 	
g	right 	
g	and stop just above the climbing frame 	
f	look oh right okay 	
g	fuck 	
f	i was wanting for a separate climbing frame 	
g	certainly different 	
g	right so you're sort of in the l-- top left-hand corner of the adventure playground of the climbing frame right 	
f	yeah 	
g	right 	
g	from then on i want you to go sort of horizontally along sort of s-- just a couple of millimetres above 	
f	millimetres 	
g	no 	
g	above the adventure playground 	
f	right okay 	
g	right 	
g	go to your right for about wait a minute seven inches maybe horizontally along 	
f	about halfway along the page or just after halfway 	
g	uh-huh 	
g	you should have an a farmyard 	
f	yeah 	
g	just 	
f	to above that 	
g	yeah mmhmm 	
f	okay 	
g	right 	
g	then stop 	
g	now 	
g	do you have 	
f	above where i am just now i h-- 	
g	private fields don't you 	
f	uh-huh 	
g	well 	
g	they're not actually on my map but above these private fields you should have a granite quarry 	
g	do you 	
f	right yeah 	
g	right 	
g	what i want you to do is stop there and where you've stopped and go straight up right skimming 	
f	the side of the private fields okay 	
