Found 2 args.
Observation: q8ec8; Result size: 135; atts: 2
who	$m	
g	right 	
g	have you got a diamond mine on it 	
f	i have 	
g	oh right 	
g	have you got starting right up the top left a diamond 	
f	yeah mmhmm 	
g	mine right 	
g	well just sort of go down follow it round sort of square go down then just take a right 	
f	to there's i'm under the d-- 	
g	and end up at the "e" of the diamond mine know what i mean 	
g	just go straight down and round it 	
f	right 	
g	and stop at the "e" 	
g	er have you got springboks 	
f	right 	
f	no i haven't 	
g	have you got highest viewpoint 	
f	yes 	
g	well w-- from where are just now just go straight right 	
f	right 	
g	and then just end up just go horizontally and just sort of eh end up just before the "h" in highest viewpoint 	
f	ha-- so i'm under the "h" 	
g	just before just before it 	
f	on the same level as the diamond mine 	
g	aye 	
f	right 	
g	and then just go straight up to quite close to the top 	
f	right 	
g	and then go to your right about oh my god 	
f	over the viewpoint 	
g	mmhmm 	
g	just go 	
f	to the 	
g	just go right over the side of it and sort of leave about a centimetre gap and then just come round down it just come down 	
f	down to the bottom right 	
g	aye 	
g	just stop at the "t" 	
g	right 	
f	right 	
g	have you got safari truck 	
f	i have 	
g	well just go down to just above safari truck 	
f	is it does it curve a wee bit 	
f	i've got an overgrown gully here as well 	
g	you've got a what 	
f	an overgrown gully 	
f	well i can manage it straight down 	
g	well d-- just go round go round the overgrown gully however you want then just end up above safari truck 	
g	'cause i don't have overgrown gully 	
f	right 	
f	to the top right of the safari truck 	
g	eh it doesn't really matter 'cause we're going round it just end up anywhere t-- above a-- just above it 	
f	right 	
g	you've done that 	
f	mmhmm 	
g	right 	
g	have you got field station 	
f	no 	
g	have you got banana tree 	
f	mmhmm 	
g	well 	
g	go to just end up i don't know how you get there just get 	
g	see the "s" of safari truck 	
f	mmhmm 	
g	just sort of end up to the bottom left of that 	
f	going round to the r-- left or the right 	
g	to the left doesnae really matter but to the left 	
f	right i'm on the "s" of safari truck 	
g	right 	
g	now just go down a bit so that you're sort of level with the top of the banana tree 	
f	right 	
g	and then go straight across to the top left of the banana tree just sort of skirting the top of it 	
g	'cause there's a field station here 	
f	right 	
g	have you got gold mine 	
f	no 	
g	have you got a rope bridge 	
f	yeah 	
g	well from the banana tree right just go straight down about christ so you're about a third of the way down the pa-- two thirds of the way down the page 	
f	level with the rope bridge 	
g	a bit l-- lower than that 	
f	but straight down 	
g	about three four centimetres lower than that 	
f	right 	
g	in fact d-- jus-- go just go down a wee bit further so you make sure you miss it 	
f	have you got a rock fall 	
g	aye 	
f	how far above that should i be 	
g	oh 	
g	about the height of the whole rock fall maybe a bit more 	
f	right 	
g	and then go to your right see what i mean sort of just sort of curve up the way and then go through the rope bridge 	
f	from from the left-hand side to the right 	
g	uh-huh 	
f	is there anything i've got to avoid here 	
f	i've got a big blank space 	
g	eh 	
g	go right a bit go right about ten centimetres or something 	
f	then curve 	
g	aye 	
g	and then just go up and then go right through the rope bridge 	
f	okay okay 	
g	have you got giraffes 	
f	i have 	
f	i've got crocodiles as well 	
g	where are they 	
f	un-- just under the right-hand side of the rope bridge 	
g	well avoid them and then just go right round then go round the gira-- 	
f	avoid them to the right or the left 	
g	er it doesn't really matter 	
g	as long as you end up on the right of the giraffes and come round the bottom of the giraffes and end up sort of like underneath the "g" 	
f	okay 	
g	and then sort of eh 	
g	have you great lake 	
f	yes 	
g	well just go left from there and go right round underneath the great lake and just sort of stop at the "g" again 	
f	yeah wait a minute 	
f	so i've got to avoid the disused warehouse here 	
g	well i've got nothing there 	
g	well just avoid it somehow 	
f	right so i'm under the "g" 	
g	right 	
f	right 	
g	and then 	
g	jesus 	
g	see the gap in between the great lake and the rock fall 	
f	mmhmm 	
g	right 	
g	well you're going to go up about a 	
g	oh jesus trying to explain this erm 	
g	are you just underneath the "g" 	
f	mmhmm 	
g	well go about three centimetres to the left and then go up about another four centimetres 	
f	right 	
g	then that's it finish hopefully 	
