Found 2 args.
Observation: q1ec5; Result size: 153; atts: 2
who	$m	
g	okay 	
g	now you're starting ehm above the diamond mine 	
f	mmhmm 	
g	and er the desert is below to your left 	
f	uh-huh 	
g	right 	
g	now 	
g	go go south from the diamond mine until you are still above the desert 	
g	okay 	
f	okay 	
g	now 	
g	if you tell me what's to your right at the what's to your right 	
f	ehm 	
f	the canoes 	
g	canoes 	
f	and a fast running creek 	
g	and a fast running creek 	
g	um 	
g	and do you have a graveyard 	
f	no 	
g	do you have a carved wooden pole in this area 	
f	right away down the very bottom 	
g	right okay 	
g	now 	
g	go go right from the diamond mine 	
f	okay 	
g	okay 	
g	and um 	
g	now you've got to pass 	
g	there's actually a graveyard to the right of the diamond mine on my map 	
f	below it 	
g	no 	
g	on the same level as the diamond mine 	
f	mm 	
g	and so you're going to pa-- you're going to pass by the graveyard as well 	
f	mm 	
g	and then you're going to go up and over the top of the f-- uh 	
g	what i've got is a fast flowing river 	
f	mmhmm 	
g	do you have you have your c-- 	
f	fast running creek 	
g	fast running creek 	
g	where is that on a level with the diamond mine or is it slightly below 	
f	it's just slightly above 	
g	slightly above 	
g	right 	
g	well i've got a fast flowing river here 	
g	so 	
g	what you'd best to do is go along past the bottom go along okay sorry go along to your right and veer slightly upwards as you reach the creek 	
f	mmhmm 	
g	and then go over and round the creek to your right 	
g	and then ehm 	
g	do you have an apache camp 	
f	uh-huh 	
g	right 	
g	see when you're over the top of the fast or your creek or the river that i've got here when you're over the top of that and in line vertically in line with the apache camp 	
f	mmhmm 	
f	mmhmm 	
g	go south until just above the apache camp 	
f	okay 	
g	right 	
g	when you reach the apache camp 	
g	ehm do you have a walled city 	
f	right away on the far left 	
g	right 	
g	well you're going to go from above the apache camp to the walled city but you've got to avoid a carved wooden pole 	
g	which in my map is slightly above the level of the apache camp 	
f	no this is vertically in line with the walled city below it 	
g	right 	
f	okay so 	
g	right i've got one of them as well 	
f	right 	
g	so 	
g	but there's another one a carved wooden pole here which is halfway between the walled city and the apache camp 	
g	okay 	
f	mmhmm 	
g	but slightly above the level of the apache camp 	
f	so 	
f	i'd be better to go underneath it 	
g	okay 	
g	uh-huh 	
f	right 	
g	so you've got so you're going from above the apache camp underneath the carved wooden pole and over the top of the walled city 	
g	and then when you reach the far si-- yo-- your left-hand side of the walled city travel southwards until you come to the level of some flat rocks 	
f	uh-huh 	
g	and go bel-- 	
g	do you have a stone creek 	
f	uh-huh 	
g	right so 	
g	what i want you to do is go between the flat rocks and the stone creek 	
g	but do you have anything between the walled city and the carved wooden pole 	
f	ghost town 	
g	a ghost town 	
g	so you're going to 	
g	that's not on my map 	
g	you've got to avoid that i think 	
f	okay 	
g	so go south down past the walled city underneath your ghost town and then slightly up sort of northeast direction between the flat rocks and the stone creek 	
f	between 	
f	well 	
f	it'd be better if i s-- s-- between the walled city and the ghost town no to go underneath it above it 	
f	or have you got something else there 	
g	i've not got anything betw-- between the carved wooden pole and the walled city 	
g	but the map shows a curve a "c"-shaped curve 	
f	right 	
f	score that out 	
g	right 	
f	right 	
g	and sort of and then slightly up underneath the flat rocks and above the stone creek 	
f	right 	
g	okay 	
g	then 	
g	go slightly to your right beyond the flat rocks until you are above the level of the buffalo 	
f	so i i'll be avoiding the saloon bar 	
g	i don't have a saloon bar here 	
f	i've got here 	
g	right 	
g	okay so avoid the saloon bar 	
f	right 	
g	and ehm then right then ehm 	
g	just straight down to the right of the buffalo 	
f	to the right 	
g	y-- 	
g	so that so that you're on you're on the right of the buffalo 	
f	right 	
g	okay 	
g	and go underneath the buffalo 	
g	now 	
g	do you have a cattle ranch 	
f	no 	
g	ehm do you have a fort 	
f	mmhmm 	
g	so you're going to go from the buffalo to the fort but you've got to avoid the cattle ranch on the way and you'll have to go up and over the top of the cattle ranch 	
f	right 	
g	which on my map is halfway between the buffalo and the fort 	
g	okay 	
f	right 	
f	that on the the level between the fort mm 	
g	ehm 	
g	it's almost on level with the fort but it's slightly higher than the fort 	
f	so 	
g	so you need to be go up on a sort of hill 	
f	mmhmm 	
g	over the cattle ranch 	
g	underneath buffalo or over the cattle ranch 	
f	right 	
g	then underneath the fort 	
f	under the fort 	
g	underneath the fort uh-huh 	
g	and come out at the left-hand side of the fort and finishing ehm not beside but on the same level as the the carved wooden pole the base of the carved woode-- wooden pole 	
f	right 	
g	okay that's you finished 	
f	okay 	
