Found 2 args.
Observation: q2nc2; Result size: 276; atts: 2
who	$m	
g	okay phil 	
f	right 	
g	on my map i have a telephone kiosk in the bottom left-hand corner 	
f	uh-huh 	
g	okay the route starts above it 	
f	mmhmm 	
g	directly above it about on my map about half an inch from the top of the telephone kiosk 	
f	yeah got you 	
g	okay 	
g	it's a dotted line that moves around to the left of the k-- telephone kiosk down 	
f	mmhmm 	
g	passing around the left-hand side of the stone circle 	
f	stone circle 	
g	yeah 	
f	how don't think i've got that on my map i have a telephone kiosk and a the nearest thing is a broken gate to the bottom right-hand 	
g	yeah 	
g	well under on on my map directly under the telephone kiosk 	
f	mmhmm 	
g	at the right on the bottom left-hand corner of the page i have a stone circle 	
f	yeah 	
f	right 	
g	so if you could take your route straight down 'til about an inch above the bottom of the page 	
f	uh-huh 	
g	okay 	
f	right 	
g	then go straight straight on 	
f	to the r-- 	
g	horizontally about and for about another inch 	
f	to the right 	
g	yeah to the right 	
f	right 	
g	okay 	
f	okay 	
g	now if you move straight up you're going to be on the left-hand side of that farmer's gate 	
f	right 	
g	that correct 	
f	yeah 	
g	okay 	
g	if you move straight up until you're at the top left-hand corner of the broken gate 	
f	mmhmm 	
f	right 	
g	okay 	
g	now we're going to move do you have a meadow in the bottom right-hand corner 	
f	meadow yeah uh-huh 	
g	okay 	
g	now you're going to move in a diagonal line 	
g	do you have little seagulls drawn on it 	
f	no not at all 	
g	little birds 	
g	okay 	
f	oh yeah sorry i do yeah 	
g	no you do 	
f	uh-huh 	
g	well i've got five little birds on mine 	
f	yeah just above the meadow 	
g	okay 	
f	right 	
g	so if you take the middle bird 	
f	uh-huh 	
g	and you move up the page until you're probably about to a point that's about half an inch horizontally higher than the point you're at at the farmer's gate 	
f	right 	
g	okay 	
f	mmhmm 	
g	now if you take your route from where you are now to that point 	
f	right 	
g	diagonally upwards 	
f	right 	
g	okay we're going to move up from there to the ruined monastery 	
f	right 	
g	and your route's 	
f	h-- have you got overnight accommodation on yours 	
g	no i don't 	
f	well i've got overnight accommodation in a diagonal line between the ruined monastery and the point i'm at just now 	
