Found 2 args.
Observation: q1nc5; Result size: 189; atts: 2
who	$m	
g	your start and you've got a diamond mine beside it 	
f	uh-huh 	
g	and you've got a fast flowing river over the other corner 	
f	uh-huh 	
g	right 	
g	so if you just circle round the diamond mine 	
f	right 	
g	and have you got a graveyard in the middle no of the fast flowing river and the diamond mine 	
f	no i don't 	
g	no 	
f	am i am i going round the diamond mine and down 	
g	just 	
g	down no 	
g	you're circling you're going down no just circling round it so that you end up with a horizontal line below the diamond mine you know circling round it 	
f	oh right okay 	
f	so i'm starting off going down and then right 	
g	uh-huh 	
f	right i see what you mean uh-huh 	
g	that's the way you're going 	
f	okay 	
g	and it 	
f	just right underneath the diamond mine 	
g	mmhmm 	
f	okay 	
g	right and er 	
g	i've got on my map i've got a graveyard in between them both exactly in between 	
f	mmhmm 	
g	right so 	
g	if you imagine 	
f	mmhmm 	
g	that you have to circle round the graveyard you know to the right-hand side below and then round 	
g	get that 	
f	ehm 	
g	so you're like really going just about vertically along to the right you know to where you imagine the graveyard is and you're going round it but then you're you're going round it then you're ehm going to your right above the fast flow-- the fast flowing river 	
f	am i am i going round and above the graveyard 	
g	no 	
g	you're going below the graveyard and above the fast flowing river 	
f	right 	
f	right okay 	
g	if you can imagine that know 	
f	right 	
f	and where do i go when i get to the the river 	
g	ah you're circling round it 	
g	right 	
f	right okay 	
g	and then you're going vertically downwards 	
f	right 	
g	have you got 	
g	have you got an apache camp 	
f	uh-huh 	
g	right 	
g	well you're going downwards and but you're going to the left of the apache camp so you're going vertically downwards and then your line's sort of going left 	
f	right 	
g	and have you got a carved wooden pole no 	
f	no i don't 	
g	that's just that's in the cen-- in the centre of the page just above the ac-- apache camp though 	
f	okay 	
g	so 	
g	you have to avoid that so you're going down sort of 	
f	h-- hold on i'm i'm kind of above the apache camp at the moment 	
g	uh-huh 	
f	right 	
f	and wh-- 	
g	well 	
g	you've to go past that 	
f	right 	
g	towards the centre of the page though 	
f	right 	
g	to 	
f	just a straight line along 	
g	no 	
g	this is a curve a forty-five degree line i would say you know like you're from the the bottom of the fast flowing river 	
g	right 	
g	you're maybe coming down about an inch and a half vertically 	
f	mmhmm 	
f	mmhmm 	
g	and then it sort of curves at a forty-five degree line 	
f	right 	
g	to the middle of the page you know in line with the apache camp i would say 	
f	okay done that 	
g	right 	
f	er see i've got i've got canoes kind of 	
g	where are they 	
f	they're just below the fast running creek 	
f	right 	
f	it's okay i've got you now 	
g	right 	
f	uh-huh 	
g	so 	
g	have you got a walled city 	
f	uh-huh 	
g	where's is that 	
f	it's kind of off centre down a bit to the left 	
g	mmhmm 	
g	just below the apache camp you know 	
f	yeah 	
g	well 	
g	more level 	
f	uh-huh 	
g	well 	
g	you're you're coming right sort of you're going round the top of the walled city 	
f	okay 	
g	right so you've passed the apache pa-- you're above the apa-- apache camp and you're going round the top of the walled city 	
f	mmhmm 	
g	right 	
g	and then you're sort of curving just curving basically it's kind of vertically you're going for a vertical kind of curve if you can say that for about maybe four inches down to you're coming down to about the bottom third of the page 	
f	do you have a ghost town below 	
g	a ghost town 	
g	no 	
f	no 	
g	where's that where's the ghost town 	
f	it's ehm directly underneath the walled city 	
g	uh-huh right 	
g	so 	
g	you're pur-- you're circling round the ghost town 	
f	right s-- 	
f	i'm going right down and round the ghost town 	
g	uh-huh 	
f	underneath 	
g	under-- well yes uh-huh 	
f	uh-huh 	
g	i would imagi-- 	
g	and then you've got flat rocks over to the right-hand side 	
f	uh-huh 	
g	is that kind of maybe just a wee bit above the ghost town 	
f	yeah 	
g	right 	
g	and you've got a stone creek below 	
f	mmhmm 	
g	so you're sort of going in between the two 	
f	right 	
g	you're curving round 'til nearly you're nearly up at the flat rocks 	
f	okay 	
g	your curve's going a way up 	
f	right 	
g	right 	
g	and then you're going vertically down again you should be maybe just less than an inch off the right-hand side of the page 	
g	right 	
f	do you have a saloon bar 	
g	where's that 	
f	just underneath the flat rocks 	
g	no 	
f	no 	
g	i've got a stone creek 	
f	right 	
f	and i i'm kind of above the stone creek at the moment 	
g	have well have you 	
f	haven't gone down yet wait a minute 	
g	right 	
g	so you've to go past the flat rocks you know below but you've to go over 'til you're really about an inch the from right-hand side of the page 	
f	oh right okay 	
f	right 	
f	and down again 	
g	and then down again 	
f	right 	
g	uh-huh 	
f	how far down 	
g	ehm take it 	
g	have you got buffalo 	
f	uh-huh 	
g	just you're curving round the buffalo 	
g	you're going vertically down then curving round the buffalo 	
f	underneath the buffalo 	
g	uh-huh underneath 	
f	right okay 	
g	right 	
g	and then you've got a fort to the left-hand side at the bottom 	
f	uh-huh 	
g	and you've got the buffalo well in between i've got a cattle ranch 	
f	no 	
f	i don't 	
g	you haven't 	
g	right so like 	
f	no 	
g	what you've really got to do is avoid the cattle ranch 	
f	okay 	
g	which is really like in between the buffalo and the fort 	
g	so what you have to do is go r-- circle round the buffalo and then go above the cattle ranch if you can imagine it there 	
f	right uh-huh 	
g	right 	
g	do a bump it's in the centre of 	
f	right okay 	
g	and then you're going down below the fort 	
f	right 	
g	curving round below the fort that's at the bottom of the page 	
f	uh-huh 	
g	and then you're just curving up and the finish is maybe two inches from the bottom of the page up 	
f	right got you 	
g	that's it 	
