Found 2 args.
Observation: q7ec7; Result size: 140; atts: 2
who	$m	
g	okey-dokey right so 	
g	your start's away up in the top 	
g	you got you got a wee cross 	
f	uh-huh 	
g	right 	
g	have you got the diamond mine 	
f	yes i have 	
g	well 	
g	if you dis-- come down down the west side of that and hang a left right underneath it right underneath the "d" of the diamond 	
f	right 	
f	to what point will i draw a l-- 	
g	eh go along 	
g	you've not got the graveyard sure you've not 	
f	no 	
g	right 	
g	tell you what right there's a graveyard about an inch and a half to the east of the diamond mine 	
g	and you go along under the diamond mine and underneath the graveyard 	
f	have you got the ravine 	
g	no 	
f	have you got carved stones 	
g	yes 	
f	well 	
f	the ravine's just an inch below the carved stones 	
g	rightee-ho 	
g	so 	
g	if you go along 'til about a centimetre before you get to your ravine 	
f	aha right 	
g	then head north to the we-- past you pass the west side of the carved stones 	
f	over the top of the carved stones 	
g	yes 	
f	right 	
g	right 	
g	and have you got the indian country 	
f	mmhmm 	
g	so you come down the other side of the carved stones down and when you get to the top of the indian country just 	
g	you've not got the great rock eh 	
g	yeah just go down to the top of the indian country first 	
g	now 	
g	to the left sorry to the west of the indian country there's a great rock 	
f	no not on this one 	
g	right 	
g	well 	
g	on this one there's a great rock 	
g	so 	
f	right 	
g	if you go down a what does it say a f-- about a forty-five degree angle direct from directly above the big teepee 	
f	mmhmm 	
g	or wigwam 	
f	so i'll draw a line straight across to above that 	
g	yeah 	
g	when you get to above the big teepee then it'll be go down about an inch inch and a half at a forty-five degree angle from that 	
f	right 	
g	then you go along over th-- over to the top of the gold mine 	
f	right 	
f	that's below the diamond mine 	
g	yeah they're yeah directly below uh-huh 	
f	a good bit below it 	
f	uh-huh 	
g	yeah 	
g	so you 	
f	what side of the top to right in the middle 	
g	eh the west side 	
f	right 	
g	right 	
f	near the gallows 	
g	yeah 	
g	you're about forty-five degree bearing away from that 	
f	oh right okay 	
g	and you go down south until you're about two thirds of the way down towards the great rock 	
f	where the totem pole the bottom of the where the totem pole would be 	
g	yeah 	
f	right 	
g	and then you go 	
g	have you got the trout farm 	
f	uh-huh 	
f	it's away over below the indian country 	
g	yeah 	
g	well 	
g	you go al-- 	
g	right 	
g	you're you're at your totem pole on your map i think it is 	
f	uh-huh 	
f	at the bottom i'm below the trout farm 	
g	yeah right well 	
g	if you go along underneath your totem pole for about an inch it may aye may be just over an inch 	
f	until the other side of the totem pole 	
g	mmhmm 	
g	then head up towards the trout farm with your line coming down there g-- going up to the "t" the first "t" 	
g	then have you've not got the fort sure you haven't the cavalry 	
f	no 	
f	no 	
g	well 	
g	if you go along after the trout farm if you 	
f	right 	
f	i'll go up to how far from the "t" 	
g	right bel-- right underneath it 	
f	right 	
g	now 	
g	i'd say if you go along east about two inches 	
g	then 	
f	right so 	
f	i'm just past the far edge of the trout farm 	
g	eh if you move it higher up give it a wee bit further than that 	
f	right okay 	
g	then 	
g	you've got the cattle stockade 	
f	uh-huh 	
f	away down the bottom 	
g	yeah well 	
g	if you go straight down passing that on the east side just right until you come to the "e" 	
f	right 	
g	then 	
g	go westerly under it until you come to the "c" the f-- "c" in cattle 	
f	oh the "c" of cattle 	
g	yeah 	
g	right 	
g	i'd presume that you've got something between the bandit territory and the cattle stockade 	
f	yes 	
f	a parched river bed 	
g	judging b-- 	
g	yeah 	
g	well 	
g	if you do-- drive over the top of that just over the top of it and then come down the other side underneath the bandit territory 	
g	then 	
g	have you got the wee cross for your finish 	
f	no 	
g	no 	
g	well 	
g	about an inch to the left of the wee tree an inch and a half to the left of the wee tree that the bandit's lying up against 	
f	mmhmm 	
g	your wee f-- your finish sign's there 	
g	eh if you go under your bandit territory and up to it 	
f	right 	
f	i'm under the "b" of bandit just now 	
g	you just go straight up to your wee cross 	
f	about how far up about an uh an inch 	
g	it's about prr an inch inch or so 	
f	right 	
g	there we go and that's us one map complete 	
f	that's it 	
