Found 2 args.
Observation: q7nc8; Result size: 111; atts: 2
who	$m	
g	okay ready 	
f	yup 	
g	start ar-- s-- in the upper left-hand corner 	
f	okay 	
g	um okay 	
g	now just drop down about four inches 	
f	mmhmm 	
f	straight down 	
g	mm 	
f	right 	
g	and then about an inch to the right 	
f	below the blacksmith 	
g	no no 	
g	not below anything you want to come just to the you want to come just to the left of s-- whatever is there 	
f	right 	
f	an inch to the right 	
g	yeah 	
g	what y-- what you do you drop you drop down then you go right 	
f	right 	
f	mmhmm 	
g	a-- an then and then you go you go up again but a sort of sloping to the right 	
f	mmhmm 	
f	i've got and up to the right here i've got a carpenter's house 	
g	yeah you w-- 	
g	you want to go right on the outside of that 	
f	right 	
f	to the right-hand side or 	
g	no no 	
g	to the on the left-hand side of it 	
f	right okay 	
f	right 	
g	and then up and then you follow along the top of the green bay 	
f	of the what 	
g	uh 	
g	do you just okay 	
g	g-- f-- go 	
f	i've got a carpenter and then there's nothing up above it 	
g	okay 	
g	so 	
f	well d-- uh-huh 	
g	all right 	
g	when you go up above the carpenter 	
g	about maybe an inch or so 	
f	yeah okay 	
g	and then you just go right about two inches 	
f	right okay 	
g	and then drop down about an inch and a half 	
f	right 	
g	and then 	
g	do you have a chapel and seven beeches 	
f	i don't have the chapel but i've got the seven beeches 	
g	okay 	
g	right at the bottom left corner of the seven beeches 	
f	right 	
g	you sort of make a a semicircle to th-- towards the right 	
f	right 	
g	that's about two inches long 	
f	okay 	
f	right okay 	
g	and then 	
g	do you have reclaimed fields 	
f	yeah i do uh-huh 	
g	okay 	
g	just trace along the outer r-- r-- ridge of that to the right 	
f	mmhmm 	
g	to the bottom 'til your 'til your pen is on the left bottom of it 	
f	sort of at the "r" of the reclaimed 	
g	yeah 	
g	yeah but a little more to the left 	
f	right okay 	
f	right okay 	
g	okay 	
g	and then you drop down 	
g	and do you have a bay 	
f	i've got crane bay yeah 	
g	yeah 	
g	okay 	
g	just drop straight down and trace along the crane bay 	
f	to the left 	
g	yeah 	
g	right f-- right 'til um right 'til about there's a point just eh right 'til there 	
f	right 	
f	right 	
f	i've got a whitewashed cottage 	
f	have you got that 	
g	mm-mm 	
f	is it th-- right 	
f	you come down and there's sort of it's got crane bay 	
g	yeah 	
f	and above the "c" there's a point and to the left of the "c" there's a point 	
f	is it the s-- what point is it is it the one 	
g	um right to the di-- diagonally up from the "c" 	
f	right okay 	
g	okay 	
g	and then you just you go left and down 	
f	mmhmm 	
g	and do you have attractive cliffs 	
f	uh-huh 	
g	okay 	
g	just trace along the top of the attractive cliffs 'til you're around where the "a" is 	
f	right okay 	
f	right 	
g	and then you just slope down to the left for about an inch 	
g	and then 	
f	okay 	
g	you sort o-- you do like a circle that's maybe or like a half circle going to the left 	
f	mmhmm 	
g	and then tracing the edge of the paper sort of 'til a-- for about an inch or so or two inches 	
f	right 	
g	and then you come to the right about an inch and then you go up maybe a quarter of an inch and you're finished 	
f	okay 	
