Found 2 args.
Observation: q8nc4; Result size: 157; atts: 2
who	$m	
g	right 	
g	ehm 	
g	from the start g-- go down about ten centimetres down the left-hand side of the camera shop 	
f	mmhmm 	
f	uh-huh 	
g	and round the bottom of the parked van 	
f	right 	
f	where's the parked van 	
f	i haven't got one 	
g	right 	
g	go down well down about ten centimetres then 	
f	below the camera shop 	
g	yeah 	
f	right 	
g	then right about five centimetres 	
f	uh-huh 	
g	then 	
g	do you have the allotments there 	
f	uh-huh 	
g	right 	
g	go up well 'til you're at the top of the left-hand side of the allotments 	
f	uh-huh 	
g	okay 	
g	then 	
g	diagonally to your up and right 	
f	uh-huh 	
g	about thirty degrees 	
g	for about fifteen centimetres 'til you're on the right-hand side of the disused monastery but about ten centimetres below it 	
f	uh-huh 	
f	nn right 	
f	past the west lake 	
g	i don't have that 	
f	right 	
f	have you got the flight museum 	
g	nope 	
g	okay have you got the disused monastery there 	
f	right 	
f	uh-huh 	
f	so is it to the left of the disused monastery i've to 	
g	it's to the go diagonally right 	
f	mmhmm 	
g	'til you're about ten centimetres below the disused monastery and on its right-hand side 	
f	on its right 	
g	right-hand side yeah 	
f	right 	
f	uh-huh 	
g	then go directly up 'til you're at the top of the disused monastery on the right-hand side 	
f	to the right of it 	
g	mmhmm 	
g	just 'til you're at the very top of it 	
f	okay 	
f	above it or to the right of it 	
g	just just on the right-hand side 	
g	and just go round the top of it 	
f	mm 	
g	'til you're to the bottom left-hand side of it 	
f	okay 	
f	m-- right right round it 	
g	yeah 	
f	okay 	
g	right 	
g	you're bottom left-hand side so just ehm 	
g	have you got the alpine garden 	
f	uh-huh 	
g	right just ehm 	
g	go right 'til you're at the do-- go directly le-- ehm directly left 'til you're on the left-hand side of the alpine garden and about four centimetres below it 	
f	four centimetres below it 	
g	below it yeah 	
g	just go direct to the left 	
f	on the left 	
f	right okay 	
g	yes 	
g	and go up to the top left-hand side of the alpine garden 	
f	okay 	
g	and go directly right about two centimetres 	
f	across the top of it 	
g	across the top of it yeah 	
f	uh-huh 	
g	have you got a youth hostel 	
f	nope 	
g	no 	
g	right ehm 	
g	go directly up about four centimetres 	
f	eh have you got the parked van or the picket fence 	
g	yeah 	
g	you're talk-- it's going to be about four centimetres on the left-hand side of about four centimetres below the parked van on its left-hand side 	
f	okay 	
g	go up to about there 	
g	then go right two centimetres 	
f	right 	
g	mmhmm 	
f	underneath it 	
g	yeah 	
g	you're still going to be quite a bit below the parked van 	
f	okay 	
g	then have you got a telephone box 	
f	nope 	
g	no 	
g	ehm right 	
g	down and right diagonally 	
f	have you got the level crossing 	
f	oh i have got the telephone box 	
g	phone box 	
g	oh d-- ehm go from where you are to directly 'til you're below the "t" of the telephone box 	
f	mmhmm 	
f	right 	
f	have you not got the level crossing 	
g	nope 	
f	well anyway so 	
g	i've not got that 	
f	i go from 	
g	go from 	
f	below the parked van straight down to the "t" of the 	
g	below the "t" of the telephone box 	
f	right 	
f	okay 	
g	okay then 	
g	along below the words telephone box 	
f	uh-huh 	
g	then up about three centimetres 'til you're at the top of the telephone box 	
f	uh-huh 	
g	have you got a thatched mud hut 	
f	nope 	
g	right ehm 	
g	diagonally up and left 	
f	mmhmm 	
g	about four centimetres 'til you're directly below the middle of the east lake you're like if you see what i mean 	
f	right 	
f	a-- above the le-- i've got a level crossing there so 	
g	yeah 	
g	i've not we've not i've not got one here 	
f	right so 	
f	i'm am i quite close to the 	
g	up at up and up and left 	
f	bottom of the east lake 	
g	no 	
g	you're still going to be about six centimetres down from it but you're going to be directly below the middle of it 	
f	so i'm probably below the level crossing as well 	
g	mm 	
f	right 	
g	then directly up 	
g	s-- 	
f	towards the east lake 	
g	straight up to the east lake 'til you're just eh at the middle of the east lake just at the bottom of it 	
f	uh-huh 	
g	to a part of it 	
g	then left about five centimetres to the finish 	
f	is that wh-- where's that in relation to the parked van have you go-- 	
g	parked van it's right about five centimetres and down two 	
f	right 	
g	okay 	
f	okay 	
g	that's it 	
g	s-- probably it's probably nothing like it but heh and um 	
f	i don't think i banged in 	
f	no 	
f	i think it was sounded all right 	
