Found 2 args.
Observation: q1ec6; Result size: 107; atts: 2
who	$m	
g	right 	
g	go south and you'll pass some cliffs on your right 	
f	okay 	
f	yeah 	
g	and keep going down south 	
f	mmhmm 	
g	past a forge on your right 	
f	past a what 	
g	a forge 	
g	well keep going down 	
g	right 	
g	and then loop towards the east 	
f	underneath what wheatfields 	
f	so i go straight 	
g	not as far down as that 	
f	not as far down as that 	
g	no 	
f	right 	
f	and do a loop 	
g	and do a loop 	
g	and then start going back up again you're going kind of northeast 	
f	right 	
g	right 	
g	you there's a 	
f	and am i going to come like between these cliffs and pine or 	
g	oh you go up past the pine pine's on your right 	
f	right okay 	
g	and go up past it 'til you're just above the top of the pine 	
f	right okay 	
g	and then east again 	
f	east again 	
g	east again 	
f	right okay right 	
f	sorry right 	
g	right 	
g	right 	
g	east sort of for a wee bit 	
g	um 	
g	and then start going southeast 	
f	right okay 	
g	there's a pine forest on your way 	
f	ehm yeah that's right uh-huh 	
g	right 	
f	right okay 	
g	'til you get to just underneath the pine forest 	
f	right 	
g	and then start going south 	
f	okay 	
g	and then go east again and you loop round about a bakery 	
f	yeah 	
g	right 	
f	i'm going east underneath the bakery 	
g	underneath the bakery 	
f	right okay 	
g	uh-huh right 	
g	and coming back round towards the west 	
f	whoa whoa wait a minute right 	
f	i'm coming down by the pine forest i'm going right down straight down and then you s-- 	
g	right 	
g	'til you're not 'til you're at the top of the bakery 	
f	ah right sorry right okay 	
g	right 	
g	and loop round a bit until you're underneath it right and then west 	
f	right okay right got that 	
g	right 	
g	and then down south 	
f	okay 	
g	and there's a crane bay 	
f	yeah that's it 	
g	right 	
f	uh-huh 	
g	and it's got a 	
g	can you curve follow the curve 	
f	yeah right 	
g	of crane bay so you're going west 	
f	uh-huh 	
f	yep 	
g	right and then um 	
g	you're going southwest 	
f	mmhmm 	
g	between the wheatfields and the warehouse between the two of them 	
f	right okay 	
g	right 	
g	you're going 	
f	yep 	
g	and then 	
g	like go west 	
f	right 	
g	so you're underneath them between them 	
f	between them 	
g	um mmhmm 	
f	right okay 	
g	and then 	
g	southwest towards the edge of the map 	
f	right okay 	
g	right 	
g	and then south 	
f	mm right 	
g	and then um 	
g	you're going east you come to the lighthouse 	
f	so right down past the caves 	
g	until you then go east until you get to the lighthouse 	
f	right okay 	
g	right 	
g	that's the end 	
f	above or below 	
g	at the side 	
