Found 2 args.
Observation: q7ec5; Result size: 125; atts: 2
who	$m	
g	ready dave 	
f	yeah 	
f	fire away 	
g	right 	
g	starting above the site of the forest fire 	
f	certainly am 	
g	right 	
g	go east west sorry go west slightly just past it and down and then you go south 	
f	and go hang a big left right past it 	
f	right 	
g	so you go so you're going east west then south down 	
f	yep 	
g	have you got a picnic site 	
f	nope 	
f	where is it 	
g	right okay 	
g	it's about an inch is it below the s-- site of the forest fire and about an inch above the an inch and a half above the bottom of the the page 	
f	an inch 	
g	so you go south and then you go round the bottom of it so you go south and then east 	
f	so i'm go-- 	
f	right 	
g	f-- and you go east about from the side of the page going about th-- three inch 	
g	have you got an adventure playground 	
f	mmhmm 	
g	which is just to the it's to the right and below the site of the forest fire 	
g	right 	
g	you go past the picnic site so you're about th-- 	
g	and it's above you go north so you're o-- going on the left-hand side of the adventure playground 	
f	mm 	
g	what have you done dave have you d-- 	
f	so i'm going between the picnic site and the adventure playground 	
g	yeah 	
f	okey-dokey here we go 	
g	so 	
g	your line so far's gone in a wee sort of 	
f	well it's like a "q" with a wee extra bit i've added on 	
g	you're now you're above the just go up just above the adventure playground 	
f	mmhmm 	
g	and start going right across the page to the east ehm at a five degree angle can you do that just a wee angle 	
f	how far 	
f	a five degree angle 	
g	just a wee angle it's just 	
f	so i'm going up like that then 	
g	you are 	
f	you mean five degree fae a horizontal right 	
g	aye 	
f	right along to the end of the page 	
g	across to 	
g	no 	
g	get at least two thirds of the way across the page dave 	
f	right got you 	
g	got a granite quarry 	
f	nope 	
g	above 	
f	got privately owned fields 	
g	no have you got a granite quarry somewhere on the page about in the mi-- mid centre 	
f	yes 	
g	just above centre 	
f	mmhmm 	
g	right 	
g	you should your line should've gone t-- across and just past it 	
f	mmhmm 	
g	so that you when you go north you start going north you you come up on the right-hand side of it and you curve round over the top of it so in a sort of you've got to go up and round 	
f	fish hook 	
g	waterfall have you got a waterfall 	
f	mmhmm 	
g	right 	
g	you go your curve comes round the granite quarry and down on the other side t-- and then it straightens out and it goes about about an inch below the word waterfall 	
f	mmhmm 	
g	t-- and you go just past the waterfall you curve round and go start going north again up past the waterfall to get to the top of the waterfall you go right i mean you go east just past the side of the waterfall 	
f	mmhmm 	
g	you go up about two inches so you should be 	
g	have you got cornfields 	
f	mmhmm 	
g	the top you should be like at the right to about two inches below them at the right-hand corner of that 	
f	of the corn field 	
g	the left-hand corner 	
f	just made a right coo's arse out of that one 	
g	right 	
f	okay 	
f	we've got the west highland way on this one no tourist 	
g	shit 	
g	and i hope it's not the way i done it 	
g	aye we're only about a thi-- a quar-- third of the way along it 	
f	this map's got stitches it's excellent 	
g	right 	
f	this is awful 	
g	right 	
g	you're below the cornfields right 	
f	right 	
g	s-- you've got to go down sss-- southeast 	
f	yeah 	
g	to 	
g	have you got fallen cairn down in the s-- 	
f	that's southw-- aye that's southeast yes 	
f	way past the lion country 	
g	right 	
g	well i don't have lion country but 	
f	right 	
g	so you'll avoid lion country 	
f	i'll try and miss that i don't fancy being eaten 	
g	if you have to go through it 	
f	right 	
g	s-- southeast from where you are 	
f	right down to fallen cairn 	
g	down down 	
g	so you come down on the left-hand side of it and you go round the bottom of it 	
f	below 	
f	right 	
g	just past and then you go start cutting up 	
f	straight up 	
g	right 	
f	towards the lake 	
g	have you got oh you don't have limestone cliffs do you 	
g	eh you you start going up sort of parallel to the line you just drew round for just a couple of inches 	
f	right 	
g	then you go ss-- you go north straight up to just below the east lake and you should be up to about about the "k" below the k-- "k" in lake 	
f	mmhmm 	
g	and then you skirt the lake along going west just skirt along the lake 	
f	right 	
g	and your finish is the bottom the west bottom west corner of east lake it's about an inch to the left of that 	
f	inch to the left 	
g	so you just your skirt goes along and reaches there 	
f	and that's it 	
g	and that's it 	
