Found 2 args.
Observation: q3ec6; Result size: 80; atts: 2
who	$m	
g	right it starts directly above the crest falls if you go to the left of your page just to the edge of the crest falls 	
f	mmhmm 	
g	come south due south to the bottom of the page 	
f	mmhmm 	
g	go to the left of the page to about an inch from the end 	
f	over the banana tree 	
g	i suppose so yeah eh 	
f	mmhmm 	
g	go north to the level of the footbridge 	
f	mmhmm 	
g	go up and go across the footbridge and stop exactl-- right at the end edge of the footbridge 	
f	above the footbridge 	
g	o-- over the footbridge 	
f	mm 	
g	and stop right at the end of it 	
g	there is a poisoned stream on mine but which you don't have 	
f	right 	
g	okay 	
g	and so what you do is you come south immediately south at the edge of the footbridge oh for about for about an inch so that you're about an inch above the starting cross not actually above it you know but eh along and above it 	
f	mmhmm mmhmm 	
g	ehm then come then come to the right of your page to the level of the 'til you're d-- eh and g-- then go north just eh to the left of the old temple 	
f	right so i come to just approximately the level of the old temple below it then up due north 	
g	north to the left of the of the old temple 	
g	go up 	
f	mmhmm 	
g	until you are about two inches above about an inch above the abandoned truck to th-- which should be to the left of your t-- straight north line 	
f	i have a slate mountain as well in the way 	
g	you have a slate mountain 	
g	go round the slate mountain 	
f	up 	
g	go go-- 	
f	just go straight up past it 	
g	yeah 	
g	a curve just immediately round it 	
g	and come and then come down and under the abandoned truck 	
f	okey-dokey 	
g	and stop at the edge of the abandoned truck 	
f	to the left 	
g	yeah 	
g	just immediately after the abandoned truck 	
f	o-- 	
g	now you don't have baboons so come dow-- come due eh south for about two inches just so that you are about an inch above your footbridge like 	
g	if you know right 	
f	mmhmm 	
f	interesting route 	
g	ehm go to the edge of your page 	
f	mmhmm 	
g	and y-- you can see your white mountain is above okay 	
f	mmhmm 	
g	go just due left of the white mountain and keep going right the way up a-- d-- until about the level of the bottom of the pyramid 	
f	okay 	
f	that's past the lemon grove 	
g	past ye-- yes 	
g	which i don't have 	
f	okay 	
g	ehm go to the right 	
f	above the lemon grove which you don't have right 	
f	how far 	
g	at go t-- 	
g	go to the right until the edge of the pyramid and then duck over the pyramid 	
f	mmhmm 	
g	and come down and under the pyramid just u-- 	
f	coming round a circle 	
g	mmhmm 	
g	until the edge of the pyramid 	
f	alright 	
g	now you have a remote village but you don't have a cobbled street the cobbled street is directly above the remote village 	
f	okay 	
g	ehm 	
f	so do you want me to come to the left-hand side of it or the right-hand side 	
g	to the left-hand side 	
g	if you could take a line due south eh and under the remote village 	
f	mm okay mmhmm 	
g	so you a-- you've you've come due south and then you've come east to the right of the page 	
f	yeah 	
f	so now 	
f	in the middle i'm actually directly under the remote village at the moment 	
g	go about an inch past it 	
f	mmhmm 	
g	and "x" marks the spot 	
