Found 2 args.
Observation: q8nc6; Result size: 111; atts: 2
who	$m	
g	right ehm 	
g	have you got the camera shop there 	
f	yeah 	
g	right 	
g	have you got the parked van 	
f	no 	
g	no 	
f	yeah sorry i have i have yeah 	
g	below it 	
g	right ehm 	
g	from the start go down down the left-hand side of the camera shop and down the left-hand side of the parked van 'til you're below the "p" in the parked van 	
f	oh no i don't have the parked i've got a different parked van 	
g	does it say parked van 	
f	not down here no 	
g	oh christ right 	
g	just get y-- down the side of the camera shop 	
g	right 	
f	mmhmm 	
g	down about ten centimetres 	
f	right 	
g	okay 	
f	mmhmm 	
g	then 	
g	right about 	
g	have you got the allotments there 	
f	yeah 	
g	right 	
g	go right 'til you're directly below the left-hand side of the allotments 	
f	mmhmm 	
g	okay 	
f	mmhmm 	
g	right 	
g	then go straight up 'til you're at the top left-hand side of the allotments 	
f	right 	
g	okay ehm now 	
g	go diagonally up and right 	
f	mmhmm 	
g	but not forty-five about twenty degrees right 	
f	mmhmm 	
g	ehm have you got a disused monastery 	
f	no 	
f	yeah yeah 	
g	yeah 	
g	well 	
g	go diagonal diagonally right until you're directly below the left-hand side the right-hand side of the disused monastery but ab-- you'll still be about ten centimetres below it 	
g	okay 	
f	right got you 	
g	right 	
g	now go 	
g	directly up and round the top of the disused monastery quite close to it 'til you're you come round in a the left-hand side of it 	
f	mmhmm 	
g	okay 	
f	right 	
g	have you got the alpine garden 	
f	mmhmm 	
g	right ehm 	
g	go left 'til you're directly below the left-hand side of the alpine garden 	
f	got you 	
g	yeah 	
g	then up 'til you're at the top of the left-hand side of the alpine garden 	
f	right 	
g	right 	
g	have you got a youth hostel 	
f	no 	
g	no 	
g	right ehm 	
g	go right about three centimetres 	
f	right 	
g	okay 	
f	mmhmm 	
g	up about five centimetres 	
f	directly up 	
g	straight up 	
f	right 	
g	okay 	
g	right again by about three centimetres 	
f	mmhmm 	
g	okay 	
g	got the telephone box 	
f	yeah 	
g	okay 	
g	from where you are go diagonally down 'til you're directly below the "t" in telephone box 	
f	right 	
g	okay 	
f	got you 	
g	then along the bottom of the word 	
f	mmhmm 	
g	okay 	
g	have you got the thatched mud hut 	
f	no 	
g	got the east lake though yeah 	
f	yeah 	
g	right ehm 	
g	go up about four centimetres 'til you've just cleared the top of the telephone box 	
f	mmhmm 	
g	okay 	
g	then up and left diagonally about four centimetres 	
g	okay 	
f	right 	
g	then 	
g	straight up 'til you're bel-- you're bel-- 'til you're below the "k" in lake but ehm about a centimetre from the edge of the lake 	
f	right 	
g	okay 	
f	uh-huh 	
g	then 	
g	left about s-- five centimetres and about up one 	
g	okay 	
f	mmhmm yeah 	
g	that's the finish i think 	
f	right 	
g	yup 	
