Found 2 args.
Observation: q5ec8; Result size: 163; atts: 2
who	$m	
f	are we going to do it the same way as we did it the last time from the standpoint of the viewer 	
g	right okay 	
f	right the wee man walking along the track right 	
g	aye right 	
g	so you're standing at the s-- the start's above the stony desert which is to your left 	
f	er well it's no 	
f	it's behind me but the right 	
g	right 	
g	if you're walking along the path then walk forward about a centimetre and a half 	
f	uh-huh 	
g	and then veer in a curve to your left 	
f	should i be seeing anything 	
g	no there's a site of a plane crash quite a bit a-- on the other side of the paper in front of you 	
g	is that there no 	
f	no it's miles away 	
f	it's away up the top 	
g	well there's two yeah there's two 	
f	oh 	
g	but there's one down here that isn't on your page okay 	
f	is there a waterhole 	
g	no 	
g	there's a savannah 	
f	right 	
f	where's the savannah 	
g	it just doesn't matter wait a minute 	
g	right 	
g	go forward a wee bit from the start 	
f	aye 	
g	to the left 	
g	right 	
g	and then go down to the left in a corner 'til you're about a centimetre above the bottom of the page 	
f	oh so i uh i move forward from the start 	
g	uh-huh 	
f	then turn doon towards the bottom of the page 	
g	uh-huh 	
f	right 	
g	and go right along 	
f	uh-huh 	
g	and then 'til you're about a centimetre and a half away from the edge 	
f	right 	
g	then go up 	
f	so i turn to my right 	
g	uh-huh turn to your right 	
f	uh-huh 	
g	about five centi-- 	
g	have you got a collapsed shelter 	
f	aye 	
g	right 	
g	well 'til you're until that's on the same plane as you 	
f	okay 	
g	and then go round above it 	
f	uh-huh 	
g	then down 	
f	what you mean down towards the bottom of the paper 	
g	uh-huh 	
f	uh-huh 	
f	do i do i go by the collapsed shelter 	
g	uh-huh 	
f	right uh-huh 	
g	and then so that until you've got 	
f	the collapsed shelter's on my right 	
g	uh-huh 	
f	right 	
g	and then go round to your left 	
f	my left 	
g	as you're the wee guy 	
f	so that's going up the-- up the paper again 	
g	oh no have you not turned down yet 	
f	right i've turned-- i've turned down right by the collapsed shelter towards the bottom of the paper 	
g	uh-huh 	
g	and then go in a straight line 	
f	uh-huh 	
g	left 	
f	left 	
f	right 	
g	and then turn right how far about f-- 'til you're directly above the start 	
f	uh-huh 	
f	right 	
g	and then turn up the page to your left 	
f	right 	
g	have you got a savannah 	
f	aye 	
f	by the savannah savannah on my right 	
g	by the savannah 	
g	right 	
f	uh-huh 	
g	right up 'til you're about halfway up the page 	
g	'cause you've not got a slate mountain have you 	
f	okay 	
f	no 	
g	right well i'll tell you about halfway up the page 	
g	and then go to your left as you're the wee guy 	
f	uh-huh 	
g	about two centimetres 	
f	i've got hot springs 	
g	hot wells 	
f	well 	
g	right right 	
g	then you go down and skirt round the left-hand side of them down diagonally 'til you're past them 'til you're just below them 	
f	is the left one side of them so that's my right as a wee man there on my right 	
g	yeah there on your right yeah 	
f	right 	
f	right so i'm round the bottom of them now 	
g	right 	
g	now we go round in a circle 	
g	because have you got something there have you got elephants or something 	
f	elephants 	
g	right 	
g	go round beyond the elephants 	
f	uh-huh 	
g	below them and then right up the page 	
f	oh no 	
f	right 	
g	straight up to the edge 'til you're about three centimetres away from the top 	
f	up the top 	
f	i've to away up the top here 	
g	uh-huh 	
f	right 	
g	not right up to the top 'til you're about 	
f	well um it's easy anyway 	
g	right that'll do 	
f	aye 	
g	and eh and then go right 'til you're about into the middle of the page into the middle of of of the width of it 	
f	now there's round rocks on my right 	
g	well go up above them 	
f	mmhmm i'm above them 	
g	right have you got a lake 	
f	aye 	
g	right well go up round the lake in a circle 	
g	have you got roman baths no 	
f	uh-huh 	
f	no 	
g	right well just go round in a sort of circle circ-- circle the the lake 	
f	uh-huh 	
f	so where should i be heading doon the page uh 	
g	and then head down the page 	
g	have you got antelope 	
f	aye 	
g	right 	
g	turn go just head down the page until you're until the antelope are on your left as you're walking down the page 	
f	right 	
g	okay 	
f	uh-huh 	
g	have you passed them yet 	
f	oh the antelope are on my right as the wee man 'cause they're right in the middle of the page 	
g	uh-huh 	
g	well go down them so that they're on your left if you're coming down the page 	
f	right i'd have to go down diagonally then 	
g	right 	
g	well do that 	
f	score that out right 	
f	round the antelope 	
g	and then 	
f	right 	
g	and then go left 	
f	left 	
g	until you're on the same line as the start and that's your finish so it's just above halfway up the page 	
f	aye 	
g	just above the bit where you turned round of that mountain that you've not got 	
f	that's right that's right 	
f	that's right aye i've got it 	
g	right that's it 	
f	uh-huh 	
