Found 2 args.
Observation: q1ec3; Result size: 289; atts: 2
who	$m	
g	okay 	
g	start off above the diamond mine 	
f	okay yeah 	
g	right 	
g	now 	
g	go south from the diamond mine until you are just above the desert 	
f	so that's with the diamond mine on on your right 	
g	that's that's correct uh-huh 	
g	and go below the diamond mine 	
f	mmhmm 	
g	and below the graveyard below the graveyard but above the carved wooden pole 	
f	oh hang on i don't have a graveyard 	
g	okay 	
g	so you don't have a graveyard 	
g	do you have a fast flowing river 	
f	fast running creek 	
g	ehm mm don't know yeah it could be could be 	
f	is that to the right that'll be to my right to my right 	
g	to your 	
g	right uh-huh 	
f	right 	
f	so i continue and go below the fast running creek 	
g	no 	
g	go just until you go go below the diamond mine until just before the fast fast flowing river 	
f	i don't have a fast flowing river 	
g	you have a fast flowing creek 	
f	i've a fast flowing running creek 	
f	which is on the far right-hand corner 	
g	mmhmm 	
g	um 	
f	so you have 	
g	well 	
g	do you have an apache camp 	
f	yeah got an apache camp 	
g	okay 	
f	but that's like at forty-five degrees south east 	
g	right 	
g	okay then 	
g	right 	
g	you're going to go below the diamond mine 	
f	right 	
g	do you have a graveyard 	
f	no no graveyard 	
g	don't have a graveyard 	
f	no 	
g	do you have a desert 	
f	yes got a desert 	
f	which if i continue straight down past the diamond mine 	
g	no don't go don't go any further than the desert don't go onto the desert 	
f	okay 	
f	so i'm still below the diamond mine 	
g	right 	
g	you d-- uh-huh below the diamond mine 	
f	right okay 	
g	and then go to your right 	
f	my right right okay 	
g	you've got neither a graveyard nor a fast flowing river 	
f	i've got a fast running creek 	
g	okay right you've got a fast flowing fast running creek 	
g	i don't have a fast running creek 	
f	how unlucky 	
g	so ehm ehm i'm kind of stuck 	
f	can i just go straight to the saloon bar 	
g	erm mark no just wait 	
g	i know you're thirsty but just wait 'til you get to the desert 	
f	right okay 	
g	erm 	
g	well okay then right 	
g	you've got a creek i've got a river 	
f	yes 	
g	so they must be linked somehow 	
f	yeah 	
g	so do you want to just go along to your right 	
