Found 2 args.
Observation: q5ec7; Result size: 148; atts: 2
who	$m	
g	okay 	
f	right 	
g	are you ready 	
f	uh-huh 	
g	i'll just take this carefully 	
f	oh 	
g	now you're starting at the top of the caravan park 	
f	yeah 	
g	okay 	
f	uh-huh 	
g	you're turning you're going towards the outside of the map 	
f	uh-huh 	
f	what to the bit 	
g	and you turn l-- you're turning left around the caravan park 	
f	right okay 	
f	down 	
g	so you so you should end up going down the map 	
f	right 	
g	with the caravan park on your left 	
f	yeah 	
g	okay you got that 	
f	right 	
g	don't say right it confuses me 	
f	okay 	
g	eh you're just oh about an inch off the bottom of the map you turn left in towards the centre of the map 	
f	right 	
g	okay 	
f	uh-huh 	
g	you keep going 	
f	uh-huh 	
g	for a couple of inches then you turn left again so you're going back up the map 	
f	uh-huh right 	
g	now you should see an old mill 	
f	uh-huh 	
g	is that you keep that on your right-hand side 	
f	right 	
g	and you go round it keeping it always on your right-hand side 	
f	right 	
g	so you go up past the side of it along the top 	
f	uh-huh 	
g	okay 	
f	of the old mill 	
g	of the old mill 	
g	now go at just a slight diagonal up towards the opposite side of the page 	
f	uh-huh 	
f	right 	
g	okay 	
g	now do you see a fenced meadow 	
f	uh-huh 	
g	well that above the fenced meadow you turn up the page 	
f	right 	
f	uh-huh 	
g	okay 	
g	now do you see the abandoned cottage 	
f	right 	
f	uh-huh 	
g	you go around the abandoned cottage keeping it always on your left-hand side so you go up past the abandoned cottage along the roof back down the other side of it 	
f	uh-huh 	
g	and turn right 	
f	okay 	
g	okay 	
g	do you come to another fenced meadow 	
f	does that not 	
f	i'm going to be crossing my path 	
f	see when it see when you said the abandoned cottage 	
g	yes 	
f	so you go round the the side of the abandoned cottage where the "a" of the abandoned is 	
g	yeah 	
g	no 	
g	you're round the other si-- 	
f	the other side oh dear 	
g	the abandoned cottage should always be on your left 	
f	right so my left 	
f	oh no 	
g	well left is you wouldnae be on the map 	
f	okay right okay 	
g	so you've now went round one side of the cottage 	
f	uh-huh 	
g	along the roof of the cottage 	
f	uh-huh 	
g	and down the other side of the cottage okay 	
f	yeah 	
f	okay 	
g	now you turn to your right which will take you towards the outside of the page 	
f	what the start side of the page 	
g	yes 	
f	right 	
g	now do you see a fenced meadow 	
f	no i don't have one 	
g	okay 	
g	well you see where your start position is 	
f	uh-huh 	
g	well be a couple of centimetres in 	
f	right 	
g	on that same line you go up towards a lake 	
f	yeah 	
g	okay 	
g	up towards the lake 	
f	uh-huh 	
g	you go around the lake keeping the lake on your left-hand side 	
g	now do you see a trig point 	
f	no i don't have one 	
g	okay 	
g	do you see the bulge at the top of the lake 	
f	i've got two bulges 	
g	eh 	
f	is that one called west lake or does it not have a name 	
g	er er yes it's west lake 	
f	right 	
g	okay 	
f	okay 	
g	now you see the west lake has two i suppose you'd call them fingers 	
g	pointing up towards the top corner of the page 	
f	uh-huh 	
f	yeah 	
f	right 	
g	well at at the finger closest to the middle of the page okay 	
f	right okay 	
g	at the end of it you turn in to the right okay 	
f	uh-huh 	
g	got that 	
f	right uh-huh 	
g	now you're going down diagonally down the page towards the monument 	
f	right okay so that's right 	
g	right 	
g	you skip you go round the monument keeping the monument on your left-hand side so you go a-- 	
f	towards the edge of the page 	
g	page 	
g	you go in below the monument 	
f	right 	
g	around the monument 	
f	right 	
g	so you come up again on the vertical 	
f	right 	
g	going towards the east lake 	
f	right 	
g	okay 	
g	up towards the east lake 	
f	uh-huh 	
g	you stop on the shores turn back in towards the middle of the page 	
f	uh-huh 	
g	and that should be you just about a centimetre or so past the finish past the east lake 	
f	right okay 	
g	okay 	
f	that's it finished 	
g	that's it 	
f	fine 	
g	okay 	
