Found 2 args.
Observation: q3ec8; Result size: 135; atts: 2
who	$m	
g	right right 	
g	your start point is eh at the top left corner right 	
f	i know 	
g	could you move down straight down from there 	
g	have you got a haystack on your map 	
f	yeah 	
g	right 	
g	just move straight down from there then past the haystack to eh 	
f	past the blacksmith 	
g	have you got a carpenter's house 	
f	yeah right 	
f	i know where you are 	
g	parallel with the bottom of the the carpenter's house 	
f	right 	
g	okay right could you move across so that you you go 	
f	to the bottom of the carpenter's house 	
g	right yeah 	
g	just not 	
f	just to the end of it 	
g	so you can move up again 	
g	just to the end of it it's just to avoid the haystack you see what i mean 	
f	right 	
g	right 	
g	could you move sort of a up sort of a wee bit diagonally to your to your right just a wee bit diagonally 	
f	i mean how far the 	
g	to the the 	
g	you have you got the green bay at the top 	
f	no 	
g	right 	
g	could you move up to about eh the top of the carpenter's house you know the middle of the top about two inches above 	
f	to about the level of the the top of the haystack 	
g	to the level of the bottom of the haystack 	
f	right 	
g	okay 	
g	right 	
g	could you eh move to your right about eh three inches 	
f	past the seven beeches 	
g	no 	
g	to just before the seven beeches 	
g	and diagonally down a wee bit 	
f	ah three inches 	
g	four inches then 	
f	that's about an inch or two 	
g	okay then 	
f	right 	
g	well t-- before the seven beeches anyway 	
f	right 	
f	i've sort of come down a tiny bit 	
g	right okay 	
g	eh could you move down from that point to 	
g	have you got a chapel 	
g	no you haven't 	
g	it's below the seven beeches 	
g	could you move down to the eh bottom left-- 	
f	oh at the top of reclaimed fields 	
g	no 	
g	right just do eh could you move to the bottom just the corner of seven beeches the bottom left-hand corner of seven beeches 	
f	right 	
g	okay 	
g	could you then move across to your eh right about two inches 	
f	past seven beeches 	
g	just past seven beeches and no more 	
g	right 	
f	right 	
g	could you move down about three inches to the eh top of reclaimed fields 	
f	mmhmm right 	
g	right eh 	
g	could you just go move round to your right round reclaimed fields just round the reclaimed fields 	
f	right 	
f	and down 	
g	and down you know just round it as in what a sort of eh 	
f	right 	
f	so under reclaimed fields 	
g	circle round it 	
g	you're under reclaimed fields now 	
g	eh could you move u-- could you continue that line just a wee bit to the bottom left-hand corner of reclaimed fields 	
f	right 	
f	yeah 	
f	i have 	
g	right okay 	
g	have you got crane bay on your thing 	
f	you're right yeah uh-huh yeah i have 	
g	right 	
g	could you move down there to the the wee bump comes out in the middle of the bay and just like follow th-- follow that bump round 	
f	bumps everywhere 	
f	alright 	
g	that's it 	
f	just move just grab onto the line 	
g	uh-huh just like follow the line of the bay round until about 	
g	eh have you got a vast meadow there 	
g	attractive cliffs 	
f	i've got attractive cliffs 	
f	they're really quite nice 	
g	right 	
g	right 	
g	could you well mm-- follow the line of the bay round 'til eh you reach the top of the attractive cliffs and stop about just at the top of the attractive cliffs 	
f	okay 	
f	right 	
f	i'm still on the crane bay line 	
g	mmhmm just follow the line of the bay 	
g	and you'll move off towards the attractive cliffs 	
f	mmhmm 	
f	do i mean do i have to draw off the line of the bay 	
g	yeah 	
g	i mean like you'll have to to g-- go away from the 	
f	above the line of the a-- a-- above attractive cliffs 	
g	right above attractive cliffs yes 	
f	t-- right to the edge of them i am 	
g	right 	
g	ehm 	
g	from there just just move out past them to your left and then move down to about the eh move down past the left-hand of the attractive cliffs to about the corner the bottom left corner 	
g	right that okay 	
g	right could you eh then move to the edge of the paper on your left about another that'll be about another two inches i would've said 	
f	right to the edge 	
f	i mean it'll have to be completely to the edge because of the crashed spaceship 	
g	right there's a crashed spaceship there 	
g	right i thought you were w-- right move right to the edge and i'll try and avoid that crashed spaceship 	
f	okay i'll do my best 	
g	right could you then move down about another three inches 	
f	to the bottom of the page or just past the chestnut tree 	
g	not to the bottom of the page 	
g	to about bottom parallel with the chestnut just avoid 	
g	right okay 	
f	okay 	
g	just move round the crashed spaceship so that you f-- you reach the finish 	
g	which should be left just left of the the chestnut tree 	
f	left of the bottom or left of the top of the chestnut tree 	
g	eh left of the middle of the chestnut tree 	
g	so you're sort of coming round in a a sort of you're doubling back 	
f	a circle round the crashed spaceship 	
g	yeah 	
g	you're doubling back a wee bit 	
f	right 	
g	okay and that's the finish 	
f	right 	
