Found 2 args.
Observation: q1ec4; Result size: 93; atts: 2
who	$m	
g	right 	
g	s-- straight down south quite a bit and you'll pass um some cliffs on the east 	
f	sandstone cliff 	
g	uh-huh 	
f	mm oh aye 	
g	cliffs on the east 	
f	right 	
g	then keep going down and you'll pass a forge on the east as well 	
f	forge 	
f	no 	
g	well keep going down past the cliffs 	
f	right 	
g	and then um 	
g	you go east in a curve curve down towards the east 	
g	and then back up again and you sh-- go past um a pine on your right 	
f	dow-- 	
f	down below that 	
g	up above it 	
f	up above it 	
g	past the side of it 	
g	keep it on your right right and go up 'til you get just p-- above the top of it 	
f	right 	
g	right 	
g	and then go due east 	
f	right 	
g	and 	
g	start going down southeast you go past a pine forest on your right 	
f	keep to my left or what 	
g	mmhmm 	
f	right 	
g	right um 	
g	down curve under it towards east curve under it slightly don't go past the edge of it though the the fu-- far away edge and then 	
f	edge of the fine pine fore-- 	
g	the pine forest uh-huh 	
g	and then down south 	
f	mm 	
g	um and then curve to the east above a bakery 	
f	no so you do you want me to go right round pine forest 	
g	no 	
g	just 'til you're underneath it and then go south when you're underneath it 	
f	like have you got a forest stream th-- 	
g	no 	
f	right 	
f	so i've to go above the bakery down and and round 	
g	mmhmm 	
f	top of the bakery 	
g	uh-uh 'til you're above the bakery 	
f	right 	
g	right 	
g	and then curve round about the bakery like to the east 	
f	right 	
g	right so you're underneath the bakery 	
f	right 	
g	right 	
g	and then go west 	
f	right 	
g	reach a canal 	
f	no 	
g	um right 	
g	and then go south 	
g	and there's a crane bay 	
f	mmhmm 	
f	mmhmm 	
g	right 	
g	now 	
g	curve to the west like above the crane bay like following the edge of it 	
f	mmhmm 	
g	right 	
g	'til you you're coming to like going away from the edge of it 	
f	mmhmm 	
g	and then it's southwest slightly going round about underneath wheatfields 	
f	mmhmm 	
g	right underneath the wheatfields 	
g	and keep going west 'til you're just about past the wheatfields 	
f	right 	
g	right 	
g	and then go down southwest 	
f	right 	
g	right 	
g	towards the edge of the map 	
f	right 	
g	and then south and then curve back round again southeast 'til you come to the lighthouse 	
f	well 	
g	so you went south and then you're going southeast you're going towards the east more or less 	
f	see it does that mean like if you between the caves and the the warehouse um 	
f	i'll just get to the lighthouse 	
g	mmhmm 	
f	is that how it finish 	
g	take it to the lighthouse 	
g	uh-huh and that's it finished 	
f	right 	
g	right 	
f	right 	
