Found 2 args.
Observation: q1nc2; Result size: 397; atts: 2
who	$m	
g	right ehm eh 	
g	the start is down at the bottom 	
g	i-- d-- do you just have a plain bit of paper 	
f	no 	
f	i've got er w-- mountains 	
g	oh the right 	
g	see the have you got a stony desert down at the bottom right-hand corner 	
f	yes 	
g	well 	
g	the start is just just above that 	
f	it's just above that 	
f	yeah i know 	
f	th-- that's marked on my map as well 	
g	right 	
g	ehm right 	
g	we'll be working our way ehm up to the top and then back kind of down to the middle where the finish is 	
g	ehm from the start you go along past the stony desert and down 	
f	ehm so you're going right 	
g	no ehm 	
f	the stony desert is below the start 	
g	yeah 	
g	right 	
g	and we're going left from that and kind of round round left past the stony desert and down until you're kind of level with the bottom of the stony desert 	
f	right 	
f	so i-- i'm going left 	
g	uh-huh 	
f	and how far left 	
g	left from the start and y-- just just kind of round the outside of the desert you know right round the outline and then keep going down until you're kind of level with the stony desert 	
f	but just round the outline of the desert 	
g	yeah 	
f	right right 	
g	right 	
g	and you're down to the level of the bottom if you run your finger along the bottom of the stony desert 	
f	right 	
g	right 	
g	and then keep going straight along 	
f	right 	
f	i'm going along the bottom of the paper 	
g	uh-huh 	
g	you're going you're still going along left 	
f	how far to the end of the bit of paper 	
g	ehm 	
g	about an inch an i-- 'bout an inch from the the s-- the left-hand side of the paper 	
g	just keep going along straight 	
f	right 	
g	and then we start going up 	
g	ehm 	
f	right 	
g	about three inches maybe 	
f	three inches 	
g	erm and there's a the site of a plane crash 	
f	i don't have that my plane crash is away up in the top right 	
g	oh right 	
g	erm does that mean that you have to draw this on 	
f	do i 	
g	ehm 	
f	well 	
f	the maps were drawn by two different people 	
g	uh-huh 	
f	don't know 	
g	maybe you should just mark that on anyway 	
g	there's a the site of a plane crash just just to the right of your line 	
f	right-o 	
g	kind of near to the bottom 	
f	okay 	
g	right 	
g	an-- and you carry on your line you've gone up about three inches and you start going right again 	
f	mmhmm 	
g	kind of a straight line about 	
f	well 	
f	below the site of the plane crash 	
g	er 	
g	no no 	
g	wait a mi-- wait a minute 	
g	ehm 	
f	above the site of the plane crash 	
g	yeah uh-huh 	
f	right 	
g	your plane crash should be kind of down a wee bit towards the the line at the bottom 	
f	nearer the bottom of the page 	
g	yeah 	
f	how far up from the bottom of the page 	
g	about right 	
g	ther-- there should be about an inch in between the bottom of your page and your first line right 	
f	right that's fine 	
g	right 	
g	and then your plane crash is just kind of above that 	
f	oh just above that 	
g	uh-huh 	
f	right after that 	
f	mm 	
g	'kay 	
f	and then you go up three inches 	
g	yeah uh-huh 	
g	and you're going about another er two and a half inches maybe until you're kind of in the centre of the page i d-- i don't mean i don't mean right in the centre i mean 	
f	mean half way up 	
g	uh-huh 	
g	lower centre 	
g	yeah 	
f	another t-- right 	
g	and that 	
f	just below the centre 	
g	uh-huh 	
g	and then above that i mean sorry below that there's a collapsed shelter just below that line 	
f	i've got elephants there 	
f	what'll i do 	
g	elephants 	
g	i don't have elephants on mine 	
f	not at all 	
g	no not at all 	
f	er i'm i'm not sure we're supposed to be doing 	
g	ehm 	
g	and then you have to go down again 	
f	wait i go past the collapsed shelter 	
g	past the collapsed shelter 	
g	it's kind of underneath your line 	
g	and you go down again about half an inch kind of rou-- 	
f	how long do i go along 	
g	ehm it's kind of like a straight 	
f	a straight line 	
g	a straight li-- 	
g	not a str-- quite a straight line down but it's kind of it's vertical anyway 	
f	down for about half an inch 	
g	yeah 	
f	right 	
g	and then 	
f	so i just sort of is that like round the collapsed shelter a line going round 	
g	yeah 	
g	uh-huh 	
f	right 	
g	and then you you're going you're you're still going right along 	
f	right 	
f	after i've come down the half inch i'm going right 	
g	you're going right again uh-huh 	
f	how long for 	
g	ehm 	
g	about two inches 	
g	and you're kind of you're kind of going right and going up 	
f	oops 	
g	the same time 	
f	there's hot springs above me now 	
g	oh 	
f	right 	
g	right 	
g	and you should be kind of ehm two and a half inches away from the right-hand side of the page just now 	
f	oh uh-huh no 	
g	no 	
g	where are you 	
f	my inches must be different from yours 'cause i'm not even halfway across the page 	
f	i should be away at the other s-- side of the page 	
g	you should be kind of at the right-hand side 	
f	how l-- how big's your page 	
g	er 	
f	is it that size 	
g	uh-huh 	
f	uh-huh 	
f	er two and a h-- two 	
g	right 	
g	j-- just go further along then 'til you're 	
f	just go right along 	
g	uh-huh 	
f	so where how far up the the right-hand side should it be 	
g	you shou-- you should be 	
g	ehm 	
f	when i reach the right-hand side how f-- about halfway 	
g	how how do you mean 	
f	er you told me to draw a line going alo-- over to the right-hand side 	
g	uh-huh 	
g	and you should be about two and a half inches fr-- from the right-hand side of the e-- edge of the page 	
f	h-- 	
f	two and a half inches one 	
g	yeah 	
f	two and a half right 	
f	is it sort of just sloping upwards this line 	
g	uh-huh 	
g	kind of gently sloping upwards 	
g	and there's a savannah at the right-hand side of your line just now 	
f	no 	
f	there isn't 	
g	well well 	
g	there is on mine 	
f	there's there's there's a a savannah further down 	
g	uh-huh 	
g	ehm 	
g	well y-- 	
g	you go past 	
f	is the line about halfway up the page just now 	
g	no not quite 	
f	where are 	
g	we're still we're still a bit nearer the bottom 	
f	but 	
f	oh right 	
g	that that line shouldn't have been that long really 	
g	but this this line carries up to about the centre of the page but you're still kind of at the right-hand side kind of vertical line up 	
f	when 	
g	about ehm 	
f	now 	
f	oh right 	
g	yeah and 	
f	a vertical line up 	
g	yeah 	
g	maybe about another two and a half inches 	
f	so i should be f-- more than halfway up the page further 	
g	are you sh-- 	
g	you should be about exactly halfway up the page 	
g	and but you're still kind of at the right-hand side 	
f	i know 	
f	i'm at the i'm about two and a half inches off the right-hand side 	
g	right that's fine 	
f	but i'm mm but i'm too high i think right doesn't matter just 	
g	right okay 	
f	that's me vertically 	
g	right 	
g	and then you go along left about an inch just a straight line 	
g	and underneath there's a a slate mountain 	
f	no 	
f	i don't have a slate mountain i've got a white mountain 	
g	oh right 	
g	ehm after you've gone along your inch you know you start going downwards towards the left ehm 	
f	downwards towards 	
g	a kind of forty-five degree line about an inch and a half down kind of sloping 	
f	right 	
g	and you should be more to the left-hand side of the page now 	
f	er 	
g	kind of just off centre 	
f	yeah 	
g	right 	
f	well 	
f	no 	
f	about i'm about centre never mind 	
g	right that's okay 	
g	and just after you've gone down your slope do another short line about an inch to your left just a straight line along 	
f	right 	
g	and there's some hot wells above this 	
g	no 	
f	no no 	
f	there's some hot springs below but never mind 	
g	oh right erm 	
g	now you should be about maybe two inches from the left-hand side 	
f	no 	
g	no 	
g	where are you 	
f	maybe three and a half 	
f	three and a half inches 	
g	right 	
g	right 	
g	now we're going kind of down about another inch 	
f	am i meant to be a-- away over the left-hand side 	
g	uh-huh 	
f	well 	
f	if i go down an inch i can't 'cause i'll go right through a hot spring i'll need to go further along 	
g	oh 	
f	i'll just take the line further along to the left 	
g	yeah 	
f	right right 	
g	right 	
g	wh-- tell me where are where you are now 	
f	halfway up the page a couple of inches off the left-hand side 	
g	right 	
g	you seem to be kind of down a wee bit i think it doesn't matter 	
g	now 	
g	the line just goes straight up now kind of sloping towards the right 	
f	oh great 	
g	ehm 	
f	through mm-hmm 	
g	but it goes up quite far it goes up goes up to about ehm 	
f	but this is not making sense because i'm just going to be doubling back on myself and there's no like obstacles or anything never mind 	
g	ehm 	
f	what have i to do 	
g	wait a minute 	
g	the line that that i've just done which kind of goes from the right-hand side to the left-hand side is kind of sloping downwards right 	
f	no 	
f	i is it 	
f	yeah 	
g	right 	
g	and that kind of g-- that kind of takes you to th-- to the left-hand side of the page right 	
f	mmhmm 	
g	and the line now should be going right up kind of a vertical line 	
f	vertical line 	
g	up quite high it'll go up to about the top third of the page sloping slightly at the end of your line to the right 	
f	what so it's going up vertically and then sloping 	
g	sloping just at the end 	
g	at the right and you should be just about the top third of the page 	
f	ehm no 	
g	no 	
f	i had to avoid a mountain so 	
g	oh is th-- is there a white mountain there 	
f	yes 	
g	yeah you should be kind of 	
f	what sh-- what side should i be 	
g	just at the left of that 	
f	the left-hand side of it 	
g	uh-huh 	
f	yeah i've i've went round the left of that 	
g	oh right okay well 	
f	but i'm a bit high i think 	
g	see the line should kind of slope towards the right 	
f	uh-huh 	
g	level to the top of the mountain 	
g	right 	
f	uh-huh 	
g	and then it should go straight up from there about an inch and a half just a straight line up 	
f	right 	
f	and is there any obstacles there 	
g	no none on mine 	
f	there is on mine there's round rocks 	
g	right 	
f	right i'm going up i've done that 	
g	right 	
g	now you should be about maybe an inch and a half from the top of the page 	
f	yeah well right 	
g	yeah right 	
f	just make it a bit longer 	
g	and then we go about two inches straight along to your right 	
f	is there any obstacles there 	
g	mm no 	
f	right i've done that 	
g	and then ehm just just to the right of this on mine th-- there's a lake 	
f	mmhmm that's right 	
g	is that there 	
g	well you you sh-- you 	
f	it's about the first thing that has 	
g	right and 	
g	you take your line right round the outside of the lake 	
f	the far right 	
f	so i'm going up 	
g	so you're going up 	
g	round 	
f	mmhmm 	
g	down 	
f	right 	
f	just circle the lake 	
g	yeah just uh-huh 	
g	until you're kind of maybe half an inch down from the the left-hand side of the lake 	
g	see what i mean 	
f	mm i so i'm going vertically like the last i'm going round the lake and then taking it down half an inch past the lake taking the line pa-- 	
g	well y-- ehm wait a wee minute 	
g	you don't quite take it 	
g	know where yours says lake 	
f	yeah 	
g	you don't quite take it right round up kind of goes straight along 	
f	oh i see 	
g	see what i mean 	
