Found 2 args.
Observation: q5ec4; Result size: 174; atts: 2
who	$m	
g	right 	
g	you start at the top left 	
f	to-- 	
f	right oh sorry okay 	
g	right 	
g	and eh have you got cliffs below that just below and to the right 	
f	yes 	
g	right 	
g	so go down just sort of diagonally just towards them but pass them 	
f	on the the bottom side of them pass them on the bottom 	
g	pass them on your their left 	
f	on the left 	
g	uh-huh 	
g	right 	
g	and then have you got a forge underneath the cliffs 	
f	no 	
f	i've just got nothing in below the cliffs 	
g	oh 	
g	have you got an old pine tree sort of down diagonally right from the cliffs 	
f	yes 	
g	right 	
g	well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle 	
f	a pretend semicircle to the 	
g	well like you know a pretend loop 	
f	inside or the outs-- 	
f	aye 	
f	to the inside or the outside of the map 	
g	right start right so you're just below the cliffs 	
f	i'm just below the cliffs 	
g	right 	
g	so you go out towards outside of the map 	
f	towards the outside of the map right 	
g	yeah and then round the bottom of the forge which isn't there 	
f	which isn't there 	
g	but it's on on the same level as the pine tree 	
f	right okay 	
g	right 	
g	and then you go up the inside of the pine tree 	
f	the inside 	
g	right not th-- no that the left of the pine tree so the that's outside of the map 	
f	t-- t-- to the left of the pine tr-- 	
g	uh-huh 	
f	up past the pine tree 	
g	uh-huh 	
f	the pine tree is always on my right 	
g	yeah 	
f	okay 	
g	and then so you get to the top of the pine tree 	
f	top of the pine tree 	
g	right 	
g	and then go vertically across to about two thirds across the page 	
f	vertically across 	
g	horizontally sorry 	
f	right so i'm going across the page right 	
g	uh-huh 	
g	have you got a pine forest 	
g	on right 	
f	yes 	
g	well you slope down with the pine forest on your right 	
f	pine forest on my right f-- 	
g	aha so don't go round the pine forest just like pass down by it 	
f	so i'm cut 	
f	right okay 	
g	right 	
g	and then just where the word pine forest is 	
g	just stop at the "p" 	
f	right 	
f	right stop at the "p" 	
f	right 	
g	right 	
g	and then sort of loop round a wee bit more don't don't draw your line in the same angle sort of make it a bit flatter and then draw another wee loop 	
f	a bit flatter th-- what on the same 	
f	does this have have i to cross a stream 	
g	what 	
f	have i to cross a stream 	
g	no 	
g	i haven't got a stream 	
g	eh 	
g	i suppose just avoid the stream 	
g	but g-- sort of like as though 	
f	it runs 	
g	you're drawing a nose right say this is the face you're drawing and then you've got to sort of do a sort of round bit for the nose 	
f	is that beneath so is the nose to come beneath the pine forest 	
g	beneath the pine forest 	
g	uh-huh 	
f	okay right 	
g	right 	
g	have you got a bakery underneath right a bit lower down 	
f	yes 	
g	right so see when the nose comes out it comes back in to the face 	
f	comes back in yes 	
g	right 	
g	that should be just above the bakery 	
f	right 	
g	is that okay 	
f	okay 	
g	and then go and do another big nose round the bakery 	
f	round the bakery 	
g	uh-huh 	
g	and then come right back in 	
f	okay 	
g	un-- underneath the bakery and maybe in past the bakery about two centimetres just before the canal 	
g	have you got a canal 	
f	no i don't have a canal 	
g	all right 	
g	right 	
g	just come in two centimetres towards the middle 	
f	okay 	
g	from the bakery 	
f	right 	
g	right and then are you sort of above the "e" in crane bay 	
f	yes 	
g	right 	
g	well go down towards the coast 	
f	alright 	
g	right 	
g	and then follow the crane bay round the coast 	
f	okay 	
f	what's the direction 	
g	to the to the left it's towards the "c" of crane bay 	
f	okay right 	
g	right 	
g	and eh then it's sort of 	
g	have you got wheatfields 	
f	yes 	
f	but they're up the top 	
g	oh 	
g	you got a rocket warehouse 	
f	yes i have a rocket warehouse 	
g	mm right okay 	
g	is that sort of above the lighthouse 	
f	yes 	
g	right 	
g	well sort of sticking to the coast 	
g	you know wher-- go-- whe-- whe-- where the coast goes up and down vertical 	
f	yes 	
g	right 	
g	sort of don't go vertically down it but start sloping down towards around the top of the rocket warehouse 	
f	around the top of the w-- rocket warehouse 	
g	uh-huh 	
f	right okay 	
g	and then slope the line right out to the side of the page 	
f	right out to the side of the page 	
g	uh-huh 	
f	right 	
g	the outside of the page and then eh sort of draw a 	
g	are you about th-- in line with the rocket bit or have you done that 	
f	no 	
f	i'm past the rocket 	
g	no but like s-- see where your line is at the side of the page is that at rocket like where the words rocket are written 	
f	oh aye near enough 	
g	right 	
g	so we just like take the line down vertically down the side of the page 	
f	down the side of the page 	
g	for about two centimetres 	
f	right 	
g	and then curve it back in towards the old 	
g	light house don't have a cave 	
f	past the cave 	
f	well there's a cave in between the rocket warehouse and the old lighthouse 	
g	you going to hit it 	
f	yes if i go in 	
f	so i'll come down further than the two centimetres 	
g	okay 	
f	and go past down below the cave 	
g	yes yeah 	
g	oh will that put you in the sea 	
f	no it's not in the sea 	
g	okay then 	
f	and i've and then where do i go after that to the old lighthouse 	
g	just stop at the old lighthouse uh-huh 	
f	just stop at the old lighthouse 	
f	okay 	
g	right 	
