Found 2 args.
Observation: q8nc2; Result size: 42; atts: 2
who	$m	
g	okay 	
g	if you move down about four or five centimetres and around to the east about ten twelve centimetres past the springboks 	
f	right okay 	
f	right what was that last one 	
g	about ten ten centimetres along past the springboks 	
f	okay 	
f	mm 	
g	and go around the springboks to the northwest 	
f	springbok 	
g	about three centimetres 	
f	northwest three 	
g	then move around past the highest viewpoint just go up right up around it 	
g	and then down about eight centimetres 	
f	mmhmm 	
g	and to the southwest past the safari's truck truck about six or seven centimetres 	
g	and along by the field station to the west around ten centimetres 	
g	and around the banana tree down fifteen centimetres to the bottom of the gold mine 	
g	got that 	
f	mm so so 	
g	along to the east by the gold mine until you get to like edge of the gold mine 	
f	what wh-- how far would that be 	
g	ehm about f-- three centimetres 	
f	mmhmm 	
g	and then up to the rope bridge 	
f	mmhmm 	
g	and cross the rope bridge 	
g	and then move round down south about to the giraffes 	
f	okay 	
g	and around to around the giraffes' feet 	
g	if you see what i mean 	
f	mmhmm 	
g	and along to the west for about six no 'bout eight centimetres 	
f	mmhmm right 	
g	and then down to the southwest about three centimetres 	
f	mmhmm 	
g	and then to the west about eight centimetres 'til the edge of the great lake the furthest west point of the great lake 	
f	okay 	
g	and then just go round up to the finish 	
f	what finish 	
g	oh sorry 	
g	ehm up to about up to the northwest about four five centimetres that's it 	
f	mmhmm 	
