Found 2 args.
Observation: q4nc4; Result size: 424; atts: 2
who	$m	
g	right neil 	
f	okay right 	
f	where are we going 	
g	start 	
f	where am i starting 	
f	oh right i've got it yeah i've found the start 	
g	have you got the start just above 	
f	yeah i've found it uh-huh 	
g	have you got a camera shop below it no 	
f	yes 	
g	you have 	
f	yes 	
g	right a camera shop 	
g	right 	
g	head due south from that just down for about twelve centimetres 	
g	have you got a parked van at the bottom 	
f	so wait a minute i've got to go round the i've got 	
g	go round 	
f	round the 	
g	go round the left hand side of the camera shop in between the edge of the page and the camera shop 	
f	left-hand side of the camera shop right 	
g	right 	
f	right 	
f	i don't have a parked van at the bottom 	
g	you don't have a parked van 	
g	well go down aim towards the bottom and s-- stay about two centimetres up from the bottom of the page 	
f	right 	
f	i've got a yacht club on the far right-hand side 	
g	a yacht club 	
g	right 	
g	so you go down to just bel-- 	
g	see where the the words yacht club are 	
f	uh-huh 	
g	just go sort of go down towards the bottom of the page and draw a line towards the yacht club for about three centimetres underneath where the if you drew a line right across the bottom of the page it wo-- the line would end up under yacht club 	
g	right do you see what i'm 	
f	are we doing that under ya-- 	
f	so i want to go down 	
g	no 	
g	don't g-- don't go along to the yacht club though 	
f	but i want to go straight down to there 	
g	right 	
g	you go down the side of the camera shop right for about twelve centimetres and do a sort of a "u" shape for and the bottom of the "u" shape should be about three centimetres long 	
g	right do you know what i'm meaning 	
f	three centimetres long 	
g	right 	
f	and a-- a-- what i'm doing it at yacht club i'm going i'm going 	
g	no do-- all right okay 	
f	i'm going i'm going right i'm going right towards the yacht club 	
g	we'll we'll forg-- 	
g	we'll forget about the yacht club just now 	
f	no but but that's how far down i want to come 	
g	yeah uh-huh uh-huh 	
g	down towards aye where the yacht club is right 	
f	right 	
f	right okay 	
g	but forget the yacht club 'cause you're nowhere near that you're at the other side of the page 	
f	right i know that yeah 	
f	right 	
g	eh so we're going down it's now you do 	
f	so i take it i'm trying to miss a parked van that's at the bottom of the page here 	
g	right uh-huh 	
g	there's a parked van 	
f	right 	
g	and you're sort of you're sort of 	
g	you've worked it out already 	
f	i've got it 	
g	eh we're doing a "u" shape round the parked van but it's a sort of three cent-- see if you imagine a "u" right the stems of the "u" the vertical bits are sort of three centimetres between 	
f	see if i go right down if i go right down the bottom and turn right will i miss it 	
g	yes 	
f	right okay i'll 	
g	aye 	
g	right go right down to the bottom 	
f	right 	
g	turn right for three centimetres 	
g	okay 	
f	right 	
g	three or four centimetres 	
g	okay 	
f	right 	
g	now you're heading back up sort of two thir-- 	
g	have you got allotments 	
f	allotments 	
f	yeah 	
g	right 	
g	you're going up to the sort of left-hand top left-hand side of the allotments 	
f	right 	
g	from the bottom 	
g	right 	
g	that should be a di-- a straight line up the way 	
f	right okay 	
g	okay 	
f	i'll come along a wee bit just so i can make sure i miss that right okay 	
g	right okay 	
g	so you've got a sort of "u" shape so far except it only 	
f	right okay right 	
g	right okay 	
f	got it 	
f	mm 	
g	you're up at the top f-- left-hand side of the allotments okay 	
f	fine 	
g	now see your yacht club 	
f	yeah 	
g	eh go to the left-hand side of the yacht club and up about f-- six centimetres 	
g	right 	
f	right 	
f	so i've got to go underneath the flight museum 	
f	have you got that 	
g	no 	
g	i've not got a flight museum right 	
f	right 	
f	so i've got 	
g	so you're you're going diagonally sort of north northeast it's not it's it's a sort of two o'clock almost three o'clock from the allotments over 	
f	what side of the allotments am i at am i at the left-hand side of the allot-- 	
g	you're at the top 	
g	the left-hand side top 	
f	right okay 	
g	right 	
g	so you're going over the top of the allotments right now 	
f	and down to the yacht club 	
g	eh no no 	
f	down to 	
g	you're up you're going up sort of two o'clock in between two o'clock and three o'clock 	
f	right 	
g	you're going up the way to the see if you draw a line up the left-hand side of the yacht club right the way up the page 	
f	oh right okay 	
g	right 	
f	so i'm going 	
g	you're only going about i would say about two centimetres up from the allotments if you know what i mean 	
g	do you see what i mean 	
f	two centimetres up from the allotments 	
g	but you're 	
g	up from the allotments but along about twelve centimetres 	
g	okay 	
f	oh my god 	
g	right are we starting 	
f	can we do it in straight lines 	
g	right sta-- aye right see 	
f	'cause straight 	
g	you're at the top left-hand side of the allotments are you there 	
f	yeah right 	
g	right okay 	
g	see if you drew a straight line just east for about twelve thirteen centimetres 	
g	okay 	
f	east 	
g	right 	
f	right okay right 	
g	just go go up about a centimetre from the edge of that so you're sort of going diagonally up that way if you know what i mean from it's about twelve or thirteen centimetres 	
f	i'm going right 	
f	right okay right 	
g	not directly east but up a wee bit gradually aiming up the way 	
f	i've got that 	
f	yeah right got it got it right okay right 	
g	okay 	
f	i'm a-- and i've just come to the left-hand side of the all-- the yacht club 	
g	right 	
g	yes 	
f	right okay 	
g	but you're about thirteen fourteen centimetres up the page 	
f	f-- not as many as that 	
g	you're not oh j-- 	
f	i'm about six 	
g	oh no 	
g	see your see your line from the top left-hand side of the allotments 	
f	where is it in relation to like the west lake 	
g	i've not got a west lake 	
f	have you not 	
g	no 	
f	disused monastery 	
g	i've got a disused monastery aye 	
f	where are we in relation to that 	
g	right 	
g	in relation to that we're due south about ten fif-- ten twelve centimetres 	
f	cannae be due south 	
g	have you got a disused 	
g	is y-- is your is your d-- 	
f	we're not due south 	
g	is your disused monastery in the centre of the page 	
f	yeah right in the centre 	
g	right hold on have you got a sar-- 	
g	right start from again start the beginning 	
f	where's your yacht club 	
g	where's my yacht club 	
f	far right 	
g	away over at the bottom 	
f	right 	
f	okay 	
g	right at the bottom right-hand side 	
f	okay right 	
g	we've got the same map haven't we 	
g	it's my fault i know what 	
f	paul this is this is lousy 	
g	i know what you're meaning 	
f	right 	
g	right 	
g	can we go back to the allotments 	
f	yeah right we're back at the allotments okay 	
g	are you at the top 	
g	you're at the you're just at the side of the allotments right 	
f	right okay 	
g	okay 	
f	right 	
g	right 	
g	see the allotments 	
g	just draw a line right over the top of that east right 	
f	right okay 	
g	right over towar-- to stay about six centimetres from the edge of the page right east just go straight east 	
f	right okay right 	
g	forget about getting it up a wee bit 	
g	right 	
f	uh-huh okay 	
g	right 	
g	so that's where we are we're about i would say we're if you you could we're about six centimetres from the edge of the page from the right-hand edge of the page and about six or seven centimetres up from the bottom as well 	
g	right 	
f	right okay 	
g	correct 	
f	right fine right 	
g	right 	
g	oh dear 	
g	draw draw a line from there 	
g	you've got a disused monastery right 	
f	yeah 	
g	you're going from where you are just now just straight up and round the top of the monastery like a wee hill over the top of the monastery right going from the right-hand side of the monastery over to the left-hand side 	
f	right okay 	
f	right fine 	
g	okay 	
f	got you 	
g	now you're coming down and you're doing the exact same hump again except invert it and you're going up 	
g	have you got an alpine garden 	
f	have i hell 	
g	you've not 	
g	right 	
f	no 	
f	oh yeah i do yeah i do 	
g	you do have an alpine garden 	
f	uh-huh 	
g	well you're doing a sort of hump you're just going up the side of the alpine garden 	
g	right 	
g	up the left-hand side sorry 	
f	up the left-hand side of it 	
g	the left-hand side of the alpine garden 	
g	so you should have 	
f	so i'm going across underneath the alpine garden 	
g	you're 	
g	right uh-huh 	
g	you're going across to underneath the left-hand side of the alpine garden then you're going straight up 	
g	okay 	
f	okay 	
g	just to the top of just to the top left-hand bit of the alpine garden 	
g	have you got a youth hostel 	
f	okay 	
f	no 	
g	you've not 	
g	right 	
g	the youth hostel is about it's a couple of centimetres to the left eh to the right and a couple of centimetres above the alpine garden right so it's very c-- 	
f	couple of centimetres to the right and a couple of centimetres above 	
g	d-- 	
g	above right 	
f	right 	
g	so it's sort of 	
g	now you're going eh i would say about you're at the left-hand side of the alpine garden go across about two centimetres right just east 	
f	the left-hand s-- 	
g	right 	
g	you're you're at the top left of the alpine garden 	
f	right okay i'm here right 	
g	or have you drawn another line 	
f	i've got it no i'm at the top 	
g	right 	
f	top left of the alpine garden 	
g	top left of the alpine garden 	
g	draw a line about two centimetres right but just directly across 	
g	okay 	
f	so i'm coming into about the middle of the alpine garden 	
g	yea-- eh uh-huh 	
g	over to the 	
g	you see the wee two two wee bricks at the edge of the alpine garden 	
g	there's two wee 	
f	there's two 	
g	two i don't know what they are is it bricks or is it grass right whatever it is och well it's two centimetres along anyway yes 	
f	about 	
f	to the middle of the alpine garden 	
g	aye 	
g	just a wee bit to the right of middle 	
f	right 	
g	sort of two thirds of the way along 	
f	right got it 	
g	eh right 	
f	got you 	
g	and then you're going up about thr-- four centimetres st-- directly north right about four centimetres 	
g	okay 	
g	so you should be from the you should be round about above the letter "e" or "n" of garden eh about six centimetres or something is that right 	
f	yeah right okay fine yeah 	
g	okay 	
f	we're not we're not bad we're a wee bit 	
g	eh a wee bit 	
f	eh a wee bit a wee bit inside it 	
g	no it's it's my fault 	
g	eh right so you're up there eh go right for about three centimetres 	
f	right 	
f	th-- to underneath the parked van 	
g	eh 	
f	under the parked 	
g	underneath the pa-- uh-huh underneath the parked van 	
f	what what letter am i under 	
g	go th-- go right 	
g	you should be under the letter "d" 	
f	right okay 	
g	right under the letter "d" 	
f	right 	
f	i'm under "d" 	
g	right 	
g	have you got a telephone box 	
f	ehm yeah 	
f	but it's away down on the right-hand side 	
g	police 	
g	right okay 	
g	you're doing a massive diagonal sort of south east 	
g	right 	
f	okay 	
g	right to the bottom right to the letter "t" from where you are 	
f	to the letter "t" 	
g	to the letter "t" of telephone box 	
f	okay 	
g	right 	
