Found 2 args.
Observation: q2ec5; Result size: 213; atts: 2
who	$m	
f	right 	
g	right mm 	
g	have you got a missionary camp down the bottom 	
f	yes 	
g	then that's where your start is 	
f	mmhmm 	
g	right 	
f	that's right 	
g	okay well 	
g	you need to go ehm travel left about an inch and then go down along the side of the missionary camp so you're going downwards just running along parallel to it 	
f	right okay 	
g	okay 	
g	down so that you're about an inch above the bottom of the map 	
f	right 	
g	okay 	
g	now 	
g	you have you got a some gorillas over on the left 	
f	no 	
f	i've got a banana tree though 	
g	alright that's probably 	
g	do you think that's probably the same 	
f	yeah that's probably about it 	
g	mm yeah 	
g	so you just need to run along the bottom of the map until you get to just below the gorillas or the banana tree 	
f	right er we'll probably have to take it down a wee bit further for for that 	
g	right okay 	
f	right nothing else kind of down there 	
g	right 	
f	and i want to stop directly below 	
g	yeah 	
g	well 	
g	actually you need to then you need to bend up round the side of the gorillas so you're then going along so you're running parallel with the eh left-hand side of the map 	
f	mmhmm 	
f	right that's okay 	
g	okay 	
g	so you then go upwards about 	
g	and then have you got a rope bridge 	
f	yeah 	
g	right 	
g	you need to run up vertically until you become parallel with the rope bridge 	
f	oh i've taken it over much further than that i'm kind of almost at the edge of the page so 	
g	ah right 	
f	is it okay is it safe enough to head diagonally across 	
g	yeah 	
g	if you head diagonally across to the beginning of the rope bridge 	
f	right okay 	
g	and then you you're walking across the rope bridge so your line will stop and then start coming out at the other side of the rope bridge 	
f	right fine 	
g	okay 	
g	down about an inch so you come you've come off the rope bridge and you drop down about an inch 	
f	right 	
f	erm i don't know if i can do that without going in the river actually 	
g	oh yeah 	
g	i for-- yeah there's a river isn't there 	
g	well 	
g	if you just take it so that you're running alongside the river 	
f	just right along the edge of the river 	
g	yeah so you need to run alongside the river for about um three or four inches 	
f	right okay 	
g	and then 	
g	you have got a waterfall on the right-hand side 	
f	yeah 	
g	well then um 	
g	just 'til when you're about ehm level with the b-- with the bottom of the waterfall 	
f	mmhmm 	
g	then you go straight upwards alongside the waterfall 	
f	right 	
g	have you got some lost steps there 	
f	erm yes i have 	
f	but quite a bit above maybe something like five inches or something above 	
g	oh no th-- 	
g	these these are in the middle 	
g	have you got some fallen pillars 	
f	yes 	
g	okay 	
g	well 	
g	where are you at the moment 	
f	um d-- just stop beside the waterfall that's right over on the right-hand side 	
g	yeah 	
g	right you need to go upwards until you're level with the fallen pillars 	
f	right okay 	
g	okay 	
f	fine 	
g	and then imagine that you had 	
g	you see the lost steps at the top 	
f	yes 	
g	if you imagine that they were there just where you've stopped 	
f	mmhmm 	
g	so you need to loop over the top of them as if you were going over something 	
g	so you you're going u-- 	
f	right 	
f	so which way am i heading then left or right 	
g	right 	
g	you're going left towards the fallen pillars 	
f	right okay 	
g	okay 	
g	if you go over the 	
f	so i'll let out a well i'll allow for being above the fallen pillars yeah 	
g	uh-huh yeah 	
g	and then you need to head back down again to go underneath the fallen pillars 	
f	right okay 	
f	mmhmm 	
f	i've got flamingoes down here with a 	
g	okay 	
g	yeah 	
f	quite a small gappy bit 	
g	right 	
g	then if you go down and underneath what 	
g	i w-- i haven't got anything but i think that's where your flamingoes are 	
f	um well 	
f	they're just maybe an inch below and an inch to the left of the fallen pillars 	
g	right okay 	
g	so if you then go right underneath the flamingoes 	
f	right okay 	
g	and and then up right up towards th-- 	
g	have you got ancient ruins 	
f	er i've got a ruined city abo-- maybe half the distance to the top from there 	
g	yeah okay 	
g	right yeah that's right 	
g	so you go right up to the ehm ruins 	
f	uh-huh 	
f	just keeping on the edge of the page yeah 	
g	and then you 	
g	keeping on the edge 	
g	maybe a bit in towards a bit heading towards the ruins 	
f	right okay 	
g	and then have you got some stones at the left-hand s-- on the left-hand side right in the top left-hand corner 	
f	erm i've no i haven't got anything up there 	
