Found 2 args.
Observation: q8nc3; Result size: 123; atts: 2
who	$m	
g	right okay ehm 	
g	the start's up in the top left-hand corner 	
f	mmhmm 	
g	have you got that 	
f	yeah 	
g	just ehm to the left of the burnt forest 	
f	yeah 	
g	okay 	
f	mmhmm 	
f	okay 	
g	oh 	
g	right 	
g	okay 	
g	you've got the burnt forest 	
f	yeah 	
g	right okay 	
g	you're going to start coming down a bit and while you come down move slightly to the right 	
f	mmhmm 	
g	you're going to come down in a total of about three inches but in that you're going to have a curve which curves to the right mm 	
g	do you know what i mean 	
f	ehm ye-- 	
g	so you start coming down and you curve to the right and then back out to the left again so that by the time you get to three inches down you're s-- you're about just directly underneath the start again 	
f	uh-huh yeah 	
g	okay 	
g	right ehm 	
g	then you m-- move eh you go to the right about an inch and a half 	
g	have you got a ravine 	
f	i do yeah 	
g	right okay 	
g	so you're going to come up ehm to you're going to come up to the left of the ravine 	
f	mmhmm 	
g	then 	
g	do you have the remote village 	
f	ehm no 	
g	right 	
g	well it doesn't really matter 	
g	you what you do is you come up eh up the left-hand side of the ravine the ravine 	
f	mmhmm 	
g	eh go along the top 	
f	uh-huh 	
g	ehm do you have the pine grove 	
f	i do yeah 	
g	right 	
g	so you're going to go along ehm the top of the ravine 	
f	mmhmm 	
g	ehm you're about a-- an inch above the top of the ravine 	
g	it's probably a bit too late to tell you that but ehm 	
f	uh-huh 	
g	and then 	
g	you come right so you go along you're about an inch past the ravine eh you go down you're going to come down on the left-hand side of the pine grove 	
f	mmhmm 	
g	right okay then ehm n-- next thing you do is 	
g	s-- right you're at the s-- s-- at the sort of bottom left-hand corner of the pine grove 	
f	yeah 	
g	ehm you're going to continue going down but at the same time curving to the right 	
f	mmhmm 	
g	ehm so you about for about ehm down d-- 	
g	have you got the concealed hideout 	
f	i do yeah 	
g	right so 	
g	you're curving to the right and then start coming back in about halfway between halfway down from the pine grove to the concealed hideout 	
f	uh-huh 	
g	ehm s-- right 	
g	so what you've done is you've come down you've curved to the right come back in a bit then you're going to curve back out again round the right-hand side of the concealed hideout 	
f	is this f-- do i curve around above the concealed hideout or below to the right-hand side 	
g	well 	
g	you 	
g	start off at the top of the concealed out r-- round to the right and then round under the bottom 	
f	mmhmm 	
f	okay 	
g	under the bottom where it actually s-- write is written concealed hide-- hideout 	
f	right i've got that 	
g	okay 	
g	right ehm 	
g	do you have the boat house 	
f	yeah 	
g	right okay 	
g	ehm right 	
g	continue s-- in a straight line along to the boat house until you're at the ehm bottom right-hand corner of the boat house nearly at that 	
f	mmhmm 	
g	okay 	
g	then you're going to go eh straight down for about an inch or a or a bit more 	
g	do you have eh the crane bay wri-- mapped in 	
f	no 	
g	you don't 	
f	yeah sorry i do i do 	
g	you do yeah 	
f	mmhmm 	
g	right okay 	
g	so you're going to come down and then follow the curve of that bay you hit do you hit you hit the bay 	
f	mmhmm 	
g	follow the curve of that to 	
g	okay 	
g	do you have the coconut palm 	
f	no 	
g	right 	
g	have you got the pebbled shore 	
f	yeah 	
g	right 	
g	okay s-- right 	
g	you're going to right once you curve along the crane bay 'til you hit the bit that juts out 	
f	mmhmm 	
g	right 	
g	you're going to go down you're going to sort of eh go you're going to go down not straight down curving slightly to the left 	
g	okay 	
f	uh-huh 	
g	ehm and then you're going to go straight along the top of the pebbled shore about a centimetre above the pebbled shore 	
g	okay 	
f	mmhmm 	
g	then once you reach the end of the pebbled shore you're going to curve down to the left not curve it's a straight line sorry it's a straight line but eh sloping to the left 	
f	mmhmm 	
g	ehm until you're about a good inch below the pebbled shore and you're about ehm a centimetre away from the side of the page 	
f	yeah 	
g	right ehm okay 	
g	then you're going to go ehm down the side of the page for about an inch just straight down and then start curving to the right again 	
f	mmhmm 	
g	ehm and that's you're finished if you leave it about an centimetre from from the ehm outline of the crane bay and the flagship 	
g	do you have the flagship there 	
f	yeah 	
g	right 	
g	okay so you're 	
f	that's it 	
g	yeah that's it finished 	
