Found 2 args.
Observation: q6ec2; Result size: 445; atts: 2
who	$m	
g	um are you at the start 	
g	um move downwards on the map so that the telephone kiosk you're to the left of the telephone kiosk 	
f	right 	
g	and continue to move downwards until you are para-- level with the stone circle 	
f	i haven't got a stone circle 	
g	you don't have a stone circle 	
f	no 	
g	okay 	
g	do you have a stone circle on the map at all 	
f	um i have a ruined monastery 	
g	fine 	
g	um do you have any obstacle below the telephone kiosk 	
f	a broken gate and a meadow 	
g	a brok-- 	
g	a broken gate 	
g	directly below the telephone kiosk 	
f	oh not directly below no 	
g	do you have anything directly below the telephone kiosk no 	
g	move downwards 	
f	mmhmm 	
g	until move completely move downwards until you're almost at the bottom of the paper 	
f	right 	
f	will i not fall over broken stones 	
g	uh-huh 	
g	are you downwards until you're almost at the bottom of the paper 	
f	yep 	
g	then move right along not comple-- for if you want it in inches about four inches 	
f	have you got a meadow 	
g	yeah 	
g	but that's farther along 	
g	not that far along 	
f	not that far along 	
f	to about the middle 	
g	no no no no no 	
g	move when you have gone down from the telephone kiosk and you're almost at the bottom of the paper 	
f	mmhmm mmhmm 	
g	move in inches about three inches along the map 	
f	right okay 	
g	okay 	
f	okay 	
g	now move 	
g	do you have a farmer's gate upwards from where you are at the moment 	
f	mm yeah 	
f	it's broken 	
g	broken yeah 	
g	but it says farmer's gate or does it say broken gate 	
f	no 	
f	it says broken gate aye 	
g	okay fine 	
g	move upwards an-- so that you're to the left of the broken gate 	
f	i'm too far along here 	
g	and just level to the gatepost 	
f	so you want me to the left of the gate 	
g	to the gate yeah 	
f	i'll have to go back a bit now then 	
g	yeah 	
g	well i wasn't sure about the distance 	
f	okay 	
g	okay 	
g	now you are at the left of the gatepost 	
f	mmhmm 	
g	and if you see what i mean standing at the top of it yeah ehm 	
f	do you want me to go through the gate 	
g	no 	
f	oh okay 	
g	ah if as long as you're um next to the gatepost to the left that's fine 	
f	mmhmm 	
g	um now 	
g	on this map if you were to move upwards slightly and to the right and then once you'd moved to the right 'til about three quarters along the paper 	
f	mmhmm 	
g	and then move upwards 	
f	uh-huh 	
g	you would come to a ruined monastery 	
f	uh-huh 	
g	is that the same 	
f	yeah 	
f	have you got a youth hostel 	
g	no 	
f	oh 	
g	okay 	
f	well 	
f	if i go up and right i come to a youth hostel before i come to a ruined monastery 	
