Found 2 args.
Observation: q5ec1; Result size: 289; atts: 2
who	$m	
g	eh starting at the top of the caravan park 	
f	aye 	
g	turning to your left then left again 	
f	my left 	
g	yes 	
g	that's something like the top of the caravan park you're facing up to top of the map 	
f	uh-huh 	
g	you turn left 	
f	uh-huh 	
g	then left again so you're coming down the side of the caravan park 	
f	right 	
g	keep going down 	
f	mmhmm 	
g	then you turn left 	
g	go 	
f	aye 	
f	le-- i'm going back down south 	
g	you're coming you're coming back you're coming down the map so you're turning left that's into that's into the map 	
f	aye 	
f	dnndnn 	
f	aye right 	
g	okay you got that 	
f	uh-huh 	
g	you're going along and you're turning left again 	
f	right well stop now 	
g	okay 	
f	right 	
f	so out the caravan park 	
g	ah out the top of the caravan park 	
f	right go left then left again 	
g	then so you're coming down the side of the caravan park 	
f	right 	
f	now is there anything i should be watching for 	
g	not not to the 	
g	if you come do-- have you come down past the caravan park 	
f	aye 	
g	you turn left 	
f	immediately past the caravan park 	
g	no 	
g	come down and turn left 	
f	uh-huh 	
g	then you go along 	
f	right 	
g	turn left again 	
f	i don't go to the bottom of the map 	
g	no you don't go to the bottom of the map 	
f	right 	
f	uh-huh 	
g	turn left so that's two turns left after you come out the caravan park 	
f	left come out turn left then turn left again and get to the bottom then turn left again 	
g	yeah 	
f	right 	
g	and left back up into the map 	
f	how f-- how h-- how 	
g	be careful for the old mill you'll see it it should be on your right-hand side 	
f	right 	
g	you go up past the the old mill keeping the old mill on your right-hand side 	
g	okay you got eh you at the old mill yet 	
f	aye i'm by the old mill 	
g	right 	
g	turn round the old turn to the right after the old mill 	
f	the right 	
g	yeah to the right after the old mill 	
f	right 	
g	that's you going across to the other side of the map 	
f	uh-huh 	
g	keep going 	
f	uh-huh 	
g	now you should come to a fenced meadow on your right 	
f	aye 	
g	well you turn left so you're going up the map again 	
f	right up the map 	
g	up the map 	
g	you'll then come to an abandoned cottage it should be on your left-hand side 	
f	uh i'm nowhere near it 	
g	well never mind 	
g	you should be on the left-hand side of it but it should be on your left-hand side 	
f	ah but there's something in the road 	
g	is there 	
f	aye 	
g	what 	
f	a forest 	
g	is there 	
f	aye 	
f	but but the ma-- 	
g	i think you're on the wrong one 	
f	the maps have been drawn by different explorers 	
g	aye aye 	
f	see i've landed in an obstacle 	
g	i see 	
g	you'll have to go through the forest then 	
f	i'll have to go through the forest 	
g	mm 	
f	unfortunately right 	
g	can you manage that 	
f	right i've managed to get through it 	
g	right now you should em-- hopefully emerge at the cottage yeah 	
f	at the abandoned cottage 	
f	aye 	
g	that should be on your left-hand side 	
f	yes 	
g	okay 	
g	you go up round the aband-- uh abandoned cottage 	
f	uh-huh 	
g	keeping it always on your left 	
f	right 	
g	no your left 	
f	uh okay 	
g	okay 	
g	coming round you should see a fenced meadow in front of you 	
f	another one 	
g	yes 	
f	no i've had a fenced meadow but there's only another there's nae more fenced meadows 	
g	there's no 	
f	no 	
f	so that's irrelevant 	
g	you no got two fenced meadows 	
f	no 	
g	well what have you got instead of a fenced meadow 	
f	i can't i don't know if i'm supposed to tell you that 	
g	well you've just told me about the forest 	
f	aye right 	
f	so i've been through a forest 	
g	yes 	
f	because uh the the maps are different 	
g	aye 	
f	so there's nae fenced meadow right 	
g	no fenced meadow 	
f	no 	
g	you should be round a hundred and eighty degrees around to the abandoned cottage and then turn right 	
g	okay so you've what you've done is you went round 	
f	come up to the abandoned cottage skirted it 	
g	cottage round 	
g	yes 	
f	and then turn right right 	
g	right 	
f	verstanden 	
g	i'll keep it english 	
f	right 	
g	okay 	
f	uh-huh 	
f	so i turn right by the abandoned cottage 	
g	cottage 	
f	okay 	
g	now you're going along 	
f	uh-huh 	
g	and then you turn up right again and you keep going until you find a lake 	
f	wait a minute 	
f	sure i don't turn left 	
g	what you mean turn left 	
f	if i turn right by the abandoned cottage that means i'm heading that way 	
g	i cannae see your hands fae here 	
f	no you cannae 	
f	i shouldnae be doing that anyway 	
g	uh-huh i know 	
f	but i'm heading towards the edge of the map 	
g	which edg-- you he-- are you heading towards your left-hand edge of the map 	
f	my right-hand edge of the map 	
g	yes your right-hand edge my left-hand edge 	
f	this edge here 	
g	oh 	
f	right aye 	
f	well it's it's the difference between le-- right and left i think 	
g	uh-huh 	
f	uh-huh 	
g	okay you're 	
f	right i've come up by the abandoned cottage right i was heading straight up the map towards the top of the blackboard 	
g	abandoned cottage 	
g	yes 	
g	yes 	
f	and then you told me to turn right 	
g	no 	
g	i told you to turn left around the old abandoned cottage you turn right once you went round the cottage 	
f	sorry 	
f	i've done it wrong i wasnae listening 	
g	aye get the tippex out 	
f	right 	
f	right 	
f	i think we'll go back to the right before i come to the abandoned cottage 	
g	right you've come through the forest 	
f	uh-huh 	
g	you see the abandoned cottage in front of you 	
f	right 	
g	you go up the map past the abandoned cottage turn left 	
f	oh by the by the abandoned cottage and turn left 	
g	left yes 	
f	right i've got that 	
f	i just mis-- misread you 	
g	so the abandoned cottage should now be below you on the map 	
f	s-- 	
f	it's aye 	
f	but it's still to my left 	
g	yes 	
f	right that's fine 	
g	so you do that again 	
f	uh-huh 	
g	you turn round to a abandoned cottage so always keeping it on your left-hand side 	
f	aye 	
g	okay you got that much 	
f	mmhmm 	
g	now you turn to your right sh-- wi-- should be taking you towards the edge of the paper away from the abandoned cottage 	
f	it's taking me straight buh up a up a up again 	
g	no it's no 	
g	how many sides of the abandoned cottage have you past 	
f	passed it twice 	
g	you've passed twice 	
g	should pass it again on your left 	
f	right c-- 	
g	so you've anyway after you've turned around the cottage 	
f	you come straight back down 	
g	aye 	
f	you said a hundred and eighty degrees should be three hundred sixty you should have said 	
g	oh three hundred sixty 	
f	right 	
f	so that's that's right 	
f	so i'm coming back d-- back down the paper again 	
g	ah 	
g	yeah back down the paper 	
f	uh-huh aye turn right 	
g	turn right now 	
g	okay 	
g	do you have a fenced meadow 	
f	no i don't have a fenced meadow 	
g	no that's right 	
g	okay 	
g	now we turn right again 	
g	okay 	
g	and you go up the map 	
